1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5900000041AF5921
Is Mission Active?  true
Mission Start:  Thu Mar 10 08:00:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1681
Total Samples:  53106
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/10/22 8:00:00 AM,C,32
3/10/22 8:30:00 AM,C,33
3/10/22 9:00:00 AM,C,36.5
3/10/22 9:30:00 AM,C,30.5
3/10/22 10:00:00 AM,C,35.5
3/10/22 10:30:00 AM,C,40
3/10/22 11:00:00 AM,C,35
3/10/22 11:30:00 AM,C,43
3/10/22 12:00:00 PM,C,43
3/10/22 12:30:00 PM,C,40
3/10/22 1:00:00 PM,C,32
3/10/22 1:30:00 PM,C,40
3/10/22 2:00:00 PM,C,43
3/10/22 2:30:00 PM,C,40
3/10/22 3:00:00 PM,C,27
3/10/22 3:30:00 PM,C,28
3/10/22 4:00:00 PM,C,28
3/10/22 4:30:00 PM,C,30
3/10/22 5:00:00 PM,C,26
3/10/22 5:30:00 PM,C,25
3/10/22 6:00:00 PM,C,24
3/10/22 6:30:00 PM,C,25
3/10/22 7:00:00 PM,C,25
3/10/22 7:30:00 PM,C,25
3/10/22 8:00:00 PM,C,24.5
3/10/22 8:30:00 PM,C,24.5
3/10/22 9:00:00 PM,C,24.5
3/10/22 9:30:00 PM,C,25
3/10/22 10:00:00 PM,C,24.5
3/10/22 10:30:00 PM,C,24.5
3/10/22 11:00:00 PM,C,24.5
3/10/22 11:30:00 PM,C,24.5
3/11/22 12:00:00 AM,C,24.5
3/11/22 12:30:00 AM,C,24
3/11/22 1:00:00 AM,C,24
3/11/22 1:30:00 AM,C,24
3/11/22 2:00:00 AM,C,23.5
3/11/22 2:30:00 AM,C,23.5
3/11/22 3:00:00 AM,C,23.5
3/11/22 3:30:00 AM,C,23.5
3/11/22 4:00:00 AM,C,23.5
3/11/22 4:30:00 AM,C,23.5
3/11/22 5:00:00 AM,C,23.5
3/11/22 5:30:00 AM,C,23.5
3/11/22 6:00:00 AM,C,23.5
3/11/22 6:30:00 AM,C,24
3/11/22 7:00:00 AM,C,24
3/11/22 7:30:00 AM,C,27
3/11/22 8:00:00 AM,C,30
3/11/22 8:30:00 AM,C,31
3/11/22 9:00:00 AM,C,35
3/11/22 9:30:00 AM,C,37.5
3/11/22 10:00:00 AM,C,40.5
3/11/22 10:30:00 AM,C,41.5
3/11/22 11:00:00 AM,C,45
3/11/22 11:30:00 AM,C,45
3/11/22 12:00:00 PM,C,42.5
3/11/22 12:30:00 PM,C,45
3/11/22 1:00:00 PM,C,47
3/11/22 1:30:00 PM,C,46
3/11/22 2:00:00 PM,C,44.5
3/11/22 2:30:00 PM,C,42
3/11/22 3:00:00 PM,C,40
3/11/22 3:30:00 PM,C,37
3/11/22 4:00:00 PM,C,35
3/11/22 4:30:00 PM,C,33.5
3/11/22 5:00:00 PM,C,31.5
3/11/22 5:30:00 PM,C,28.5
3/11/22 6:00:00 PM,C,26
3/11/22 6:30:00 PM,C,25.5
3/11/22 7:00:00 PM,C,25
3/11/22 7:30:00 PM,C,25.5
3/11/22 8:00:00 PM,C,25
3/11/22 8:30:00 PM,C,25
3/11/22 9:00:00 PM,C,25.5
3/11/22 9:30:00 PM,C,25
3/11/22 10:00:00 PM,C,24.5
3/11/22 10:30:00 PM,C,23.5
3/11/22 11:00:00 PM,C,25
3/11/22 11:30:00 PM,C,25
3/12/22 12:00:00 AM,C,24.5
3/12/22 12:30:00 AM,C,24
3/12/22 1:00:00 AM,C,24
3/12/22 1:30:00 AM,C,24.5
3/12/22 2:00:00 AM,C,24.5
3/12/22 2:30:00 AM,C,24
3/12/22 3:00:00 AM,C,23
3/12/22 3:30:00 AM,C,21.5
3/12/22 4:00:00 AM,C,22.5
3/12/22 4:30:00 AM,C,23
3/12/22 5:00:00 AM,C,23.5
3/12/22 5:30:00 AM,C,23
3/12/22 6:00:00 AM,C,22.5
3/12/22 6:30:00 AM,C,23
3/12/22 7:00:00 AM,C,23
3/12/22 7:30:00 AM,C,23.5
3/12/22 8:00:00 AM,C,23.5
3/12/22 8:30:00 AM,C,24.5
3/12/22 9:00:00 AM,C,25.5
3/12/22 9:30:00 AM,C,26.5
3/12/22 10:00:00 AM,C,25.5
3/12/22 10:30:00 AM,C,28
3/12/22 11:00:00 AM,C,26
3/12/22 11:30:00 AM,C,27.5
3/12/22 12:00:00 PM,C,27
3/12/22 12:30:00 PM,C,30
3/12/22 1:00:00 PM,C,30.5
3/12/22 1:30:00 PM,C,31.5
3/12/22 2:00:00 PM,C,33
3/12/22 2:30:00 PM,C,30.5
3/12/22 3:00:00 PM,C,31
3/12/22 3:30:00 PM,C,32
3/12/22 4:00:00 PM,C,32.5
3/12/22 4:30:00 PM,C,29.5
3/12/22 5:00:00 PM,C,28.5
3/12/22 5:30:00 PM,C,26
3/12/22 6:00:00 PM,C,26
3/12/22 6:30:00 PM,C,24.5
3/12/22 7:00:00 PM,C,24
3/12/22 7:30:00 PM,C,24.5
3/12/22 8:00:00 PM,C,24.5
3/12/22 8:30:00 PM,C,24
3/12/22 9:00:00 PM,C,23.5
3/12/22 9:30:00 PM,C,23.5
3/12/22 10:00:00 PM,C,23.5
3/12/22 10:30:00 PM,C,23.5
3/12/22 11:00:00 PM,C,23.5
3/12/22 11:30:00 PM,C,23.5
3/13/22 12:00:00 AM,C,23.5
3/13/22 12:30:00 AM,C,23.5
3/13/22 1:00:00 AM,C,23.5
3/13/22 1:30:00 AM,C,23.5
3/13/22 2:00:00 AM,C,23.5
3/13/22 2:30:00 AM,C,23.5
3/13/22 3:00:00 AM,C,23.5
3/13/22 3:30:00 AM,C,23
3/13/22 4:00:00 AM,C,22
3/13/22 4:30:00 AM,C,22
3/13/22 5:00:00 AM,C,22.5
3/13/22 5:30:00 AM,C,22.5
3/13/22 6:00:00 AM,C,22.5
3/13/22 6:30:00 AM,C,22
3/13/22 7:00:00 AM,C,22.5
3/13/22 7:30:00 AM,C,25
3/13/22 8:00:00 AM,C,25
3/13/22 8:30:00 AM,C,28.5
3/13/22 9:00:00 AM,C,34.5
3/13/22 9:30:00 AM,C,30.5
3/13/22 10:00:00 AM,C,37.5
3/13/22 10:30:00 AM,C,41
3/13/22 11:00:00 AM,C,44
3/13/22 11:30:00 AM,C,46
3/13/22 12:00:00 PM,C,45.5
3/13/22 12:30:00 PM,C,46
3/13/22 1:00:00 PM,C,45.5
3/13/22 1:30:00 PM,C,44.5
3/13/22 2:00:00 PM,C,44.5
3/13/22 2:30:00 PM,C,45
3/13/22 3:00:00 PM,C,45
3/13/22 3:30:00 PM,C,40
3/13/22 4:00:00 PM,C,39
3/13/22 4:30:00 PM,C,34.5
3/13/22 5:00:00 PM,C,31.5
3/13/22 5:30:00 PM,C,29.5
3/13/22 6:00:00 PM,C,27
3/13/22 6:30:00 PM,C,25.5
3/13/22 7:00:00 PM,C,24.5
3/13/22 7:30:00 PM,C,25
3/13/22 8:00:00 PM,C,25
3/13/22 8:30:00 PM,C,24.5
3/13/22 9:00:00 PM,C,24.5
3/13/22 9:30:00 PM,C,24.5
3/13/22 10:00:00 PM,C,24
3/13/22 10:30:00 PM,C,23.5
3/13/22 11:00:00 PM,C,23
3/13/22 11:30:00 PM,C,23
3/14/22 12:00:00 AM,C,23.5
3/14/22 12:30:00 AM,C,23
3/14/22 1:00:00 AM,C,24
3/14/22 1:30:00 AM,C,24.5
3/14/22 2:00:00 AM,C,24
3/14/22 2:30:00 AM,C,23.5
3/14/22 3:00:00 AM,C,23
3/14/22 3:30:00 AM,C,22
3/14/22 4:00:00 AM,C,22
3/14/22 4:30:00 AM,C,22.5
3/14/22 5:00:00 AM,C,23.5
3/14/22 5:30:00 AM,C,22.5
3/14/22 6:00:00 AM,C,22.5
3/14/22 6:30:00 AM,C,23
3/14/22 7:00:00 AM,C,23
3/14/22 7:30:00 AM,C,26.5
3/14/22 8:00:00 AM,C,29.5
3/14/22 8:30:00 AM,C,32
3/14/22 9:00:00 AM,C,35.5
3/14/22 9:30:00 AM,C,37
3/14/22 10:00:00 AM,C,39
3/14/22 10:30:00 AM,C,39.5
3/14/22 11:00:00 AM,C,43
3/14/22 11:30:00 AM,C,42.5
3/14/22 12:00:00 PM,C,39.5
3/14/22 12:30:00 PM,C,51
3/14/22 1:00:00 PM,C,50.5
3/14/22 1:30:00 PM,C,47.5
3/14/22 2:00:00 PM,C,47.5
3/14/22 2:30:00 PM,C,47
3/14/22 3:00:00 PM,C,41.5
3/14/22 3:30:00 PM,C,40
3/14/22 4:00:00 PM,C,35
3/14/22 4:30:00 PM,C,33
3/14/22 5:00:00 PM,C,31.5
3/14/22 5:30:00 PM,C,29
3/14/22 6:00:00 PM,C,27
3/14/22 6:30:00 PM,C,25.5
3/14/22 7:00:00 PM,C,25
3/14/22 7:30:00 PM,C,24.5
3/14/22 8:00:00 PM,C,24.5
3/14/22 8:30:00 PM,C,25
3/14/22 9:00:00 PM,C,24.5
3/14/22 9:30:00 PM,C,24.5
3/14/22 10:00:00 PM,C,24
3/14/22 10:30:00 PM,C,24
3/14/22 11:00:00 PM,C,24
3/14/22 11:30:00 PM,C,24
3/15/22 12:00:00 AM,C,23.5
3/15/22 12:30:00 AM,C,24
3/15/22 1:00:00 AM,C,24
3/15/22 1:30:00 AM,C,23.5
3/15/22 2:00:00 AM,C,24
3/15/22 2:30:00 AM,C,23.5
3/15/22 3:00:00 AM,C,23.5
3/15/22 3:30:00 AM,C,24
3/15/22 4:00:00 AM,C,23.5
3/15/22 4:30:00 AM,C,24
3/15/22 5:00:00 AM,C,24
3/15/22 5:30:00 AM,C,23.5
3/15/22 6:00:00 AM,C,23.5
3/15/22 6:30:00 AM,C,23.5
3/15/22 7:00:00 AM,C,24
3/15/22 7:30:00 AM,C,28
3/15/22 8:00:00 AM,C,32
3/15/22 8:30:00 AM,C,29.5
3/15/22 9:00:00 AM,C,29.5
3/15/22 9:30:00 AM,C,35
3/15/22 10:00:00 AM,C,39.5
3/15/22 10:30:00 AM,C,44
3/15/22 11:00:00 AM,C,45
3/15/22 11:30:00 AM,C,49.5
3/15/22 12:00:00 PM,C,48
3/15/22 12:30:00 PM,C,54
3/15/22 1:00:00 PM,C,49.5
3/15/22 1:30:00 PM,C,49
3/15/22 2:00:00 PM,C,48
3/15/22 2:30:00 PM,C,46
3/15/22 3:00:00 PM,C,42.5
3/15/22 3:30:00 PM,C,42.5
3/15/22 4:00:00 PM,C,38.5
3/15/22 4:30:00 PM,C,35
3/15/22 5:00:00 PM,C,32.5
3/15/22 5:30:00 PM,C,30
3/15/22 6:00:00 PM,C,28.5
3/15/22 6:30:00 PM,C,25.5
3/15/22 7:00:00 PM,C,25.5
3/15/22 7:30:00 PM,C,25
3/15/22 8:00:00 PM,C,24.5
3/15/22 8:30:00 PM,C,24.5
3/15/22 9:00:00 PM,C,24.5
3/15/22 9:30:00 PM,C,24
3/15/22 10:00:00 PM,C,24.5
3/15/22 10:30:00 PM,C,24
3/15/22 11:00:00 PM,C,22.5
3/15/22 11:30:00 PM,C,22
3/16/22 12:00:00 AM,C,22
3/16/22 12:30:00 AM,C,22
3/16/22 1:00:00 AM,C,22.5
3/16/22 1:30:00 AM,C,22
3/16/22 2:00:00 AM,C,23
3/16/22 2:30:00 AM,C,22.5
3/16/22 3:00:00 AM,C,22
3/16/22 3:30:00 AM,C,22
3/16/22 4:00:00 AM,C,22.5
3/16/22 4:30:00 AM,C,22
3/16/22 5:00:00 AM,C,22.5
3/16/22 5:30:00 AM,C,21.5
3/16/22 6:00:00 AM,C,21.5
3/16/22 6:30:00 AM,C,21.5
3/16/22 7:00:00 AM,C,22
3/16/22 7:30:00 AM,C,23.5
3/16/22 8:00:00 AM,C,24
3/16/22 8:30:00 AM,C,26.5
3/16/22 9:00:00 AM,C,33
3/16/22 9:30:00 AM,C,30.5
3/16/22 10:00:00 AM,C,35.5
3/16/22 10:30:00 AM,C,35.5
3/16/22 11:00:00 AM,C,42
3/16/22 11:30:00 AM,C,43.5
3/16/22 12:00:00 PM,C,45.5
3/16/22 12:30:00 PM,C,45.5
3/16/22 1:00:00 PM,C,45.5
3/16/22 1:30:00 PM,C,45
3/16/22 2:00:00 PM,C,42.5
3/16/22 2:30:00 PM,C,39
3/16/22 3:00:00 PM,C,40
3/16/22 3:30:00 PM,C,38
3/16/22 4:00:00 PM,C,35.5
3/16/22 4:30:00 PM,C,32.5
3/16/22 5:00:00 PM,C,30
3/16/22 5:30:00 PM,C,29
3/16/22 6:00:00 PM,C,26.5
3/16/22 6:30:00 PM,C,26
3/16/22 7:00:00 PM,C,25.5
3/16/22 7:30:00 PM,C,25.5
3/16/22 8:00:00 PM,C,24
3/16/22 8:30:00 PM,C,23.5
3/16/22 9:00:00 PM,C,24
3/16/22 9:30:00 PM,C,24.5
3/16/22 10:00:00 PM,C,25
3/16/22 10:30:00 PM,C,23.5
3/16/22 11:00:00 PM,C,24.5
3/16/22 11:30:00 PM,C,25
3/17/22 12:00:00 AM,C,24.5
3/17/22 12:30:00 AM,C,24.5
3/17/22 1:00:00 AM,C,25
3/17/22 1:30:00 AM,C,24.5
3/17/22 2:00:00 AM,C,24
3/17/22 2:30:00 AM,C,24
3/17/22 3:00:00 AM,C,24
3/17/22 3:30:00 AM,C,24
3/17/22 4:00:00 AM,C,24
3/17/22 4:30:00 AM,C,24
3/17/22 5:00:00 AM,C,23.5
3/17/22 5:30:00 AM,C,23.5
3/17/22 6:00:00 AM,C,24
3/17/22 6:30:00 AM,C,24.5
3/17/22 7:00:00 AM,C,23.5
3/17/22 7:30:00 AM,C,26
3/17/22 8:00:00 AM,C,30.5
3/17/22 8:30:00 AM,C,31.5
3/17/22 9:00:00 AM,C,37
3/17/22 9:30:00 AM,C,39
3/17/22 10:00:00 AM,C,41.5
3/17/22 10:30:00 AM,C,42
3/17/22 11:00:00 AM,C,40.5
3/17/22 11:30:00 AM,C,45
3/17/22 12:00:00 PM,C,37.5
3/17/22 12:30:00 PM,C,40
3/17/22 1:00:00 PM,C,48.5
3/17/22 1:30:00 PM,C,45.5
3/17/22 2:00:00 PM,C,49
3/17/22 2:30:00 PM,C,48
3/17/22 3:00:00 PM,C,42.5
3/17/22 3:30:00 PM,C,39.5
3/17/22 4:00:00 PM,C,35
3/17/22 4:30:00 PM,C,35
3/17/22 5:00:00 PM,C,31.5
3/17/22 5:30:00 PM,C,29
3/17/22 6:00:00 PM,C,27
3/17/22 6:30:00 PM,C,25.5
3/17/22 7:00:00 PM,C,25
3/17/22 7:30:00 PM,C,24.5
3/17/22 8:00:00 PM,C,24.5
3/17/22 8:30:00 PM,C,25
3/17/22 9:00:00 PM,C,25
3/17/22 9:30:00 PM,C,25
3/17/22 10:00:00 PM,C,25
3/17/22 10:30:00 PM,C,24.5
3/17/22 11:00:00 PM,C,24.5
3/17/22 11:30:00 PM,C,23
3/18/22 12:00:00 AM,C,23
3/18/22 12:30:00 AM,C,23
3/18/22 1:00:00 AM,C,23
3/18/22 1:30:00 AM,C,23
3/18/22 2:00:00 AM,C,23
3/18/22 2:30:00 AM,C,22.5
3/18/22 3:00:00 AM,C,22.5
3/18/22 3:30:00 AM,C,22
3/18/22 4:00:00 AM,C,22.5
3/18/22 4:30:00 AM,C,22
3/18/22 5:00:00 AM,C,22.5
3/18/22 5:30:00 AM,C,22.5
3/18/22 6:00:00 AM,C,22.5
3/18/22 6:30:00 AM,C,23
3/18/22 7:00:00 AM,C,24
3/18/22 7:30:00 AM,C,25
3/18/22 8:00:00 AM,C,26
3/18/22 8:30:00 AM,C,27.5
3/18/22 9:00:00 AM,C,34.5
3/18/22 9:30:00 AM,C,35.5
3/18/22 10:00:00 AM,C,37.5
3/18/22 10:30:00 AM,C,39
3/18/22 11:00:00 AM,C,41.5
3/18/22 11:30:00 AM,C,43.5
3/18/22 12:00:00 PM,C,46.5
3/18/22 12:30:00 PM,C,52
3/18/22 1:00:00 PM,C,49
3/18/22 1:30:00 PM,C,47.5
3/18/22 2:00:00 PM,C,45
3/18/22 2:30:00 PM,C,43
3/18/22 3:00:00 PM,C,42
3/18/22 3:30:00 PM,C,39.5
3/18/22 4:00:00 PM,C,37
3/18/22 4:30:00 PM,C,36
3/18/22 5:00:00 PM,C,32.5
3/18/22 5:30:00 PM,C,29.5
3/18/22 6:00:00 PM,C,27.5
3/18/22 6:30:00 PM,C,26
3/18/22 7:00:00 PM,C,25.5
3/18/22 7:30:00 PM,C,25
3/18/22 8:00:00 PM,C,25
3/18/22 8:30:00 PM,C,24.5
3/18/22 9:00:00 PM,C,24
3/18/22 9:30:00 PM,C,23.5
3/18/22 10:00:00 PM,C,24
3/18/22 10:30:00 PM,C,24
3/18/22 11:00:00 PM,C,24.5
3/18/22 11:30:00 PM,C,24
3/19/22 12:00:00 AM,C,24
3/19/22 12:30:00 AM,C,24
3/19/22 1:00:00 AM,C,23.5
3/19/22 1:30:00 AM,C,23.5
3/19/22 2:00:00 AM,C,23.5
3/19/22 2:30:00 AM,C,23
3/19/22 3:00:00 AM,C,23
3/19/22 3:30:00 AM,C,23.5
3/19/22 4:00:00 AM,C,23
3/19/22 4:30:00 AM,C,23
3/19/22 5:00:00 AM,C,24
3/19/22 5:30:00 AM,C,23.5
3/19/22 6:00:00 AM,C,24
3/19/22 6:30:00 AM,C,24
3/19/22 7:00:00 AM,C,24
3/19/22 7:30:00 AM,C,25.5
3/19/22 8:00:00 AM,C,28.5
3/19/22 8:30:00 AM,C,37.5
3/19/22 9:00:00 AM,C,41
3/19/22 9:30:00 AM,C,42
3/19/22 10:00:00 AM,C,39.5
3/19/22 10:30:00 AM,C,42
3/19/22 11:00:00 AM,C,39.5
3/19/22 11:30:00 AM,C,43
3/19/22 12:00:00 PM,C,40.5
3/19/22 12:30:00 PM,C,38.5
3/19/22 1:00:00 PM,C,48
3/19/22 1:30:00 PM,C,45.5
3/19/22 2:00:00 PM,C,40
3/19/22 2:30:00 PM,C,38
3/19/22 3:00:00 PM,C,40.5
3/19/22 3:30:00 PM,C,38
3/19/22 4:00:00 PM,C,36.5
3/19/22 4:30:00 PM,C,32.5
3/19/22 5:00:00 PM,C,31
3/19/22 5:30:00 PM,C,28.5
3/19/22 6:00:00 PM,C,27
3/19/22 6:30:00 PM,C,26.5
3/19/22 7:00:00 PM,C,25.5
3/19/22 7:30:00 PM,C,23
3/19/22 8:00:00 PM,C,24
3/19/22 8:30:00 PM,C,23.5
3/19/22 9:00:00 PM,C,23.5
3/19/22 9:30:00 PM,C,23.5
3/19/22 10:00:00 PM,C,23.5
3/19/22 10:30:00 PM,C,23
3/19/22 11:00:00 PM,C,23.5
3/19/22 11:30:00 PM,C,23.5
3/20/22 12:00:00 AM,C,23.5
3/20/22 12:30:00 AM,C,23
3/20/22 1:00:00 AM,C,23
3/20/22 1:30:00 AM,C,23
3/20/22 2:00:00 AM,C,23.5
3/20/22 2:30:00 AM,C,24
3/20/22 3:00:00 AM,C,24
3/20/22 3:30:00 AM,C,24
3/20/22 4:00:00 AM,C,24.5
3/20/22 4:30:00 AM,C,25
3/20/22 5:00:00 AM,C,24.5
3/20/22 5:30:00 AM,C,25
3/20/22 6:00:00 AM,C,25
3/20/22 6:30:00 AM,C,25
3/20/22 7:00:00 AM,C,25.5
3/20/22 7:30:00 AM,C,26
3/20/22 8:00:00 AM,C,28
3/20/22 8:30:00 AM,C,28.5
3/20/22 9:00:00 AM,C,28
3/20/22 9:30:00 AM,C,31.5
3/20/22 10:00:00 AM,C,25
3/20/22 10:30:00 AM,C,34
3/20/22 11:00:00 AM,C,36.5
3/20/22 11:30:00 AM,C,42.5
3/20/22 12:00:00 PM,C,44.5
3/20/22 12:30:00 PM,C,52.5
3/20/22 1:00:00 PM,C,53
3/20/22 1:30:00 PM,C,51
3/20/22 2:00:00 PM,C,50.5
3/20/22 2:30:00 PM,C,49
3/20/22 3:00:00 PM,C,45
3/20/22 3:30:00 PM,C,40.5
3/20/22 4:00:00 PM,C,39.5
3/20/22 4:30:00 PM,C,35
3/20/22 5:00:00 PM,C,32
3/20/22 5:30:00 PM,C,30
3/20/22 6:00:00 PM,C,28
3/20/22 6:30:00 PM,C,26
3/20/22 7:00:00 PM,C,25.5
3/20/22 7:30:00 PM,C,25.5
3/20/22 8:00:00 PM,C,25
3/20/22 8:30:00 PM,C,25
3/20/22 9:00:00 PM,C,24.5
3/20/22 9:30:00 PM,C,24.5
3/20/22 10:00:00 PM,C,24
3/20/22 10:30:00 PM,C,23.5
3/20/22 11:00:00 PM,C,24
3/20/22 11:30:00 PM,C,23.5
3/21/22 12:00:00 AM,C,23.5
3/21/22 12:30:00 AM,C,23
3/21/22 1:00:00 AM,C,23
3/21/22 1:30:00 AM,C,23
3/21/22 2:00:00 AM,C,23
3/21/22 2:30:00 AM,C,23.5
3/21/22 3:00:00 AM,C,23
3/21/22 3:30:00 AM,C,23
3/21/22 4:00:00 AM,C,22.5
3/21/22 4:30:00 AM,C,23
3/21/22 5:00:00 AM,C,22
3/21/22 5:30:00 AM,C,22
3/21/22 6:00:00 AM,C,21.5
3/21/22 6:30:00 AM,C,21.5
3/21/22 7:00:00 AM,C,21.5
3/21/22 7:30:00 AM,C,29
3/21/22 8:00:00 AM,C,38.5
3/21/22 8:30:00 AM,C,40
3/21/22 9:00:00 AM,C,43.5
3/21/22 9:30:00 AM,C,44
3/21/22 10:00:00 AM,C,47
3/21/22 10:30:00 AM,C,53
3/21/22 11:00:00 AM,C,54.5
3/21/22 11:30:00 AM,C,52.5
3/21/22 12:00:00 PM,C,50.5
3/21/22 12:30:00 PM,C,36
3/21/22 1:00:00 PM,C,57
3/21/22 1:30:00 PM,C,47
3/21/22 2:00:00 PM,C,42.5
3/21/22 2:30:00 PM,C,39.5
3/21/22 3:00:00 PM,C,39
3/21/22 3:30:00 PM,C,34.5
3/21/22 4:00:00 PM,C,44
3/21/22 4:30:00 PM,C,33.5
3/21/22 5:00:00 PM,C,29
3/21/22 5:30:00 PM,C,31.5
3/21/22 6:00:00 PM,C,28.5
3/21/22 6:30:00 PM,C,27
3/21/22 7:00:00 PM,C,26
3/21/22 7:30:00 PM,C,25.5
3/21/22 8:00:00 PM,C,25
3/21/22 8:30:00 PM,C,24
3/21/22 9:00:00 PM,C,24
3/21/22 9:30:00 PM,C,23.5
3/21/22 10:00:00 PM,C,23.5
3/21/22 10:30:00 PM,C,23
3/21/22 11:00:00 PM,C,23
3/21/22 11:30:00 PM,C,23
3/22/22 12:00:00 AM,C,22.5
3/22/22 12:30:00 AM,C,22.5
3/22/22 1:00:00 AM,C,22.5
3/22/22 1:30:00 AM,C,22
3/22/22 2:00:00 AM,C,21
3/22/22 2:30:00 AM,C,20.5
3/22/22 3:00:00 AM,C,20.5
3/22/22 3:30:00 AM,C,20.5
3/22/22 4:00:00 AM,C,20
3/22/22 4:30:00 AM,C,20
3/22/22 5:00:00 AM,C,20
3/22/22 5:30:00 AM,C,20.5
3/22/22 6:00:00 AM,C,20
3/22/22 6:30:00 AM,C,20
3/22/22 7:00:00 AM,C,21
3/22/22 7:30:00 AM,C,29
3/22/22 8:00:00 AM,C,31
3/22/22 8:30:00 AM,C,30
3/22/22 9:00:00 AM,C,38
3/22/22 9:30:00 AM,C,37.5
3/22/22 10:00:00 AM,C,49.5
3/22/22 10:30:00 AM,C,43.5
3/22/22 11:00:00 AM,C,35.5
3/22/22 11:30:00 AM,C,26.5
3/22/22 12:00:00 PM,C,29.5
3/22/22 12:30:00 PM,C,29.5
3/22/22 1:00:00 PM,C,32.5
3/22/22 1:30:00 PM,C,31.5
3/22/22 2:00:00 PM,C,26.5
3/22/22 2:30:00 PM,C,28
3/22/22 3:00:00 PM,C,32.5
3/22/22 3:30:00 PM,C,29.5
3/22/22 4:00:00 PM,C,29
3/22/22 4:30:00 PM,C,28.5
3/22/22 5:00:00 PM,C,28
3/22/22 5:30:00 PM,C,26
3/22/22 6:00:00 PM,C,25
3/22/22 6:30:00 PM,C,24.5
3/22/22 7:00:00 PM,C,24
3/22/22 7:30:00 PM,C,24
3/22/22 8:00:00 PM,C,24
3/22/22 8:30:00 PM,C,24
3/22/22 9:00:00 PM,C,24
3/22/22 9:30:00 PM,C,24
3/22/22 10:00:00 PM,C,23.5
3/22/22 10:30:00 PM,C,23
3/22/22 11:00:00 PM,C,23
3/22/22 11:30:00 PM,C,23
3/23/22 12:00:00 AM,C,23
3/23/22 12:30:00 AM,C,23
3/23/22 1:00:00 AM,C,22.5
3/23/22 1:30:00 AM,C,22.5
3/23/22 2:00:00 AM,C,22
3/23/22 2:30:00 AM,C,21.5
3/23/22 3:00:00 AM,C,21.5
3/23/22 3:30:00 AM,C,21.5
3/23/22 4:00:00 AM,C,21.5
3/23/22 4:30:00 AM,C,22
3/23/22 5:00:00 AM,C,21.5
3/23/22 5:30:00 AM,C,21.5
3/23/22 6:00:00 AM,C,22
3/23/22 6:30:00 AM,C,21.5
3/23/22 7:00:00 AM,C,22
3/23/22 7:30:00 AM,C,25.5
3/23/22 8:00:00 AM,C,32.5
3/23/22 8:30:00 AM,C,36.5
3/23/22 9:00:00 AM,C,40
3/23/22 9:30:00 AM,C,42.5
3/23/22 10:00:00 AM,C,44.5
3/23/22 10:30:00 AM,C,47
3/23/22 11:00:00 AM,C,49.5
3/23/22 11:30:00 AM,C,49
3/23/22 12:00:00 PM,C,50
3/23/22 12:30:00 PM,C,47
3/23/22 1:00:00 PM,C,47
3/23/22 1:30:00 PM,C,49
3/23/22 2:00:00 PM,C,46.5
3/23/22 2:30:00 PM,C,44.5
3/23/22 3:00:00 PM,C,39.5
3/23/22 3:30:00 PM,C,41
3/23/22 4:00:00 PM,C,39
3/23/22 4:30:00 PM,C,36
3/23/22 5:00:00 PM,C,32
3/23/22 5:30:00 PM,C,29
3/23/22 6:00:00 PM,C,27.5
3/23/22 6:30:00 PM,C,26
3/23/22 7:00:00 PM,C,25.5
3/23/22 7:30:00 PM,C,25
3/23/22 8:00:00 PM,C,25
3/23/22 8:30:00 PM,C,25
3/23/22 9:00:00 PM,C,24.5
3/23/22 9:30:00 PM,C,24.5
3/23/22 10:00:00 PM,C,24
3/23/22 10:30:00 PM,C,23.5
3/23/22 11:00:00 PM,C,23.5
3/23/22 11:30:00 PM,C,23.5
3/24/22 12:00:00 AM,C,23
3/24/22 12:30:00 AM,C,23
3/24/22 1:00:00 AM,C,23
3/24/22 1:30:00 AM,C,23
3/24/22 2:00:00 AM,C,23.5
3/24/22 2:30:00 AM,C,23.5
3/24/22 3:00:00 AM,C,24.5
3/24/22 3:30:00 AM,C,24
3/24/22 4:00:00 AM,C,24
3/24/22 4:30:00 AM,C,24.5
3/24/22 5:00:00 AM,C,24
3/24/22 5:30:00 AM,C,23.5
3/24/22 6:00:00 AM,C,23
3/24/22 6:30:00 AM,C,24.5
3/24/22 7:00:00 AM,C,23
3/24/22 7:30:00 AM,C,24
3/24/22 8:00:00 AM,C,26.5
3/24/22 8:30:00 AM,C,24
3/24/22 9:00:00 AM,C,33
3/24/22 9:30:00 AM,C,25.5
3/24/22 10:00:00 AM,C,39
3/24/22 10:30:00 AM,C,39
3/24/22 11:00:00 AM,C,32.5
3/24/22 11:30:00 AM,C,34.5
3/24/22 12:00:00 PM,C,35.5
3/24/22 12:30:00 PM,C,45
3/24/22 1:00:00 PM,C,43
3/24/22 1:30:00 PM,C,38
3/24/22 2:00:00 PM,C,33.5
3/24/22 2:30:00 PM,C,41.5
3/24/22 3:00:00 PM,C,34.5
3/24/22 3:30:00 PM,C,32.5
