1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB000000414B0A21
Is Mission Active?  true
Mission Start:  Thu Apr 14 09:58:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1534
Total Samples:  54630
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/14/22 9:58:00 AM,C,32.5
4/14/22 10:28:00 AM,C,42.5
4/14/22 10:58:00 AM,C,44
4/14/22 11:28:00 AM,C,41
4/14/22 11:58:00 AM,C,44
4/14/22 12:28:00 PM,C,45.5
4/14/22 12:58:00 PM,C,45.5
4/14/22 1:28:00 PM,C,39.5
4/14/22 1:58:00 PM,C,42.5
4/14/22 2:28:00 PM,C,41.5
4/14/22 2:58:00 PM,C,39.5
4/14/22 3:28:00 PM,C,35
4/14/22 3:58:00 PM,C,37.5
4/14/22 4:28:00 PM,C,31.5
4/14/22 4:58:00 PM,C,30.5
4/14/22 5:28:00 PM,C,29
4/14/22 5:58:00 PM,C,28
4/14/22 6:28:00 PM,C,26.5
4/14/22 6:58:00 PM,C,25
4/14/22 7:28:00 PM,C,25.5
4/14/22 7:58:00 PM,C,25
4/14/22 8:28:00 PM,C,25.5
4/14/22 8:58:00 PM,C,25
4/14/22 9:28:00 PM,C,23
4/14/22 9:58:00 PM,C,23
4/14/22 10:28:00 PM,C,23.5
4/14/22 10:58:00 PM,C,24
4/14/22 11:28:00 PM,C,23.5
4/14/22 11:58:00 PM,C,24
4/15/22 12:28:00 AM,C,24
4/15/22 12:58:00 AM,C,24
4/15/22 1:28:00 AM,C,24
4/15/22 1:58:00 AM,C,24
4/15/22 2:28:00 AM,C,24
4/15/22 2:58:00 AM,C,24
4/15/22 3:28:00 AM,C,24
4/15/22 3:58:00 AM,C,24
4/15/22 4:28:00 AM,C,24
4/15/22 4:58:00 AM,C,24
4/15/22 5:28:00 AM,C,24
4/15/22 5:58:00 AM,C,24.5
4/15/22 6:28:00 AM,C,24.5
4/15/22 6:58:00 AM,C,27
4/15/22 7:28:00 AM,C,29
4/15/22 7:58:00 AM,C,32
4/15/22 8:28:00 AM,C,35.5
4/15/22 8:58:00 AM,C,37.5
4/15/22 9:28:00 AM,C,40.5
4/15/22 9:58:00 AM,C,43
4/15/22 10:28:00 AM,C,44.5
4/15/22 10:58:00 AM,C,44
4/15/22 11:28:00 AM,C,46
4/15/22 11:58:00 AM,C,46
4/15/22 12:28:00 PM,C,46
4/15/22 12:58:00 PM,C,48
4/15/22 1:28:00 PM,C,48
4/15/22 1:58:00 PM,C,45
4/15/22 2:28:00 PM,C,46.5
4/15/22 2:58:00 PM,C,43.5
4/15/22 3:28:00 PM,C,40.5
4/15/22 3:58:00 PM,C,38
4/15/22 4:28:00 PM,C,31.5
4/15/22 4:58:00 PM,C,30.5
4/15/22 5:28:00 PM,C,29
4/15/22 5:58:00 PM,C,28
4/15/22 6:28:00 PM,C,26.5
4/15/22 6:58:00 PM,C,26
4/15/22 7:28:00 PM,C,26
4/15/22 7:58:00 PM,C,26
4/15/22 8:28:00 PM,C,25.5
4/15/22 8:58:00 PM,C,25.5
4/15/22 9:28:00 PM,C,25
4/15/22 9:58:00 PM,C,25
4/15/22 10:28:00 PM,C,24.5
4/15/22 10:58:00 PM,C,25
4/15/22 11:28:00 PM,C,25
4/15/22 11:58:00 PM,C,25
4/16/22 12:28:00 AM,C,25
4/16/22 12:58:00 AM,C,25
4/16/22 1:28:00 AM,C,25
4/16/22 1:58:00 AM,C,24.5
4/16/22 2:28:00 AM,C,24.5
4/16/22 2:58:00 AM,C,24.5
4/16/22 3:28:00 AM,C,25
4/16/22 3:58:00 AM,C,24.5
4/16/22 4:28:00 AM,C,24.5
4/16/22 4:58:00 AM,C,24.5
4/16/22 5:28:00 AM,C,24.5
4/16/22 5:58:00 AM,C,24.5
4/16/22 6:28:00 AM,C,25
4/16/22 6:58:00 AM,C,27
4/16/22 7:28:00 AM,C,29.5
4/16/22 7:58:00 AM,C,32
4/16/22 8:28:00 AM,C,34.5
4/16/22 8:58:00 AM,C,31
4/16/22 9:28:00 AM,C,36
4/16/22 9:58:00 AM,C,31
4/16/22 10:28:00 AM,C,38
4/16/22 10:58:00 AM,C,44.5
4/16/22 11:28:00 AM,C,46
4/16/22 11:58:00 AM,C,46.5
4/16/22 12:28:00 PM,C,47.5
4/16/22 12:58:00 PM,C,44
4/16/22 1:28:00 PM,C,48.5
4/16/22 1:58:00 PM,C,40.5
4/16/22 2:28:00 PM,C,32.5
4/16/22 2:58:00 PM,C,34.5
4/16/22 3:28:00 PM,C,34
4/16/22 3:58:00 PM,C,32.5
4/16/22 4:28:00 PM,C,31
4/16/22 4:58:00 PM,C,29.5
4/16/22 5:28:00 PM,C,28.5
4/16/22 5:58:00 PM,C,27.5
4/16/22 6:28:00 PM,C,27
4/16/22 6:58:00 PM,C,26.5
4/16/22 7:28:00 PM,C,26.5
4/16/22 7:58:00 PM,C,26
4/16/22 8:28:00 PM,C,26
4/16/22 8:58:00 PM,C,26
4/16/22 9:28:00 PM,C,25.5
4/16/22 9:58:00 PM,C,25.5
4/16/22 10:28:00 PM,C,25.5
4/16/22 10:58:00 PM,C,25.5
4/16/22 11:28:00 PM,C,25.5
4/16/22 11:58:00 PM,C,25.5
4/17/22 12:28:00 AM,C,25.5
4/17/22 12:58:00 AM,C,25
4/17/22 1:28:00 AM,C,25
4/17/22 1:58:00 AM,C,24
4/17/22 2:28:00 AM,C,24.5
4/17/22 2:58:00 AM,C,24.5
4/17/22 3:28:00 AM,C,24.5
4/17/22 3:58:00 AM,C,25
4/17/22 4:28:00 AM,C,24.5
4/17/22 4:58:00 AM,C,24.5
4/17/22 5:28:00 AM,C,24
4/17/22 5:58:00 AM,C,23.5
4/17/22 6:28:00 AM,C,24.5
4/17/22 6:58:00 AM,C,24.5
4/17/22 7:28:00 AM,C,28.5
4/17/22 7:58:00 AM,C,31.5
4/17/22 8:28:00 AM,C,33
4/17/22 8:58:00 AM,C,36.5
4/17/22 9:28:00 AM,C,38
4/17/22 9:58:00 AM,C,34.5
4/17/22 10:28:00 AM,C,44
4/17/22 10:58:00 AM,C,44.5
4/17/22 11:28:00 AM,C,47.5
4/17/22 11:58:00 AM,C,45.5
4/17/22 12:28:00 PM,C,47
4/17/22 12:58:00 PM,C,48
4/17/22 1:28:00 PM,C,41.5
4/17/22 1:58:00 PM,C,44
4/17/22 2:28:00 PM,C,43
4/17/22 2:58:00 PM,C,37
4/17/22 3:28:00 PM,C,38.5
4/17/22 3:58:00 PM,C,38
4/17/22 4:28:00 PM,C,34.5
4/17/22 4:58:00 PM,C,33.5
4/17/22 5:28:00 PM,C,29.5
4/17/22 5:58:00 PM,C,28.5
4/17/22 6:28:00 PM,C,27
4/17/22 6:58:00 PM,C,26.5
4/17/22 7:28:00 PM,C,26
4/17/22 7:58:00 PM,C,26
4/17/22 8:28:00 PM,C,26
4/17/22 8:58:00 PM,C,25.5
4/17/22 9:28:00 PM,C,25.5
4/17/22 9:58:00 PM,C,25.5
4/17/22 10:28:00 PM,C,25.5
4/17/22 10:58:00 PM,C,25
4/17/22 11:28:00 PM,C,25
4/17/22 11:58:00 PM,C,25.5
4/18/22 12:28:00 AM,C,25
4/18/22 12:58:00 AM,C,25
4/18/22 1:28:00 AM,C,25
4/18/22 1:58:00 AM,C,25.5
4/18/22 2:28:00 AM,C,25
4/18/22 2:58:00 AM,C,25
4/18/22 3:28:00 AM,C,25
4/18/22 3:58:00 AM,C,25
4/18/22 4:28:00 AM,C,25
4/18/22 4:58:00 AM,C,25.5
4/18/22 5:28:00 AM,C,25
4/18/22 5:58:00 AM,C,23
4/18/22 6:28:00 AM,C,24.5
4/18/22 6:58:00 AM,C,26.5
4/18/22 7:28:00 AM,C,28
4/18/22 7:58:00 AM,C,31
4/18/22 8:28:00 AM,C,34
4/18/22 8:58:00 AM,C,37.5
4/18/22 9:28:00 AM,C,40
4/18/22 9:58:00 AM,C,40.5
4/18/22 10:28:00 AM,C,39.5
4/18/22 10:58:00 AM,C,44
4/18/22 11:28:00 AM,C,45.5
4/18/22 11:58:00 AM,C,43.5
4/18/22 12:28:00 PM,C,45
4/18/22 12:58:00 PM,C,43.5
4/18/22 1:28:00 PM,C,42
4/18/22 1:58:00 PM,C,42
4/18/22 2:28:00 PM,C,40.5
4/18/22 2:58:00 PM,C,39
4/18/22 3:28:00 PM,C,36
4/18/22 3:58:00 PM,C,32
4/18/22 4:28:00 PM,C,30.5
4/18/22 4:58:00 PM,C,30.5
4/18/22 5:28:00 PM,C,29.5
4/18/22 5:58:00 PM,C,28
4/18/22 6:28:00 PM,C,27
4/18/22 6:58:00 PM,C,26.5
4/18/22 7:28:00 PM,C,26
4/18/22 7:58:00 PM,C,26
4/18/22 8:28:00 PM,C,25.5
4/18/22 8:58:00 PM,C,25.5
4/18/22 9:28:00 PM,C,26
4/18/22 9:58:00 PM,C,26
4/18/22 10:28:00 PM,C,26
4/18/22 10:58:00 PM,C,26
4/18/22 11:28:00 PM,C,26
4/18/22 11:58:00 PM,C,25.5
4/19/22 12:28:00 AM,C,25.5
4/19/22 12:58:00 AM,C,25.5
4/19/22 1:28:00 AM,C,25.5
4/19/22 1:58:00 AM,C,25.5
4/19/22 2:28:00 AM,C,25.5
4/19/22 2:58:00 AM,C,25.5
4/19/22 3:28:00 AM,C,25.5
4/19/22 3:58:00 AM,C,25.5
4/19/22 4:28:00 AM,C,25
4/19/22 4:58:00 AM,C,25
4/19/22 5:28:00 AM,C,25
4/19/22 5:58:00 AM,C,25
4/19/22 6:28:00 AM,C,26
4/19/22 6:58:00 AM,C,27
4/19/22 7:28:00 AM,C,28
4/19/22 7:58:00 AM,C,24.5
4/19/22 8:28:00 AM,C,27.5
4/19/22 8:58:00 AM,C,31.5
4/19/22 9:28:00 AM,C,31
4/19/22 9:58:00 AM,C,37
4/19/22 10:28:00 AM,C,41
4/19/22 10:58:00 AM,C,44.5
4/19/22 11:28:00 AM,C,43.5
4/19/22 11:58:00 AM,C,37.5
4/19/22 12:28:00 PM,C,36
4/19/22 12:58:00 PM,C,34.5
4/19/22 1:28:00 PM,C,37
4/19/22 1:58:00 PM,C,38
4/19/22 2:28:00 PM,C,37
4/19/22 2:58:00 PM,C,36.5
4/19/22 3:28:00 PM,C,35.5
4/19/22 3:58:00 PM,C,32.5
4/19/22 4:28:00 PM,C,29.5
4/19/22 4:58:00 PM,C,30.5
4/19/22 5:28:00 PM,C,29
4/19/22 5:58:00 PM,C,28
4/19/22 6:28:00 PM,C,27
4/19/22 6:58:00 PM,C,26.5
4/19/22 7:28:00 PM,C,26
4/19/22 7:58:00 PM,C,26
4/19/22 8:28:00 PM,C,25.5
4/19/22 8:58:00 PM,C,25.5
4/19/22 9:28:00 PM,C,25.5
4/19/22 9:58:00 PM,C,26
4/19/22 10:28:00 PM,C,25.5
4/19/22 10:58:00 PM,C,26
4/19/22 11:28:00 PM,C,25.5
4/19/22 11:58:00 PM,C,25.5
4/20/22 12:28:00 AM,C,26
4/20/22 12:58:00 AM,C,25.5
4/20/22 1:28:00 AM,C,25.5
4/20/22 1:58:00 AM,C,25.5
4/20/22 2:28:00 AM,C,25.5
4/20/22 2:58:00 AM,C,25.5
4/20/22 3:28:00 AM,C,25.5
4/20/22 3:58:00 AM,C,25.5
4/20/22 4:28:00 AM,C,25.5
4/20/22 4:58:00 AM,C,25
4/20/22 5:28:00 AM,C,25.5
4/20/22 5:58:00 AM,C,25
4/20/22 6:28:00 AM,C,25
4/20/22 6:58:00 AM,C,27.5
4/20/22 7:28:00 AM,C,30.5
4/20/22 7:58:00 AM,C,32
4/20/22 8:28:00 AM,C,31
4/20/22 8:58:00 AM,C,36
4/20/22 9:28:00 AM,C,35.5
4/20/22 9:58:00 AM,C,39.5
4/20/22 10:28:00 AM,C,41
4/20/22 10:58:00 AM,C,37.5
4/20/22 11:28:00 AM,C,43
4/20/22 11:58:00 AM,C,40.5
4/20/22 12:28:00 PM,C,39.5
4/20/22 12:58:00 PM,C,41.5
4/20/22 1:28:00 PM,C,43
4/20/22 1:58:00 PM,C,45
4/20/22 2:28:00 PM,C,43
4/20/22 2:58:00 PM,C,42
4/20/22 3:28:00 PM,C,41.5
4/20/22 3:58:00 PM,C,38
4/20/22 4:28:00 PM,C,34
4/20/22 4:58:00 PM,C,32
4/20/22 5:28:00 PM,C,31.5
4/20/22 5:58:00 PM,C,29
4/20/22 6:28:00 PM,C,27.5
4/20/22 6:58:00 PM,C,27
4/20/22 7:28:00 PM,C,26.5
4/20/22 7:58:00 PM,C,26
4/20/22 8:28:00 PM,C,25.5
4/20/22 8:58:00 PM,C,26
4/20/22 9:28:00 PM,C,26
4/20/22 9:58:00 PM,C,23
4/20/22 10:28:00 PM,C,24.5
4/20/22 10:58:00 PM,C,25
4/20/22 11:28:00 PM,C,25
4/20/22 11:58:00 PM,C,25
4/21/22 12:28:00 AM,C,25
4/21/22 12:58:00 AM,C,24
4/21/22 1:28:00 AM,C,24
4/21/22 1:58:00 AM,C,24.5
4/21/22 2:28:00 AM,C,25
4/21/22 2:58:00 AM,C,24.5
4/21/22 3:28:00 AM,C,24.5
4/21/22 3:58:00 AM,C,24.5
4/21/22 4:28:00 AM,C,24.5
4/21/22 4:58:00 AM,C,24.5
4/21/22 5:28:00 AM,C,24
4/21/22 5:58:00 AM,C,24
4/21/22 6:28:00 AM,C,24.5
4/21/22 6:58:00 AM,C,26.5
4/21/22 7:28:00 AM,C,29.5
4/21/22 7:58:00 AM,C,31.5
4/21/22 8:28:00 AM,C,34
4/21/22 8:58:00 AM,C,35.5
4/21/22 9:28:00 AM,C,39
4/21/22 9:58:00 AM,C,43
4/21/22 10:28:00 AM,C,44.5
4/21/22 10:58:00 AM,C,44.5
4/21/22 11:28:00 AM,C,46.5
4/21/22 11:58:00 AM,C,48.5
4/21/22 12:28:00 PM,C,47.5
4/21/22 12:58:00 PM,C,47
4/21/22 1:28:00 PM,C,45
4/21/22 1:58:00 PM,C,45
4/21/22 2:28:00 PM,C,43
4/21/22 2:58:00 PM,C,41.5
4/21/22 3:28:00 PM,C,39
4/21/22 3:58:00 PM,C,38.5
4/21/22 4:28:00 PM,C,36
4/21/22 4:58:00 PM,C,33
4/21/22 5:28:00 PM,C,30.5
4/21/22 5:58:00 PM,C,29.5
4/21/22 6:28:00 PM,C,27.5
4/21/22 6:58:00 PM,C,26.5
4/21/22 7:28:00 PM,C,26
4/21/22 7:58:00 PM,C,25
4/21/22 8:28:00 PM,C,24.5
4/21/22 8:58:00 PM,C,25
4/21/22 9:28:00 PM,C,25
4/21/22 9:58:00 PM,C,25.5
4/21/22 10:28:00 PM,C,25.5
4/21/22 10:58:00 PM,C,25
4/21/22 11:28:00 PM,C,25
4/21/22 11:58:00 PM,C,25
4/22/22 12:28:00 AM,C,24.5
4/22/22 12:58:00 AM,C,25
4/22/22 1:28:00 AM,C,22
4/22/22 1:58:00 AM,C,22.5
4/22/22 2:28:00 AM,C,23
4/22/22 2:58:00 AM,C,22
4/22/22 3:28:00 AM,C,23
4/22/22 3:58:00 AM,C,22
4/22/22 4:28:00 AM,C,21.5
4/22/22 4:58:00 AM,C,22
4/22/22 5:28:00 AM,C,22.5
4/22/22 5:58:00 AM,C,22
4/22/22 6:28:00 AM,C,22.5
4/22/22 6:58:00 AM,C,23
4/22/22 7:28:00 AM,C,23.5
4/22/22 7:58:00 AM,C,26.5
4/22/22 8:28:00 AM,C,34
4/22/22 8:58:00 AM,C,35
4/22/22 9:28:00 AM,C,38
4/22/22 9:58:00 AM,C,40.5
4/22/22 10:28:00 AM,C,42
4/22/22 10:58:00 AM,C,41
4/22/22 11:28:00 AM,C,43.5
4/22/22 11:58:00 AM,C,43.5
4/22/22 12:28:00 PM,C,34.5
