1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4400000041B21221
Is Mission Active?  true
Mission Start:  Fri Jan 17 08:31:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1536
Total Samples:  15362
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/17/20 8:31:00 AM,C,31.5
1/17/20 9:01:00 AM,C,25
1/17/20 9:31:00 AM,C,26
1/17/20 10:01:00 AM,C,27
1/17/20 10:31:00 AM,C,28
1/17/20 11:01:00 AM,C,29
1/17/20 11:31:00 AM,C,30.5
1/17/20 12:01:00 PM,C,31.5
1/17/20 12:31:00 PM,C,32
1/17/20 1:01:00 PM,C,32.5
1/17/20 1:31:00 PM,C,32.5
1/17/20 2:01:00 PM,C,32.5
1/17/20 2:31:00 PM,C,34.5
1/17/20 3:01:00 PM,C,39
1/17/20 3:31:00 PM,C,35.5
1/17/20 4:01:00 PM,C,38
1/17/20 4:31:00 PM,C,33.5
1/17/20 5:01:00 PM,C,33
1/17/20 5:31:00 PM,C,32
1/17/20 6:01:00 PM,C,30
1/17/20 6:31:00 PM,C,27.5
1/17/20 7:01:00 PM,C,27
1/17/20 7:31:00 PM,C,26.5
1/17/20 8:01:00 PM,C,26
1/17/20 8:31:00 PM,C,26
1/17/20 9:01:00 PM,C,25.5
1/17/20 9:31:00 PM,C,25.5
1/17/20 10:01:00 PM,C,25
1/17/20 10:31:00 PM,C,25
1/17/20 11:01:00 PM,C,24.5
1/17/20 11:31:00 PM,C,24.5
1/18/20 12:01:00 AM,C,24.5
1/18/20 12:31:00 AM,C,24
1/18/20 1:01:00 AM,C,24
1/18/20 1:31:00 AM,C,24
1/18/20 2:01:00 AM,C,24
1/18/20 2:31:00 AM,C,24
1/18/20 3:01:00 AM,C,24
1/18/20 3:31:00 AM,C,24
1/18/20 4:01:00 AM,C,24
1/18/20 4:31:00 AM,C,24
1/18/20 5:01:00 AM,C,24
1/18/20 5:31:00 AM,C,24
1/18/20 6:01:00 AM,C,24.5
1/18/20 6:31:00 AM,C,24.5
1/18/20 7:01:00 AM,C,25
1/18/20 7:31:00 AM,C,25
1/18/20 8:01:00 AM,C,25.5
1/18/20 8:31:00 AM,C,25.5
1/18/20 9:01:00 AM,C,26
1/18/20 9:31:00 AM,C,27
1/18/20 10:01:00 AM,C,27
1/18/20 10:31:00 AM,C,28.5
1/18/20 11:01:00 AM,C,29
1/18/20 11:31:00 AM,C,29
1/18/20 12:01:00 PM,C,30.5
1/18/20 12:31:00 PM,C,31.5
1/18/20 1:01:00 PM,C,32.5
1/18/20 1:31:00 PM,C,32
1/18/20 2:01:00 PM,C,32.5
1/18/20 2:31:00 PM,C,34
1/18/20 3:01:00 PM,C,38
1/18/20 3:31:00 PM,C,35.5
1/18/20 4:01:00 PM,C,38.5
1/18/20 4:31:00 PM,C,33
1/18/20 5:01:00 PM,C,31.5
1/18/20 5:31:00 PM,C,30.5
1/18/20 6:01:00 PM,C,29.5
1/18/20 6:31:00 PM,C,27
1/18/20 7:01:00 PM,C,26.5
1/18/20 7:31:00 PM,C,26
1/18/20 8:01:00 PM,C,26
1/18/20 8:31:00 PM,C,25.5
1/18/20 9:01:00 PM,C,25.5
1/18/20 9:31:00 PM,C,25
1/18/20 10:01:00 PM,C,25
1/18/20 10:31:00 PM,C,25
1/18/20 11:01:00 PM,C,25
1/18/20 11:31:00 PM,C,24.5
1/19/20 12:01:00 AM,C,24.5
1/19/20 12:31:00 AM,C,24.5
1/19/20 1:01:00 AM,C,24.5
1/19/20 1:31:00 AM,C,24.5
1/19/20 2:01:00 AM,C,24.5
1/19/20 2:31:00 AM,C,24
1/19/20 3:01:00 AM,C,24
1/19/20 3:31:00 AM,C,24
1/19/20 4:01:00 AM,C,24
1/19/20 4:31:00 AM,C,24
1/19/20 5:01:00 AM,C,24
1/19/20 5:31:00 AM,C,24
1/19/20 6:01:00 AM,C,24
1/19/20 6:31:00 AM,C,24
1/19/20 7:01:00 AM,C,24
1/19/20 7:31:00 AM,C,24.5
1/19/20 8:01:00 AM,C,25
1/19/20 8:31:00 AM,C,25.5
1/19/20 9:01:00 AM,C,25.5
1/19/20 9:31:00 AM,C,26
1/19/20 10:01:00 AM,C,27.5
1/19/20 10:31:00 AM,C,28.5
1/19/20 11:01:00 AM,C,28.5
1/19/20 11:31:00 AM,C,30
1/19/20 12:01:00 PM,C,30.5
1/19/20 12:31:00 PM,C,32
1/19/20 1:01:00 PM,C,31.5
1/19/20 1:31:00 PM,C,31
1/19/20 2:01:00 PM,C,32
1/19/20 2:31:00 PM,C,33.5
1/19/20 3:01:00 PM,C,37.5
1/19/20 3:31:00 PM,C,35
1/19/20 4:01:00 PM,C,33.5
1/19/20 4:31:00 PM,C,30
1/19/20 5:01:00 PM,C,29
1/19/20 5:31:00 PM,C,28
1/19/20 6:01:00 PM,C,27
1/19/20 6:31:00 PM,C,26.5
1/19/20 7:01:00 PM,C,26.5
1/19/20 7:31:00 PM,C,26.5
1/19/20 8:01:00 PM,C,26
1/19/20 8:31:00 PM,C,26
1/19/20 9:01:00 PM,C,26
1/19/20 9:31:00 PM,C,26
1/19/20 10:01:00 PM,C,25.5
1/19/20 10:31:00 PM,C,25.5
1/19/20 11:01:00 PM,C,25.5
1/19/20 11:31:00 PM,C,25.5
1/20/20 12:01:00 AM,C,25
1/20/20 12:31:00 AM,C,25
1/20/20 1:01:00 AM,C,24.5
1/20/20 1:31:00 AM,C,24.5
1/20/20 2:01:00 AM,C,24.5
1/20/20 2:31:00 AM,C,24
1/20/20 3:01:00 AM,C,24.5
1/20/20 3:31:00 AM,C,24.5
1/20/20 4:01:00 AM,C,24.5
1/20/20 4:31:00 AM,C,24
1/20/20 5:01:00 AM,C,24
1/20/20 5:31:00 AM,C,23.5
1/20/20 6:01:00 AM,C,24
1/20/20 6:31:00 AM,C,24
1/20/20 7:01:00 AM,C,23.5
1/20/20 7:31:00 AM,C,24
1/20/20 8:01:00 AM,C,24.5
1/20/20 8:31:00 AM,C,24.5
1/20/20 9:01:00 AM,C,25.5
1/20/20 9:31:00 AM,C,26.5
1/20/20 10:01:00 AM,C,27.5
1/20/20 10:31:00 AM,C,28.5
1/20/20 11:01:00 AM,C,28.5
1/20/20 11:31:00 AM,C,29
1/20/20 12:01:00 PM,C,30
1/20/20 12:31:00 PM,C,31
1/20/20 1:01:00 PM,C,30.5
1/20/20 1:31:00 PM,C,30.5
1/20/20 2:01:00 PM,C,30.5
1/20/20 2:31:00 PM,C,32.5
1/20/20 3:01:00 PM,C,30
1/20/20 3:31:00 PM,C,31
1/20/20 4:01:00 PM,C,31
1/20/20 4:31:00 PM,C,30
1/20/20 5:01:00 PM,C,30
1/20/20 5:31:00 PM,C,27
1/20/20 6:01:00 PM,C,26.5
1/20/20 6:31:00 PM,C,26
1/20/20 7:01:00 PM,C,26
1/20/20 7:31:00 PM,C,25.5
1/20/20 8:01:00 PM,C,25.5
1/20/20 8:31:00 PM,C,25
1/20/20 9:01:00 PM,C,25
1/20/20 9:31:00 PM,C,25
1/20/20 10:01:00 PM,C,25
1/20/20 10:31:00 PM,C,25
1/20/20 11:01:00 PM,C,25
1/20/20 11:31:00 PM,C,25
1/21/20 12:01:00 AM,C,24.5
1/21/20 12:31:00 AM,C,24.5
1/21/20 1:01:00 AM,C,24.5
1/21/20 1:31:00 AM,C,24.5
1/21/20 2:01:00 AM,C,24.5
1/21/20 2:31:00 AM,C,24.5
1/21/20 3:01:00 AM,C,24.5
1/21/20 3:31:00 AM,C,24.5
1/21/20 4:01:00 AM,C,24.5
1/21/20 4:31:00 AM,C,24.5
1/21/20 5:01:00 AM,C,24.5
1/21/20 5:31:00 AM,C,24.5
1/21/20 6:01:00 AM,C,24.5
1/21/20 6:31:00 AM,C,24
1/21/20 7:01:00 AM,C,24
1/21/20 7:31:00 AM,C,24.5
1/21/20 8:01:00 AM,C,26
1/21/20 8:31:00 AM,C,26
1/21/20 9:01:00 AM,C,26
1/21/20 9:31:00 AM,C,27
1/21/20 10:01:00 AM,C,25.5
1/21/20 10:31:00 AM,C,27
1/21/20 11:01:00 AM,C,28
1/21/20 11:31:00 AM,C,28.5
1/21/20 12:01:00 PM,C,29
1/21/20 12:31:00 PM,C,29.5
1/21/20 1:01:00 PM,C,29.5
1/21/20 1:31:00 PM,C,29.5
1/21/20 2:01:00 PM,C,30
1/21/20 2:31:00 PM,C,31.5
1/21/20 3:01:00 PM,C,34
1/21/20 3:31:00 PM,C,31
1/21/20 4:01:00 PM,C,31.5
1/21/20 4:31:00 PM,C,29.5
1/21/20 5:01:00 PM,C,29.5
1/21/20 5:31:00 PM,C,28.5
1/21/20 6:01:00 PM,C,27
1/21/20 6:31:00 PM,C,26
1/21/20 7:01:00 PM,C,26
1/21/20 7:31:00 PM,C,26
1/21/20 8:01:00 PM,C,26
1/21/20 8:31:00 PM,C,25.5
1/21/20 9:01:00 PM,C,26
1/21/20 9:31:00 PM,C,25.5
1/21/20 10:01:00 PM,C,25.5
1/21/20 10:31:00 PM,C,25.5
1/21/20 11:01:00 PM,C,25.5
1/21/20 11:31:00 PM,C,25.5
1/22/20 12:01:00 AM,C,25
1/22/20 12:31:00 AM,C,25
1/22/20 1:01:00 AM,C,25
1/22/20 1:31:00 AM,C,25
1/22/20 2:01:00 AM,C,25
1/22/20 2:31:00 AM,C,25
1/22/20 3:01:00 AM,C,25
1/22/20 3:31:00 AM,C,25.5
1/22/20 4:01:00 AM,C,25
1/22/20 4:31:00 AM,C,25.5
1/22/20 5:01:00 AM,C,25
1/22/20 5:31:00 AM,C,25
1/22/20 6:01:00 AM,C,25
1/22/20 6:31:00 AM,C,25
1/22/20 7:01:00 AM,C,25
1/22/20 7:31:00 AM,C,25.5
1/22/20 8:01:00 AM,C,25
1/22/20 8:31:00 AM,C,25.5
1/22/20 9:01:00 AM,C,26
1/22/20 9:31:00 AM,C,26
1/22/20 10:01:00 AM,C,27
1/22/20 10:31:00 AM,C,28
1/22/20 11:01:00 AM,C,27.5
1/22/20 11:31:00 AM,C,29.5
1/22/20 12:01:00 PM,C,29.5
1/22/20 12:31:00 PM,C,30.5
1/22/20 1:01:00 PM,C,32
1/22/20 1:31:00 PM,C,31.5
1/22/20 2:01:00 PM,C,31.5
1/22/20 2:31:00 PM,C,31.5
1/22/20 3:01:00 PM,C,31
1/22/20 3:31:00 PM,C,31
1/22/20 4:01:00 PM,C,36
1/22/20 4:31:00 PM,C,30.5
1/22/20 5:01:00 PM,C,30
1/22/20 5:31:00 PM,C,28
1/22/20 6:01:00 PM,C,27
1/22/20 6:31:00 PM,C,27
1/22/20 7:01:00 PM,C,26.5
1/22/20 7:31:00 PM,C,26.5
1/22/20 8:01:00 PM,C,27
1/22/20 8:31:00 PM,C,25.5
1/22/20 9:01:00 PM,C,25.5
1/22/20 9:31:00 PM,C,24
1/22/20 10:01:00 PM,C,24
1/22/20 10:31:00 PM,C,24
1/22/20 11:01:00 PM,C,24
1/22/20 11:31:00 PM,C,25
1/23/20 12:01:00 AM,C,25
1/23/20 12:31:00 AM,C,25
1/23/20 1:01:00 AM,C,25
1/23/20 1:31:00 AM,C,25.5
1/23/20 2:01:00 AM,C,25
1/23/20 2:31:00 AM,C,25.5
1/23/20 3:01:00 AM,C,25
1/23/20 3:31:00 AM,C,25.5
1/23/20 4:01:00 AM,C,25.5
1/23/20 4:31:00 AM,C,25.5
1/23/20 5:01:00 AM,C,24.5
1/23/20 5:31:00 AM,C,24.5
1/23/20 6:01:00 AM,C,24
1/23/20 6:31:00 AM,C,24
1/23/20 7:01:00 AM,C,24.5
1/23/20 7:31:00 AM,C,24.5
1/23/20 8:01:00 AM,C,25
1/23/20 8:31:00 AM,C,25.5
1/23/20 9:01:00 AM,C,26
1/23/20 9:31:00 AM,C,26
1/23/20 10:01:00 AM,C,26.5
1/23/20 10:31:00 AM,C,27
1/23/20 11:01:00 AM,C,27.5
1/23/20 11:31:00 AM,C,28
1/23/20 12:01:00 PM,C,28.5
1/23/20 12:31:00 PM,C,28.5
1/23/20 1:01:00 PM,C,28
1/23/20 1:31:00 PM,C,28
1/23/20 2:01:00 PM,C,27.5
1/23/20 2:31:00 PM,C,27
1/23/20 3:01:00 PM,C,28.5
1/23/20 3:31:00 PM,C,27
1/23/20 4:01:00 PM,C,24
1/23/20 4:31:00 PM,C,25
1/23/20 5:01:00 PM,C,25
1/23/20 5:31:00 PM,C,24.5
1/23/20 6:01:00 PM,C,24.5
1/23/20 6:31:00 PM,C,24.5
1/23/20 7:01:00 PM,C,24.5
1/23/20 7:31:00 PM,C,24
1/23/20 8:01:00 PM,C,24.5
1/23/20 8:31:00 PM,C,24
1/23/20 9:01:00 PM,C,24
1/23/20 9:31:00 PM,C,24
1/23/20 10:01:00 PM,C,24
1/23/20 10:31:00 PM,C,24
1/23/20 11:01:00 PM,C,24
1/23/20 11:31:00 PM,C,24
1/24/20 12:01:00 AM,C,24
1/24/20 12:31:00 AM,C,23.5
1/24/20 1:01:00 AM,C,23.5
1/24/20 1:31:00 AM,C,23.5
1/24/20 2:01:00 AM,C,23.5
1/24/20 2:31:00 AM,C,23.5
1/24/20 3:01:00 AM,C,23
1/24/20 3:31:00 AM,C,23
1/24/20 4:01:00 AM,C,23
1/24/20 4:31:00 AM,C,23
1/24/20 5:01:00 AM,C,23
1/24/20 5:31:00 AM,C,23
1/24/20 6:01:00 AM,C,23
1/24/20 6:31:00 AM,C,22.5
1/24/20 7:01:00 AM,C,23
1/24/20 7:31:00 AM,C,23
1/24/20 8:01:00 AM,C,23.5
1/24/20 8:31:00 AM,C,24.5
1/24/20 9:01:00 AM,C,25.5
1/24/20 9:31:00 AM,C,26
1/24/20 10:01:00 AM,C,26
1/24/20 10:31:00 AM,C,26
1/24/20 11:01:00 AM,C,27
1/24/20 11:31:00 AM,C,28.5
1/24/20 12:01:00 PM,C,28.5
1/24/20 12:31:00 PM,C,28
1/24/20 1:01:00 PM,C,29
1/24/20 1:31:00 PM,C,30.5
1/24/20 2:01:00 PM,C,29.5
1/24/20 2:31:00 PM,C,29.5
1/24/20 3:01:00 PM,C,34
1/24/20 3:31:00 PM,C,33
1/24/20 4:01:00 PM,C,34.5
1/24/20 4:31:00 PM,C,30.5
1/24/20 5:01:00 PM,C,29.5
1/24/20 5:31:00 PM,C,28.5
1/24/20 6:01:00 PM,C,26.5
1/24/20 6:31:00 PM,C,26
1/24/20 7:01:00 PM,C,25.5
1/24/20 7:31:00 PM,C,25.5
1/24/20 8:01:00 PM,C,25.5
1/24/20 8:31:00 PM,C,25.5
1/24/20 9:01:00 PM,C,25
1/24/20 9:31:00 PM,C,25
1/24/20 10:01:00 PM,C,24.5
1/24/20 10:31:00 PM,C,24
1/24/20 11:01:00 PM,C,24
1/24/20 11:31:00 PM,C,24
1/25/20 12:01:00 AM,C,24
1/25/20 12:31:00 AM,C,24
1/25/20 1:01:00 AM,C,24
1/25/20 1:31:00 AM,C,24
1/25/20 2:01:00 AM,C,23.5
1/25/20 2:31:00 AM,C,23.5
1/25/20 3:01:00 AM,C,23.5
1/25/20 3:31:00 AM,C,23.5
1/25/20 4:01:00 AM,C,23.5
1/25/20 4:31:00 AM,C,23
1/25/20 5:01:00 AM,C,23
1/25/20 5:31:00 AM,C,23
1/25/20 6:01:00 AM,C,23
1/25/20 6:31:00 AM,C,23
1/25/20 7:01:00 AM,C,23
1/25/20 7:31:00 AM,C,23.5
1/25/20 8:01:00 AM,C,23.5
1/25/20 8:31:00 AM,C,24
1/25/20 9:01:00 AM,C,24
1/25/20 9:31:00 AM,C,24.5
1/25/20 10:01:00 AM,C,25.5
1/25/20 10:31:00 AM,C,26
1/25/20 11:01:00 AM,C,27
1/25/20 11:31:00 AM,C,28
1/25/20 12:01:00 PM,C,28.5
1/25/20 12:31:00 PM,C,29.5
1/25/20 1:01:00 PM,C,30
1/25/20 1:31:00 PM,C,30.5
1/25/20 2:01:00 PM,C,30.5
1/25/20 2:31:00 PM,C,32.5
1/25/20 3:01:00 PM,C,36.5
1/25/20 3:31:00 PM,C,35.5
1/25/20 4:01:00 PM,C,36
1/25/20 4:31:00 PM,C,31.5
1/25/20 5:01:00 PM,C,31.5
1/25/20 5:31:00 PM,C,29
1/25/20 6:01:00 PM,C,27.5
1/25/20 6:31:00 PM,C,27
1/25/20 7:01:00 PM,C,27
1/25/20 7:31:00 PM,C,26.5
1/25/20 8:01:00 PM,C,26.5
1/25/20 8:31:00 PM,C,25
1/25/20 9:01:00 PM,C,24
1/25/20 9:31:00 PM,C,24.5
1/25/20 10:01:00 PM,C,24.5
1/25/20 10:31:00 PM,C,24
1/25/20 11:01:00 PM,C,24
1/25/20 11:31:00 PM,C,24
1/26/20 12:01:00 AM,C,23.5
1/26/20 12:31:00 AM,C,23
1/26/20 1:01:00 AM,C,23
1/26/20 1:31:00 AM,C,23
1/26/20 2:01:00 AM,C,23
1/26/20 2:31:00 AM,C,23
1/26/20 3:01:00 AM,C,23
1/26/20 3:31:00 AM,C,23
1/26/20 4:01:00 AM,C,23
1/26/20 4:31:00 AM,C,23
1/26/20 5:01:00 AM,C,23
1/26/20 5:31:00 AM,C,22.5
1/26/20 6:01:00 AM,C,23
1/26/20 6:31:00 AM,C,22.5
1/26/20 7:01:00 AM,C,23
1/26/20 7:31:00 AM,C,23
1/26/20 8:01:00 AM,C,22.5
1/26/20 8:31:00 AM,C,23
1/26/20 9:01:00 AM,C,23.5
1/26/20 9:31:00 AM,C,24
1/26/20 10:01:00 AM,C,25
1/26/20 10:31:00 AM,C,25.5
1/26/20 11:01:00 AM,C,26.5
1/26/20 11:31:00 AM,C,28
1/26/20 12:01:00 PM,C,29
1/26/20 12:31:00 PM,C,30
1/26/20 1:01:00 PM,C,29
1/26/20 1:31:00 PM,C,30
1/26/20 2:01:00 PM,C,31
1/26/20 2:31:00 PM,C,31
1/26/20 3:01:00 PM,C,34.5
1/26/20 3:31:00 PM,C,33.5
1/26/20 4:01:00 PM,C,34
1/26/20 4:31:00 PM,C,31.5
1/26/20 5:01:00 PM,C,28.5
1/26/20 5:31:00 PM,C,27.5
1/26/20 6:01:00 PM,C,27
1/26/20 6:31:00 PM,C,26.5
1/26/20 7:01:00 PM,C,25.5
1/26/20 7:31:00 PM,C,25
1/26/20 8:01:00 PM,C,24.5
1/26/20 8:31:00 PM,C,24
1/26/20 9:01:00 PM,C,24
1/26/20 9:31:00 PM,C,23.5
1/26/20 10:01:00 PM,C,24
1/26/20 10:31:00 PM,C,23.5
1/26/20 11:01:00 PM,C,23.5
1/26/20 11:31:00 PM,C,23.5
1/27/20 12:01:00 AM,C,23.5
1/27/20 12:31:00 AM,C,23.5
1/27/20 1:01:00 AM,C,23.5
1/27/20 1:31:00 AM,C,23.5
1/27/20 2:01:00 AM,C,23.5
1/27/20 2:31:00 AM,C,23
1/27/20 3:01:00 AM,C,23
1/27/20 3:31:00 AM,C,23
1/27/20 4:01:00 AM,C,22.5
1/27/20 4:31:00 AM,C,23
1/27/20 5:01:00 AM,C,23
1/27/20 5:31:00 AM,C,23
1/27/20 6:01:00 AM,C,23
1/27/20 6:31:00 AM,C,22.5
1/27/20 7:01:00 AM,C,23
1/27/20 7:31:00 AM,C,23
1/27/20 8:01:00 AM,C,23
1/27/20 8:31:00 AM,C,24
1/27/20 9:01:00 AM,C,25
1/27/20 9:31:00 AM,C,25.5
1/27/20 10:01:00 AM,C,27
1/27/20 10:31:00 AM,C,27.5
1/27/20 11:01:00 AM,C,28
1/27/20 11:31:00 AM,C,28.5
1/27/20 12:01:00 PM,C,29.5
1/27/20 12:31:00 PM,C,30.5
1/27/20 1:01:00 PM,C,29.5
1/27/20 1:31:00 PM,C,30.5
1/27/20 2:01:00 PM,C,30.5
1/27/20 2:31:00 PM,C,31
1/27/20 3:01:00 PM,C,32.5
1/27/20 3:31:00 PM,C,34
1/27/20 4:01:00 PM,C,36
1/27/20 4:31:00 PM,C,29.5
1/27/20 5:01:00 PM,C,29.5
1/27/20 5:31:00 PM,C,30
1/27/20 6:01:00 PM,C,27.5
1/27/20 6:31:00 PM,C,27
1/27/20 7:01:00 PM,C,26.5
1/27/20 7:31:00 PM,C,26.5
1/27/20 8:01:00 PM,C,26
1/27/20 8:31:00 PM,C,26
1/27/20 9:01:00 PM,C,25.5
1/27/20 9:31:00 PM,C,25
1/27/20 10:01:00 PM,C,25
1/27/20 10:31:00 PM,C,25
1/27/20 11:01:00 PM,C,24.5
1/27/20 11:31:00 PM,C,25
1/28/20 12:01:00 AM,C,25
1/28/20 12:31:00 AM,C,25
1/28/20 1:01:00 AM,C,24.5
1/28/20 1:31:00 AM,C,24.5
1/28/20 2:01:00 AM,C,24
1/28/20 2:31:00 AM,C,24
1/28/20 3:01:00 AM,C,24
1/28/20 3:31:00 AM,C,24
1/28/20 4:01:00 AM,C,23.5
1/28/20 4:31:00 AM,C,23.5
1/28/20 5:01:00 AM,C,23.5
1/28/20 5:31:00 AM,C,23.5
1/28/20 6:01:00 AM,C,23.5
1/28/20 6:31:00 AM,C,23.5
1/28/20 7:01:00 AM,C,23.5
1/28/20 7:31:00 AM,C,23.5
1/28/20 8:01:00 AM,C,23.5
1/28/20 8:31:00 AM,C,24
1/28/20 9:01:00 AM,C,24.5
1/28/20 9:31:00 AM,C,25.5
1/28/20 10:01:00 AM,C,26
1/28/20 10:31:00 AM,C,26.5
1/28/20 11:01:00 AM,C,27.5
1/28/20 11:31:00 AM,C,28.5
1/28/20 12:01:00 PM,C,28.5
1/28/20 12:31:00 PM,C,29
1/28/20 1:01:00 PM,C,29.5
1/28/20 1:31:00 PM,C,29.5
1/28/20 2:01:00 PM,C,30
1/28/20 2:31:00 PM,C,31
1/28/20 3:01:00 PM,C,33.5
1/28/20 3:31:00 PM,C,34.5
1/28/20 4:01:00 PM,C,34.5
1/28/20 4:31:00 PM,C,30
1/28/20 5:01:00 PM,C,28.5
1/28/20 5:31:00 PM,C,27.5
1/28/20 6:01:00 PM,C,27
1/28/20 6:31:00 PM,C,27
1/28/20 7:01:00 PM,C,26.5
1/28/20 7:31:00 PM,C,26.5
1/28/20 8:01:00 PM,C,26
1/28/20 8:31:00 PM,C,26
1/28/20 9:01:00 PM,C,25.5
1/28/20 9:31:00 PM,C,25.5
1/28/20 10:01:00 PM,C,25
1/28/20 10:31:00 PM,C,25
1/28/20 11:01:00 PM,C,24.5
1/28/20 11:31:00 PM,C,24.5
1/29/20 12:01:00 AM,C,24
1/29/20 12:31:00 AM,C,24
1/29/20 1:01:00 AM,C,24
1/29/20 1:31:00 AM,C,23.5
1/29/20 2:01:00 AM,C,23.5
1/29/20 2:31:00 AM,C,23.5
1/29/20 3:01:00 AM,C,23.5
1/29/20 3:31:00 AM,C,23.5
1/29/20 4:01:00 AM,C,23.5
1/29/20 4:31:00 AM,C,23
1/29/20 5:01:00 AM,C,23
1/29/20 5:31:00 AM,C,23
1/29/20 6:01:00 AM,C,23
1/29/20 6:31:00 AM,C,22.5
1/29/20 7:01:00 AM,C,22.5
1/29/20 7:31:00 AM,C,23
1/29/20 8:01:00 AM,C,23.5
1/29/20 8:31:00 AM,C,23.5
1/29/20 9:01:00 AM,C,24.5
1/29/20 9:31:00 AM,C,25
1/29/20 10:01:00 AM,C,25.5
1/29/20 10:31:00 AM,C,26.5
1/29/20 11:01:00 AM,C,27.5
1/29/20 11:31:00 AM,C,28.5
1/29/20 12:01:00 PM,C,29
1/29/20 12:31:00 PM,C,30
1/29/20 1:01:00 PM,C,30.5
1/29/20 1:31:00 PM,C,31
1/29/20 2:01:00 PM,C,31.5
1/29/20 2:31:00 PM,C,32.5
1/29/20 3:01:00 PM,C,35
1/29/20 3:31:00 PM,C,38
1/29/20 4:01:00 PM,C,38
1/29/20 4:31:00 PM,C,32
1/29/20 5:01:00 PM,C,31.5
1/29/20 5:31:00 PM,C,31
1/29/20 6:01:00 PM,C,28.5
1/29/20 6:31:00 PM,C,28
1/29/20 7:01:00 PM,C,27.5
1/29/20 7:31:00 PM,C,27
1/29/20 8:01:00 PM,C,27
1/29/20 8:31:00 PM,C,26.5
1/29/20 9:01:00 PM,C,26.5
1/29/20 9:31:00 PM,C,26
1/29/20 10:01:00 PM,C,25.5
1/29/20 10:31:00 PM,C,25
1/29/20 11:01:00 PM,C,24.5
1/29/20 11:31:00 PM,C,24.5
1/30/20 12:01:00 AM,C,24.5
1/30/20 12:31:00 AM,C,24
1/30/20 1:01:00 AM,C,24
1/30/20 1:31:00 AM,C,24
1/30/20 2:01:00 AM,C,24
1/30/20 2:31:00 AM,C,23.5
1/30/20 3:01:00 AM,C,23.5
1/30/20 3:31:00 AM,C,23.5
1/30/20 4:01:00 AM,C,23
1/30/20 4:31:00 AM,C,23
1/30/20 5:01:00 AM,C,23
1/30/20 5:31:00 AM,C,23
1/30/20 6:01:00 AM,C,22.5
1/30/20 6:31:00 AM,C,22.5
1/30/20 7:01:00 AM,C,22.5
1/30/20 7:31:00 AM,C,22.5
1/30/20 8:01:00 AM,C,22.5
1/30/20 8:31:00 AM,C,23.5
1/30/20 9:01:00 AM,C,24
1/30/20 9:31:00 AM,C,25
1/30/20 10:01:00 AM,C,26
1/30/20 10:31:00 AM,C,27
1/30/20 11:01:00 AM,C,28
1/30/20 11:31:00 AM,C,29
1/30/20 12:01:00 PM,C,29.5
1/30/20 12:31:00 PM,C,30
1/30/20 1:01:00 PM,C,30
1/30/20 1:31:00 PM,C,31
1/30/20 2:01:00 PM,C,31
1/30/20 2:31:00 PM,C,31
1/30/20 3:01:00 PM,C,34.5
1/30/20 3:31:00 PM,C,36.5
1/30/20 4:01:00 PM,C,38
1/30/20 4:31:00 PM,C,31.5
1/30/20 5:01:00 PM,C,31
1/30/20 5:31:00 PM,C,29.5
1/30/20 6:01:00 PM,C,28.5
1/30/20 6:31:00 PM,C,27.5
1/30/20 7:01:00 PM,C,27
1/30/20 7:31:00 PM,C,26.5
1/30/20 8:01:00 PM,C,26.5
1/30/20 8:31:00 PM,C,26
1/30/20 9:01:00 PM,C,26
1/30/20 9:31:00 PM,C,25.5
1/30/20 10:01:00 PM,C,25
1/30/20 10:31:00 PM,C,24.5
1/30/20 11:01:00 PM,C,24.5
1/30/20 11:31:00 PM,C,24
1/31/20 12:01:00 AM,C,24
1/31/20 12:31:00 AM,C,24
1/31/20 1:01:00 AM,C,24
1/31/20 1:31:00 AM,C,24
1/31/20 2:01:00 AM,C,23.5
1/31/20 2:31:00 AM,C,23.5
1/31/20 3:01:00 AM,C,23.5
1/31/20 3:31:00 AM,C,23
1/31/20 4:01:00 AM,C,23.5
1/31/20 4:31:00 AM,C,23.5
1/31/20 5:01:00 AM,C,23.5
1/31/20 5:31:00 AM,C,23.5
1/31/20 6:01:00 AM,C,23
1/31/20 6:31:00 AM,C,23.5
1/31/20 7:01:00 AM,C,23.5
1/31/20 7:31:00 AM,C,23.5
1/31/20 8:01:00 AM,C,24
1/31/20 8:31:00 AM,C,24.5
1/31/20 9:01:00 AM,C,25.5
1/31/20 9:31:00 AM,C,26.5
1/31/20 10:01:00 AM,C,27.5
1/31/20 10:31:00 AM,C,28.5
1/31/20 11:01:00 AM,C,29
1/31/20 11:31:00 AM,C,30
1/31/20 12:01:00 PM,C,30
1/31/20 12:31:00 PM,C,31
1/31/20 1:01:00 PM,C,31.5
1/31/20 1:31:00 PM,C,32
1/31/20 2:01:00 PM,C,33
1/31/20 2:31:00 PM,C,34.5
1/31/20 3:01:00 PM,C,33
1/31/20 3:31:00 PM,C,33.5
1/31/20 4:01:00 PM,C,32.5
1/31/20 4:31:00 PM,C,33
