1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AC00000055018021
Is Mission Active?  true
Mission Start:  Mon Feb 07 09:47:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1486
Total Samples:  1486
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/7/22 9:47:00 AM,C,29
2/7/22 10:17:00 AM,C,25
2/7/22 10:47:00 AM,C,25.5
2/7/22 11:17:00 AM,C,27
2/7/22 11:47:00 AM,C,26.5
2/7/22 12:17:00 PM,C,26
2/7/22 12:47:00 PM,C,26.5
2/7/22 1:17:00 PM,C,26.5
2/7/22 1:47:00 PM,C,26.5
2/7/22 2:17:00 PM,C,26.5
2/7/22 2:47:00 PM,C,26.5
2/7/22 3:17:00 PM,C,26.5
2/7/22 3:47:00 PM,C,26
2/7/22 4:17:00 PM,C,26
2/7/22 4:47:00 PM,C,26
2/7/22 5:17:00 PM,C,25.5
2/7/22 5:47:00 PM,C,25.5
2/7/22 6:17:00 PM,C,25.5
2/7/22 6:47:00 PM,C,25.5
2/7/22 7:17:00 PM,C,25
2/7/22 7:47:00 PM,C,25
2/7/22 8:17:00 PM,C,25
2/7/22 8:47:00 PM,C,24.5
2/7/22 9:17:00 PM,C,24
2/7/22 9:47:00 PM,C,24
2/7/22 10:17:00 PM,C,24
2/7/22 10:47:00 PM,C,24
2/7/22 11:17:00 PM,C,24
2/7/22 11:47:00 PM,C,24
2/8/22 12:17:00 AM,C,24
2/8/22 12:47:00 AM,C,24
2/8/22 1:17:00 AM,C,24
2/8/22 1:47:00 AM,C,24
2/8/22 2:17:00 AM,C,24
2/8/22 2:47:00 AM,C,23.5
2/8/22 3:17:00 AM,C,23.5
2/8/22 3:47:00 AM,C,23.5
2/8/22 4:17:00 AM,C,23.5
2/8/22 4:47:00 AM,C,23
2/8/22 5:17:00 AM,C,24
2/8/22 5:47:00 AM,C,23.5
2/8/22 6:17:00 AM,C,23.5
2/8/22 6:47:00 AM,C,23.5
2/8/22 7:17:00 AM,C,24
2/8/22 7:47:00 AM,C,24
2/8/22 8:17:00 AM,C,25
2/8/22 8:47:00 AM,C,25
2/8/22 9:17:00 AM,C,25.5
2/8/22 9:47:00 AM,C,26
2/8/22 10:17:00 AM,C,26.5
2/8/22 10:47:00 AM,C,26.5
2/8/22 11:17:00 AM,C,27
2/8/22 11:47:00 AM,C,28
2/8/22 12:17:00 PM,C,27
2/8/22 12:47:00 PM,C,27.5
2/8/22 1:17:00 PM,C,27.5
2/8/22 1:47:00 PM,C,27.5
2/8/22 2:17:00 PM,C,28
2/8/22 2:47:00 PM,C,28
2/8/22 3:17:00 PM,C,28
2/8/22 3:47:00 PM,C,28
2/8/22 4:17:00 PM,C,27.5
2/8/22 4:47:00 PM,C,27
2/8/22 5:17:00 PM,C,26.5
2/8/22 5:47:00 PM,C,26.5
2/8/22 6:17:00 PM,C,26
2/8/22 6:47:00 PM,C,25.5
2/8/22 7:17:00 PM,C,25.5
2/8/22 7:47:00 PM,C,25.5
2/8/22 8:17:00 PM,C,25
2/8/22 8:47:00 PM,C,25
2/8/22 9:17:00 PM,C,25
2/8/22 9:47:00 PM,C,25
2/8/22 10:17:00 PM,C,25
2/8/22 10:47:00 PM,C,25
2/8/22 11:17:00 PM,C,25
2/8/22 11:47:00 PM,C,25
2/9/22 12:17:00 AM,C,25
2/9/22 12:47:00 AM,C,25
2/9/22 1:17:00 AM,C,24.5
2/9/22 1:47:00 AM,C,24.5
2/9/22 2:17:00 AM,C,24
2/9/22 2:47:00 AM,C,24
2/9/22 3:17:00 AM,C,23.5
2/9/22 3:47:00 AM,C,23.5
2/9/22 4:17:00 AM,C,24
2/9/22 4:47:00 AM,C,24
2/9/22 5:17:00 AM,C,24
2/9/22 5:47:00 AM,C,24
2/9/22 6:17:00 AM,C,24
2/9/22 6:47:00 AM,C,24
2/9/22 7:17:00 AM,C,24
2/9/22 7:47:00 AM,C,24
2/9/22 8:17:00 AM,C,25
2/9/22 8:47:00 AM,C,26
2/9/22 9:17:00 AM,C,26.5
2/9/22 9:47:00 AM,C,27
2/9/22 10:17:00 AM,C,27.5
2/9/22 10:47:00 AM,C,27.5
2/9/22 11:17:00 AM,C,28
2/9/22 11:47:00 AM,C,28.5
2/9/22 12:17:00 PM,C,28.5
2/9/22 12:47:00 PM,C,29
2/9/22 1:17:00 PM,C,29
2/9/22 1:47:00 PM,C,29
2/9/22 2:17:00 PM,C,29
2/9/22 2:47:00 PM,C,28.5
2/9/22 3:17:00 PM,C,28.5
2/9/22 3:47:00 PM,C,28
2/9/22 4:17:00 PM,C,27.5
2/9/22 4:47:00 PM,C,26.5
2/9/22 5:17:00 PM,C,26.5
2/9/22 5:47:00 PM,C,26
2/9/22 6:17:00 PM,C,26
2/9/22 6:47:00 PM,C,25.5
2/9/22 7:17:00 PM,C,25.5
2/9/22 7:47:00 PM,C,25.5
2/9/22 8:17:00 PM,C,25.5
2/9/22 8:47:00 PM,C,25
2/9/22 9:17:00 PM,C,25
2/9/22 9:47:00 PM,C,24.5
2/9/22 10:17:00 PM,C,23.5
2/9/22 10:47:00 PM,C,23.5
2/9/22 11:17:00 PM,C,23.5
2/9/22 11:47:00 PM,C,23.5
2/10/22 12:17:00 AM,C,23.5
2/10/22 12:47:00 AM,C,23.5
2/10/22 1:17:00 AM,C,23
2/10/22 1:47:00 AM,C,23.5
2/10/22 2:17:00 AM,C,23.5
2/10/22 2:47:00 AM,C,24
2/10/22 3:17:00 AM,C,24
2/10/22 3:47:00 AM,C,24
2/10/22 4:17:00 AM,C,24.5
2/10/22 4:47:00 AM,C,24.5
2/10/22 5:17:00 AM,C,24.5
2/10/22 5:47:00 AM,C,24.5
2/10/22 6:17:00 AM,C,24.5
2/10/22 6:47:00 AM,C,24.5
2/10/22 7:17:00 AM,C,25
2/10/22 7:47:00 AM,C,25
2/10/22 8:17:00 AM,C,25.5
2/10/22 8:47:00 AM,C,26
2/10/22 9:17:00 AM,C,26.5
2/10/22 9:47:00 AM,C,27
2/10/22 10:17:00 AM,C,26.5
2/10/22 10:47:00 AM,C,26.5
2/10/22 11:17:00 AM,C,27.5
2/10/22 11:47:00 AM,C,28
2/10/22 12:17:00 PM,C,28
2/10/22 12:47:00 PM,C,28.5
2/10/22 1:17:00 PM,C,28.5
2/10/22 1:47:00 PM,C,28.5
2/10/22 2:17:00 PM,C,28.5
2/10/22 2:47:00 PM,C,28.5
2/10/22 3:17:00 PM,C,28.5
2/10/22 3:47:00 PM,C,28
2/10/22 4:17:00 PM,C,27
2/10/22 4:47:00 PM,C,27
2/10/22 5:17:00 PM,C,27
2/10/22 5:47:00 PM,C,26.5
2/10/22 6:17:00 PM,C,26
2/10/22 6:47:00 PM,C,26
2/10/22 7:17:00 PM,C,26
2/10/22 7:47:00 PM,C,26
2/10/22 8:17:00 PM,C,25.5
2/10/22 8:47:00 PM,C,25.5
2/10/22 9:17:00 PM,C,25.5
2/10/22 9:47:00 PM,C,25
2/10/22 10:17:00 PM,C,25.5
2/10/22 10:47:00 PM,C,25.5
2/10/22 11:17:00 PM,C,25
2/10/22 11:47:00 PM,C,25
2/11/22 12:17:00 AM,C,25
2/11/22 12:47:00 AM,C,25
2/11/22 1:17:00 AM,C,25
2/11/22 1:47:00 AM,C,24.5
2/11/22 2:17:00 AM,C,24.5
2/11/22 2:47:00 AM,C,24.5
2/11/22 3:17:00 AM,C,25
2/11/22 3:47:00 AM,C,25
2/11/22 4:17:00 AM,C,25
2/11/22 4:47:00 AM,C,24.5
2/11/22 5:17:00 AM,C,24
2/11/22 5:47:00 AM,C,24.5
2/11/22 6:17:00 AM,C,25
2/11/22 6:47:00 AM,C,25
2/11/22 7:17:00 AM,C,25.5
2/11/22 7:47:00 AM,C,25.5
2/11/22 8:17:00 AM,C,26
2/11/22 8:47:00 AM,C,26
2/11/22 9:17:00 AM,C,27
2/11/22 9:47:00 AM,C,27
2/11/22 10:17:00 AM,C,27.5
2/11/22 10:47:00 AM,C,27.5
2/11/22 11:17:00 AM,C,27.5
2/11/22 11:47:00 AM,C,28
2/11/22 12:17:00 PM,C,28
2/11/22 12:47:00 PM,C,28
2/11/22 1:17:00 PM,C,28.5
2/11/22 1:47:00 PM,C,28.5
2/11/22 2:17:00 PM,C,28.5
2/11/22 2:47:00 PM,C,28
2/11/22 3:17:00 PM,C,28
2/11/22 3:47:00 PM,C,27.5
2/11/22 4:17:00 PM,C,27.5
2/11/22 4:47:00 PM,C,27
2/11/22 5:17:00 PM,C,27
2/11/22 5:47:00 PM,C,26.5
2/11/22 6:17:00 PM,C,26.5
2/11/22 6:47:00 PM,C,26
2/11/22 7:17:00 PM,C,26
2/11/22 7:47:00 PM,C,26
2/11/22 8:17:00 PM,C,26
2/11/22 8:47:00 PM,C,25.5
2/11/22 9:17:00 PM,C,25.5
2/11/22 9:47:00 PM,C,25.5
2/11/22 10:17:00 PM,C,25.5
2/11/22 10:47:00 PM,C,25.5
2/11/22 11:17:00 PM,C,25
2/11/22 11:47:00 PM,C,25
2/12/22 12:17:00 AM,C,25.5
2/12/22 12:47:00 AM,C,25
2/12/22 1:17:00 AM,C,25
2/12/22 1:47:00 AM,C,25
2/12/22 2:17:00 AM,C,25
2/12/22 2:47:00 AM,C,23.5
2/12/22 3:17:00 AM,C,23.5
2/12/22 3:47:00 AM,C,24
2/12/22 4:17:00 AM,C,24
2/12/22 4:47:00 AM,C,23
2/12/22 5:17:00 AM,C,23.5
2/12/22 5:47:00 AM,C,24
2/12/22 6:17:00 AM,C,24.5
2/12/22 6:47:00 AM,C,25
2/12/22 7:17:00 AM,C,24.5
2/12/22 7:47:00 AM,C,25
2/12/22 8:17:00 AM,C,25.5
2/12/22 8:47:00 AM,C,25.5
2/12/22 9:17:00 AM,C,26
2/12/22 9:47:00 AM,C,27
2/12/22 10:17:00 AM,C,26.5
2/12/22 10:47:00 AM,C,27.5
2/12/22 11:17:00 AM,C,27.5
2/12/22 11:47:00 AM,C,28
2/12/22 12:17:00 PM,C,28
2/12/22 12:47:00 PM,C,27.5
2/12/22 1:17:00 PM,C,27
2/12/22 1:47:00 PM,C,26.5
2/12/22 2:17:00 PM,C,24.5
2/12/22 2:47:00 PM,C,24
2/12/22 3:17:00 PM,C,24.5
2/12/22 3:47:00 PM,C,24
2/12/22 4:17:00 PM,C,24
2/12/22 4:47:00 PM,C,24.5
2/12/22 5:17:00 PM,C,24.5
2/12/22 5:47:00 PM,C,23.5
2/12/22 6:17:00 PM,C,24
2/12/22 6:47:00 PM,C,23.5
2/12/22 7:17:00 PM,C,22.5
2/12/22 7:47:00 PM,C,22.5
2/12/22 8:17:00 PM,C,23
2/12/22 8:47:00 PM,C,23
2/12/22 9:17:00 PM,C,23
2/12/22 9:47:00 PM,C,22
2/12/22 10:17:00 PM,C,22.5
2/12/22 10:47:00 PM,C,23
2/12/22 11:17:00 PM,C,23
2/12/22 11:47:00 PM,C,23.5
2/13/22 12:17:00 AM,C,23.5
2/13/22 12:47:00 AM,C,24
2/13/22 1:17:00 AM,C,24.5
2/13/22 1:47:00 AM,C,24
2/13/22 2:17:00 AM,C,23.5
2/13/22 2:47:00 AM,C,24.5
2/13/22 3:17:00 AM,C,24.5
2/13/22 3:47:00 AM,C,25
2/13/22 4:17:00 AM,C,25
2/13/22 4:47:00 AM,C,25
2/13/22 5:17:00 AM,C,24.5
2/13/22 5:47:00 AM,C,24
2/13/22 6:17:00 AM,C,24
2/13/22 6:47:00 AM,C,24
2/13/22 7:17:00 AM,C,24
2/13/22 7:47:00 AM,C,25
2/13/22 8:17:00 AM,C,25
2/13/22 8:47:00 AM,C,24
2/13/22 9:17:00 AM,C,24
2/13/22 9:47:00 AM,C,25.5
2/13/22 10:17:00 AM,C,26
2/13/22 10:47:00 AM,C,26.5
2/13/22 11:17:00 AM,C,27.5
2/13/22 11:47:00 AM,C,27.5
2/13/22 12:17:00 PM,C,28
2/13/22 12:47:00 PM,C,26.5
2/13/22 1:17:00 PM,C,26.5
2/13/22 1:47:00 PM,C,25
2/13/22 2:17:00 PM,C,26.5
2/13/22 2:47:00 PM,C,26.5
2/13/22 3:17:00 PM,C,26
2/13/22 3:47:00 PM,C,26
2/13/22 4:17:00 PM,C,26
2/13/22 4:47:00 PM,C,26.5
2/13/22 5:17:00 PM,C,26
2/13/22 5:47:00 PM,C,26
2/13/22 6:17:00 PM,C,25.5
2/13/22 6:47:00 PM,C,25.5
2/13/22 7:17:00 PM,C,25.5
2/13/22 7:47:00 PM,C,25
2/13/22 8:17:00 PM,C,24.5
2/13/22 8:47:00 PM,C,24.5
2/13/22 9:17:00 PM,C,24
2/13/22 9:47:00 PM,C,24
2/13/22 10:17:00 PM,C,24.5
2/13/22 10:47:00 PM,C,25
2/13/22 11:17:00 PM,C,25
2/13/22 11:47:00 PM,C,25
2/14/22 12:17:00 AM,C,25
2/14/22 12:47:00 AM,C,25
2/14/22 1:17:00 AM,C,25
2/14/22 1:47:00 AM,C,25
2/14/22 2:17:00 AM,C,25
2/14/22 2:47:00 AM,C,25
2/14/22 3:17:00 AM,C,25
2/14/22 3:47:00 AM,C,25
2/14/22 4:17:00 AM,C,25
2/14/22 4:47:00 AM,C,25
2/14/22 5:17:00 AM,C,25
2/14/22 5:47:00 AM,C,25
2/14/22 6:17:00 AM,C,24.5
2/14/22 6:47:00 AM,C,24.5
2/14/22 7:17:00 AM,C,24.5
2/14/22 7:47:00 AM,C,25
2/14/22 8:17:00 AM,C,25.5
