1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9B00000034648521
Is Mission Active?  true
Mission Start:  Wed Jul 25 08:36:00 BOT 2018
Sample Rate:  Every 20 minute(s)
Number of Mission Samples:  5915
Total Samples:  10923
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/20/18 9:36:00 AM,C,30.5
8/20/18 9:56:00 AM,C,30
8/20/18 10:16:00 AM,C,30.5
8/20/18 10:36:00 AM,C,30
8/20/18 10:56:00 AM,C,30
8/20/18 11:16:00 AM,C,31
8/20/18 11:36:00 AM,C,30
8/20/18 11:56:00 AM,C,30
8/20/18 12:16:00 PM,C,30
8/20/18 12:36:00 PM,C,30
8/20/18 12:56:00 PM,C,29
8/20/18 1:16:00 PM,C,29.5
8/20/18 1:36:00 PM,C,30.5
8/20/18 1:56:00 PM,C,32.5
8/20/18 2:16:00 PM,C,30.5
8/20/18 2:36:00 PM,C,30.5
8/20/18 2:56:00 PM,C,31
8/20/18 3:16:00 PM,C,32.5
8/20/18 3:36:00 PM,C,31
8/20/18 3:56:00 PM,C,30.5
8/20/18 4:16:00 PM,C,30.5
8/20/18 4:36:00 PM,C,33.5
8/20/18 4:56:00 PM,C,36.5
8/20/18 5:16:00 PM,C,32.5
8/20/18 5:36:00 PM,C,32
8/20/18 5:56:00 PM,C,30.5
8/20/18 6:16:00 PM,C,31.5
8/20/18 6:36:00 PM,C,30
8/20/18 6:56:00 PM,C,29.5
8/20/18 7:16:00 PM,C,29
8/20/18 7:36:00 PM,C,29
8/20/18 7:56:00 PM,C,29
8/20/18 8:16:00 PM,C,28.5
8/20/18 8:36:00 PM,C,28.5
8/20/18 8:56:00 PM,C,28.5
8/20/18 9:16:00 PM,C,28.5
8/20/18 9:36:00 PM,C,28.5
8/20/18 9:56:00 PM,C,28
8/20/18 10:16:00 PM,C,28
8/20/18 10:36:00 PM,C,28
8/20/18 10:56:00 PM,C,28
8/20/18 11:16:00 PM,C,28
8/20/18 11:36:00 PM,C,28
8/20/18 11:56:00 PM,C,28
8/21/18 12:16:00 AM,C,28
8/21/18 12:36:00 AM,C,28
8/21/18 12:56:00 AM,C,27.5
8/21/18 1:16:00 AM,C,27.5
8/21/18 1:36:00 AM,C,27.5
8/21/18 1:56:00 AM,C,27.5
8/21/18 2:16:00 AM,C,27.5
8/21/18 2:36:00 AM,C,27.5
8/21/18 2:56:00 AM,C,27.5
8/21/18 3:16:00 AM,C,27.5
8/21/18 3:36:00 AM,C,27.5
8/21/18 3:56:00 AM,C,27.5
8/21/18 4:16:00 AM,C,27.5
8/21/18 4:36:00 AM,C,27.5
8/21/18 4:56:00 AM,C,27.5
8/21/18 5:16:00 AM,C,27
8/21/18 5:36:00 AM,C,27.5
8/21/18 5:56:00 AM,C,27.5
8/21/18 6:16:00 AM,C,27.5
8/21/18 6:36:00 AM,C,27.5
8/21/18 6:56:00 AM,C,27.5
8/21/18 7:16:00 AM,C,28
8/21/18 7:36:00 AM,C,28
8/21/18 7:56:00 AM,C,28.5
8/21/18 8:16:00 AM,C,28.5
8/21/18 8:36:00 AM,C,29
8/21/18 8:56:00 AM,C,29.5
8/21/18 9:16:00 AM,C,29
8/21/18 9:36:00 AM,C,30
8/21/18 9:56:00 AM,C,31
8/21/18 10:16:00 AM,C,30.5
8/21/18 10:36:00 AM,C,31
8/21/18 10:56:00 AM,C,31
8/21/18 11:16:00 AM,C,30.5
8/21/18 11:36:00 AM,C,31.5
8/21/18 11:56:00 AM,C,31.5
8/21/18 12:16:00 PM,C,32
8/21/18 12:36:00 PM,C,30
8/21/18 12:56:00 PM,C,28.5
8/21/18 1:16:00 PM,C,28
8/21/18 1:36:00 PM,C,27.5
8/21/18 1:56:00 PM,C,29.5
8/21/18 2:16:00 PM,C,28.5
8/21/18 2:36:00 PM,C,30
8/21/18 2:56:00 PM,C,30.5
8/21/18 3:16:00 PM,C,30.5
8/21/18 3:36:00 PM,C,31
8/21/18 3:56:00 PM,C,37
8/21/18 4:16:00 PM,C,39
8/21/18 4:36:00 PM,C,40.5
8/21/18 4:56:00 PM,C,37.5
8/21/18 5:16:00 PM,C,34.5
8/21/18 5:36:00 PM,C,33
8/21/18 5:56:00 PM,C,33
8/21/18 6:16:00 PM,C,32.5
8/21/18 6:36:00 PM,C,30
8/21/18 6:56:00 PM,C,29.5
8/21/18 7:16:00 PM,C,29.5
8/21/18 7:36:00 PM,C,29
8/21/18 7:56:00 PM,C,29
8/21/18 8:16:00 PM,C,29
8/21/18 8:36:00 PM,C,28.5
8/21/18 8:56:00 PM,C,28.5
8/21/18 9:16:00 PM,C,28.5
8/21/18 9:36:00 PM,C,28.5
8/21/18 9:56:00 PM,C,28.5
8/21/18 10:16:00 PM,C,28.5
8/21/18 10:36:00 PM,C,28
8/21/18 10:56:00 PM,C,28
8/21/18 11:16:00 PM,C,28
8/21/18 11:36:00 PM,C,28
8/21/18 11:56:00 PM,C,28
8/22/18 12:16:00 AM,C,27.5
8/22/18 12:36:00 AM,C,28
8/22/18 12:56:00 AM,C,27.5
8/22/18 1:16:00 AM,C,28
8/22/18 1:36:00 AM,C,27.5
8/22/18 1:56:00 AM,C,27.5
8/22/18 2:16:00 AM,C,27.5
8/22/18 2:36:00 AM,C,27.5
8/22/18 2:56:00 AM,C,27.5
8/22/18 3:16:00 AM,C,27.5
8/22/18 3:36:00 AM,C,27.5
8/22/18 3:56:00 AM,C,27.5
8/22/18 4:16:00 AM,C,27.5
8/22/18 4:36:00 AM,C,26.5
8/22/18 4:56:00 AM,C,26.5
8/22/18 5:16:00 AM,C,26.5
8/22/18 5:36:00 AM,C,26
8/22/18 5:56:00 AM,C,26
8/22/18 6:16:00 AM,C,26.5
8/22/18 6:36:00 AM,C,26.5
8/22/18 6:56:00 AM,C,27
8/22/18 7:16:00 AM,C,27
8/22/18 7:36:00 AM,C,27.5
8/22/18 7:56:00 AM,C,28
8/22/18 8:16:00 AM,C,28
8/22/18 8:36:00 AM,C,28.5
8/22/18 8:56:00 AM,C,29
8/22/18 9:16:00 AM,C,29
8/22/18 9:36:00 AM,C,30
8/22/18 9:56:00 AM,C,30
8/22/18 10:16:00 AM,C,30.5
8/22/18 10:36:00 AM,C,30
8/22/18 10:56:00 AM,C,30.5
8/22/18 11:16:00 AM,C,31
8/22/18 11:36:00 AM,C,31
8/22/18 11:56:00 AM,C,31
8/22/18 12:16:00 PM,C,31
8/22/18 12:36:00 PM,C,31
8/22/18 12:56:00 PM,C,31.5
8/22/18 1:16:00 PM,C,32
8/22/18 1:36:00 PM,C,32.5
8/22/18 1:56:00 PM,C,33
8/22/18 2:16:00 PM,C,32.5
8/22/18 2:36:00 PM,C,35.5
8/22/18 2:56:00 PM,C,34
8/22/18 3:16:00 PM,C,32.5
8/22/18 3:36:00 PM,C,33
8/22/18 3:56:00 PM,C,39
8/22/18 4:16:00 PM,C,39
8/22/18 4:36:00 PM,C,39
8/22/18 4:56:00 PM,C,36.5
8/22/18 5:16:00 PM,C,35.5
8/22/18 5:36:00 PM,C,34
8/22/18 5:56:00 PM,C,34.5
8/22/18 6:16:00 PM,C,32.5
8/22/18 6:36:00 PM,C,31.5
8/22/18 6:56:00 PM,C,30.5
