1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9900000041610B21
Is Mission Active?  true
Mission Start:  Fri Aug 05 08:49:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1968
Total Samples:  60486
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/5/22 8:49:00 AM,C,32
8/5/22 9:19:00 AM,C,30
8/5/22 9:49:00 AM,C,30.5
8/5/22 10:19:00 AM,C,31
8/5/22 10:49:00 AM,C,31.5
8/5/22 11:19:00 AM,C,32
8/5/22 11:49:00 AM,C,32
8/5/22 12:19:00 PM,C,32
8/5/22 12:49:00 PM,C,32.5
8/5/22 1:19:00 PM,C,32.5
8/5/22 1:49:00 PM,C,33
8/5/22 2:19:00 PM,C,33
8/5/22 2:49:00 PM,C,33
8/5/22 3:19:00 PM,C,33
8/5/22 3:49:00 PM,C,34
8/5/22 4:19:00 PM,C,36.5
8/5/22 4:49:00 PM,C,33
8/5/22 5:19:00 PM,C,33.5
8/5/22 5:49:00 PM,C,32.5
8/5/22 6:19:00 PM,C,31.5
8/5/22 6:49:00 PM,C,29
8/5/22 7:19:00 PM,C,28.5
8/5/22 7:49:00 PM,C,28
8/5/22 8:19:00 PM,C,28
8/5/22 8:49:00 PM,C,28
8/5/22 9:19:00 PM,C,28
8/5/22 9:49:00 PM,C,28
8/5/22 10:19:00 PM,C,28
8/5/22 10:49:00 PM,C,28
8/5/22 11:19:00 PM,C,27.5
8/5/22 11:49:00 PM,C,27.5
8/6/22 12:19:00 AM,C,27.5
8/6/22 12:49:00 AM,C,27.5
8/6/22 1:19:00 AM,C,27.5
8/6/22 1:49:00 AM,C,27.5
8/6/22 2:19:00 AM,C,27.5
8/6/22 2:49:00 AM,C,27.5
8/6/22 3:19:00 AM,C,27.5
8/6/22 3:49:00 AM,C,27.5
8/6/22 4:19:00 AM,C,27.5
8/6/22 4:49:00 AM,C,27.5
8/6/22 5:19:00 AM,C,27.5
8/6/22 5:49:00 AM,C,27.5
8/6/22 6:19:00 AM,C,27.5
8/6/22 6:49:00 AM,C,28
8/6/22 7:19:00 AM,C,28.5
8/6/22 7:49:00 AM,C,29
8/6/22 8:19:00 AM,C,29.5
8/6/22 8:49:00 AM,C,29.5
8/6/22 9:19:00 AM,C,31
8/6/22 9:49:00 AM,C,31.5
8/6/22 10:19:00 AM,C,32
8/6/22 10:49:00 AM,C,32.5
8/6/22 11:19:00 AM,C,32.5
8/6/22 11:49:00 AM,C,33
8/6/22 12:19:00 PM,C,33
8/6/22 12:49:00 PM,C,32.5
8/6/22 1:19:00 PM,C,33
8/6/22 1:49:00 PM,C,33.5
8/6/22 2:19:00 PM,C,33
8/6/22 2:49:00 PM,C,32
8/6/22 3:19:00 PM,C,31.5
8/6/22 3:49:00 PM,C,32
8/6/22 4:19:00 PM,C,31.5
8/6/22 4:49:00 PM,C,32
8/6/22 5:19:00 PM,C,30
8/6/22 5:49:00 PM,C,29.5
8/6/22 6:19:00 PM,C,29
8/6/22 6:49:00 PM,C,29
8/6/22 7:19:00 PM,C,28.5
8/6/22 7:49:00 PM,C,28.5
8/6/22 8:19:00 PM,C,28.5
8/6/22 8:49:00 PM,C,28.5
8/6/22 9:19:00 PM,C,28.5
8/6/22 9:49:00 PM,C,28.5
8/6/22 10:19:00 PM,C,28
8/6/22 10:49:00 PM,C,28
8/6/22 11:19:00 PM,C,28
8/6/22 11:49:00 PM,C,28
8/7/22 12:19:00 AM,C,28
8/7/22 12:49:00 AM,C,28
8/7/22 1:19:00 AM,C,28
8/7/22 1:49:00 AM,C,27.5
8/7/22 2:19:00 AM,C,27.5
8/7/22 2:49:00 AM,C,27.5
8/7/22 3:19:00 AM,C,27.5
8/7/22 3:49:00 AM,C,28
8/7/22 4:19:00 AM,C,28
8/7/22 4:49:00 AM,C,28
8/7/22 5:19:00 AM,C,28
8/7/22 5:49:00 AM,C,27.5
8/7/22 6:19:00 AM,C,28
8/7/22 6:49:00 AM,C,28
8/7/22 7:19:00 AM,C,28
8/7/22 7:49:00 AM,C,28.5
8/7/22 8:19:00 AM,C,28.5
8/7/22 8:49:00 AM,C,29
8/7/22 9:19:00 AM,C,28.5
8/7/22 9:49:00 AM,C,30.5
8/7/22 10:19:00 AM,C,31
8/7/22 10:49:00 AM,C,31.5
8/7/22 11:19:00 AM,C,32
8/7/22 11:49:00 AM,C,32
8/7/22 12:19:00 PM,C,32
8/7/22 12:49:00 PM,C,33
8/7/22 1:19:00 PM,C,33.5
8/7/22 1:49:00 PM,C,32.5
8/7/22 2:19:00 PM,C,33
8/7/22 2:49:00 PM,C,32.5
8/7/22 3:19:00 PM,C,32.5
8/7/22 3:49:00 PM,C,35.5
8/7/22 4:19:00 PM,C,35.5
8/7/22 4:49:00 PM,C,34.5
8/7/22 5:19:00 PM,C,32
8/7/22 5:49:00 PM,C,32
8/7/22 6:19:00 PM,C,31
8/7/22 6:49:00 PM,C,29.5
8/7/22 7:19:00 PM,C,29
8/7/22 7:49:00 PM,C,28.5
8/7/22 8:19:00 PM,C,28.5
8/7/22 8:49:00 PM,C,28.5
8/7/22 9:19:00 PM,C,28.5
8/7/22 9:49:00 PM,C,28.5
8/7/22 10:19:00 PM,C,28.5
8/7/22 10:49:00 PM,C,28.5
8/7/22 11:19:00 PM,C,28.5
8/7/22 11:49:00 PM,C,28.5
8/8/22 12:19:00 AM,C,28.5
8/8/22 12:49:00 AM,C,28.5
8/8/22 1:19:00 AM,C,28.5
8/8/22 1:49:00 AM,C,28
8/8/22 2:19:00 AM,C,28
8/8/22 2:49:00 AM,C,28
8/8/22 3:19:00 AM,C,28
8/8/22 3:49:00 AM,C,28
8/8/22 4:19:00 AM,C,28
8/8/22 4:49:00 AM,C,28
8/8/22 5:19:00 AM,C,28
8/8/22 5:49:00 AM,C,28
8/8/22 6:19:00 AM,C,28
8/8/22 6:49:00 AM,C,28
8/8/22 7:19:00 AM,C,28.5
8/8/22 7:49:00 AM,C,29
8/8/22 8:19:00 AM,C,29.5
8/8/22 8:49:00 AM,C,30
8/8/22 9:19:00 AM,C,30.5
8/8/22 9:49:00 AM,C,31
8/8/22 10:19:00 AM,C,31.5
8/8/22 10:49:00 AM,C,32
8/8/22 11:19:00 AM,C,32.5
8/8/22 11:49:00 AM,C,33
8/8/22 12:19:00 PM,C,33
8/8/22 12:49:00 PM,C,33.5
8/8/22 1:19:00 PM,C,34
8/8/22 1:49:00 PM,C,33
8/8/22 2:19:00 PM,C,33.5
8/8/22 2:49:00 PM,C,33.5
8/8/22 3:19:00 PM,C,33.5
8/8/22 3:49:00 PM,C,33.5
8/8/22 4:19:00 PM,C,34.5
8/8/22 4:49:00 PM,C,34
8/8/22 5:19:00 PM,C,32
8/8/22 5:49:00 PM,C,31.5
8/8/22 6:19:00 PM,C,30
8/8/22 6:49:00 PM,C,29
8/8/22 7:19:00 PM,C,28.5
8/8/22 7:49:00 PM,C,28.5
8/8/22 8:19:00 PM,C,28.5
8/8/22 8:49:00 PM,C,28.5
8/8/22 9:19:00 PM,C,28.5
8/8/22 9:49:00 PM,C,28
8/8/22 10:19:00 PM,C,28
8/8/22 10:49:00 PM,C,28
8/8/22 11:19:00 PM,C,28
8/8/22 11:49:00 PM,C,28
8/9/22 12:19:00 AM,C,28
8/9/22 12:49:00 AM,C,28
8/9/22 1:19:00 AM,C,28
8/9/22 1:49:00 AM,C,28
8/9/22 2:19:00 AM,C,28
8/9/22 2:49:00 AM,C,28
8/9/22 3:19:00 AM,C,27.5
8/9/22 3:49:00 AM,C,27.5
8/9/22 4:19:00 AM,C,27.5
8/9/22 4:49:00 AM,C,27.5
8/9/22 5:19:00 AM,C,27.5
8/9/22 5:49:00 AM,C,27.5
8/9/22 6:19:00 AM,C,27.5
8/9/22 6:49:00 AM,C,28
8/9/22 7:19:00 AM,C,28
8/9/22 7:49:00 AM,C,29
8/9/22 8:19:00 AM,C,29.5
8/9/22 8:49:00 AM,C,30
8/9/22 9:19:00 AM,C,30.5
8/9/22 9:49:00 AM,C,30.5
8/9/22 10:19:00 AM,C,31.5
8/9/22 10:49:00 AM,C,31
8/9/22 11:19:00 AM,C,32
8/9/22 11:49:00 AM,C,32.5
8/9/22 12:19:00 PM,C,32
8/9/22 12:49:00 PM,C,31.5
8/9/22 1:19:00 PM,C,31
8/9/22 1:49:00 PM,C,31
8/9/22 2:19:00 PM,C,31
8/9/22 2:49:00 PM,C,32
8/9/22 3:19:00 PM,C,31.5
8/9/22 3:49:00 PM,C,31.5
8/9/22 4:19:00 PM,C,32.5
8/9/22 4:49:00 PM,C,30.5
8/9/22 5:19:00 PM,C,30
8/9/22 5:49:00 PM,C,31
8/9/22 6:19:00 PM,C,29.5
8/9/22 6:49:00 PM,C,28.5
8/9/22 7:19:00 PM,C,28.5
8/9/22 7:49:00 PM,C,28.5
8/9/22 8:19:00 PM,C,28
8/9/22 8:49:00 PM,C,28
8/9/22 9:19:00 PM,C,28
8/9/22 9:49:00 PM,C,28
8/9/22 10:19:00 PM,C,28
8/9/22 10:49:00 PM,C,28
8/9/22 11:19:00 PM,C,28
8/9/22 11:49:00 PM,C,28
8/10/22 12:19:00 AM,C,28
8/10/22 12:49:00 AM,C,28
8/10/22 1:19:00 AM,C,28
8/10/22 1:49:00 AM,C,27.5
8/10/22 2:19:00 AM,C,27.5
8/10/22 2:49:00 AM,C,27.5
8/10/22 3:19:00 AM,C,27.5
8/10/22 3:49:00 AM,C,27.5
8/10/22 4:19:00 AM,C,27.5
8/10/22 4:49:00 AM,C,27.5
8/10/22 5:19:00 AM,C,27.5
8/10/22 5:49:00 AM,C,27.5
8/10/22 6:19:00 AM,C,27.5
8/10/22 6:49:00 AM,C,28
8/10/22 7:19:00 AM,C,28.5
8/10/22 7:49:00 AM,C,29
8/10/22 8:19:00 AM,C,30
8/10/22 8:49:00 AM,C,30
8/10/22 9:19:00 AM,C,30
8/10/22 9:49:00 AM,C,31
8/10/22 10:19:00 AM,C,31
8/10/22 10:49:00 AM,C,31.5
8/10/22 11:19:00 AM,C,32.5
8/10/22 11:49:00 AM,C,33
8/10/22 12:19:00 PM,C,33.5
8/10/22 12:49:00 PM,C,33.5
8/10/22 1:19:00 PM,C,33.5
8/10/22 1:49:00 PM,C,34
8/10/22 2:19:00 PM,C,34
8/10/22 2:49:00 PM,C,34
8/10/22 3:19:00 PM,C,34
8/10/22 3:49:00 PM,C,35
8/10/22 4:19:00 PM,C,35.5
8/10/22 4:49:00 PM,C,35
8/10/22 5:19:00 PM,C,33
8/10/22 5:49:00 PM,C,32
8/10/22 6:19:00 PM,C,31
8/10/22 6:49:00 PM,C,29.5
8/10/22 7:19:00 PM,C,29
8/10/22 7:49:00 PM,C,28.5
8/10/22 8:19:00 PM,C,28.5
8/10/22 8:49:00 PM,C,28
8/10/22 9:19:00 PM,C,27.5
8/10/22 9:49:00 PM,C,28
8/10/22 10:19:00 PM,C,28
8/10/22 10:49:00 PM,C,28
8/10/22 11:19:00 PM,C,28
8/10/22 11:49:00 PM,C,28
8/11/22 12:19:00 AM,C,28
8/11/22 12:49:00 AM,C,28
8/11/22 1:19:00 AM,C,28
8/11/22 1:49:00 AM,C,27.5
8/11/22 2:19:00 AM,C,28
8/11/22 2:49:00 AM,C,26
8/11/22 3:19:00 AM,C,26
8/11/22 3:49:00 AM,C,26.5
8/11/22 4:19:00 AM,C,26.5
8/11/22 4:49:00 AM,C,27
8/11/22 5:19:00 AM,C,27.5
8/11/22 5:49:00 AM,C,27.5
8/11/22 6:19:00 AM,C,27.5
8/11/22 6:49:00 AM,C,27.5
8/11/22 7:19:00 AM,C,28
8/11/22 7:49:00 AM,C,28.5
8/11/22 8:19:00 AM,C,28.5
8/11/22 8:49:00 AM,C,29
8/11/22 9:19:00 AM,C,29.5
8/11/22 9:49:00 AM,C,31
8/11/22 10:19:00 AM,C,31
8/11/22 10:49:00 AM,C,31
8/11/22 11:19:00 AM,C,31
8/11/22 11:49:00 AM,C,32
8/11/22 12:19:00 PM,C,32
8/11/22 12:49:00 PM,C,32
8/11/22 1:19:00 PM,C,32
8/11/22 1:49:00 PM,C,33
8/11/22 2:19:00 PM,C,34
8/11/22 2:49:00 PM,C,32.5
8/11/22 3:19:00 PM,C,33.5
8/11/22 3:49:00 PM,C,33
8/11/22 4:19:00 PM,C,31
8/11/22 4:49:00 PM,C,30.5
8/11/22 5:19:00 PM,C,30
8/11/22 5:49:00 PM,C,29.5
8/11/22 6:19:00 PM,C,29
8/11/22 6:49:00 PM,C,28.5
8/11/22 7:19:00 PM,C,28.5
8/11/22 7:49:00 PM,C,28.5
8/11/22 8:19:00 PM,C,28.5
8/11/22 8:49:00 PM,C,28.5
8/11/22 9:19:00 PM,C,28
8/11/22 9:49:00 PM,C,28
8/11/22 10:19:00 PM,C,28
8/11/22 10:49:00 PM,C,28
8/11/22 11:19:00 PM,C,28
8/11/22 11:49:00 PM,C,28
8/12/22 12:19:00 AM,C,27.5
8/12/22 12:49:00 AM,C,27.5
8/12/22 1:19:00 AM,C,27.5
8/12/22 1:49:00 AM,C,27.5
8/12/22 2:19:00 AM,C,27.5
8/12/22 2:49:00 AM,C,27.5
8/12/22 3:19:00 AM,C,27.5
8/12/22 3:49:00 AM,C,27.5
8/12/22 4:19:00 AM,C,27.5
8/12/22 4:49:00 AM,C,27.5
8/12/22 5:19:00 AM,C,27.5
8/12/22 5:49:00 AM,C,27.5
8/12/22 6:19:00 AM,C,27
8/12/22 6:49:00 AM,C,27.5
8/12/22 7:19:00 AM,C,28
8/12/22 7:49:00 AM,C,29
8/12/22 8:19:00 AM,C,29.5
8/12/22 8:49:00 AM,C,30
8/12/22 9:19:00 AM,C,30.5
8/12/22 9:49:00 AM,C,31
8/12/22 10:19:00 AM,C,31
8/12/22 10:49:00 AM,C,32
8/12/22 11:19:00 AM,C,32
8/12/22 11:49:00 AM,C,32.5
8/12/22 12:19:00 PM,C,33
8/12/22 12:49:00 PM,C,33.5
8/12/22 1:19:00 PM,C,34
8/12/22 1:49:00 PM,C,34.5
8/12/22 2:19:00 PM,C,34
8/12/22 2:49:00 PM,C,34
8/12/22 3:19:00 PM,C,34.5
8/12/22 3:49:00 PM,C,35.5
8/12/22 4:19:00 PM,C,36.5
8/12/22 4:49:00 PM,C,36
8/12/22 5:19:00 PM,C,36
8/12/22 5:49:00 PM,C,34.5
8/12/22 6:19:00 PM,C,31
8/12/22 6:49:00 PM,C,30
8/12/22 7:19:00 PM,C,29
8/12/22 7:49:00 PM,C,28.5
8/12/22 8:19:00 PM,C,28.5
8/12/22 8:49:00 PM,C,28
8/12/22 9:19:00 PM,C,28
8/12/22 9:49:00 PM,C,28
8/12/22 10:19:00 PM,C,28
8/12/22 10:49:00 PM,C,28
8/12/22 11:19:00 PM,C,27.5
8/12/22 11:49:00 PM,C,27.5
8/13/22 12:19:00 AM,C,27.5
8/13/22 12:49:00 AM,C,27.5
8/13/22 1:19:00 AM,C,27.5
8/13/22 1:49:00 AM,C,27.5
8/13/22 2:19:00 AM,C,27.5
8/13/22 2:49:00 AM,C,27.5
8/13/22 3:19:00 AM,C,27.5
8/13/22 3:49:00 AM,C,26.5
8/13/22 4:19:00 AM,C,26.5
8/13/22 4:49:00 AM,C,26.5
8/13/22 5:19:00 AM,C,26
8/13/22 5:49:00 AM,C,26
8/13/22 6:19:00 AM,C,26
8/13/22 6:49:00 AM,C,26.5
8/13/22 7:19:00 AM,C,27
8/13/22 7:49:00 AM,C,28
8/13/22 8:19:00 AM,C,29
8/13/22 8:49:00 AM,C,30
8/13/22 9:19:00 AM,C,30.5
8/13/22 9:49:00 AM,C,31
8/13/22 10:19:00 AM,C,31.5
8/13/22 10:49:00 AM,C,32
8/13/22 11:19:00 AM,C,32.5
8/13/22 11:49:00 AM,C,33
8/13/22 12:19:00 PM,C,33.5
8/13/22 12:49:00 PM,C,33.5
8/13/22 1:19:00 PM,C,34
8/13/22 1:49:00 PM,C,34.5
8/13/22 2:19:00 PM,C,34.5
8/13/22 2:49:00 PM,C,34.5
8/13/22 3:19:00 PM,C,34
8/13/22 3:49:00 PM,C,34
8/13/22 4:19:00 PM,C,36.5
8/13/22 4:49:00 PM,C,34.5
8/13/22 5:19:00 PM,C,34.5
8/13/22 5:49:00 PM,C,33
8/13/22 6:19:00 PM,C,31.5
8/13/22 6:49:00 PM,C,29.5
8/13/22 7:19:00 PM,C,28.5
8/13/22 7:49:00 PM,C,28.5
8/13/22 8:19:00 PM,C,28
8/13/22 8:49:00 PM,C,28
8/13/22 9:19:00 PM,C,28
8/13/22 9:49:00 PM,C,28
8/13/22 10:19:00 PM,C,28
8/13/22 10:49:00 PM,C,28
8/13/22 11:19:00 PM,C,28
8/13/22 11:49:00 PM,C,28
8/14/22 12:19:00 AM,C,27.5
8/14/22 12:49:00 AM,C,27.5
8/14/22 1:19:00 AM,C,27.5
8/14/22 1:49:00 AM,C,27
8/14/22 2:19:00 AM,C,27
8/14/22 2:49:00 AM,C,26.5
8/14/22 3:19:00 AM,C,26
8/14/22 3:49:00 AM,C,26
8/14/22 4:19:00 AM,C,25.5
8/14/22 4:49:00 AM,C,25.5
8/14/22 5:19:00 AM,C,25.5
8/14/22 5:49:00 AM,C,25.5
8/14/22 6:19:00 AM,C,25.5
8/14/22 6:49:00 AM,C,26
8/14/22 7:19:00 AM,C,27
8/14/22 7:49:00 AM,C,28
8/14/22 8:19:00 AM,C,28
8/14/22 8:49:00 AM,C,29.5
8/14/22 9:19:00 AM,C,29.5
8/14/22 9:49:00 AM,C,31
8/14/22 10:19:00 AM,C,32
8/14/22 10:49:00 AM,C,32.5
8/14/22 11:19:00 AM,C,32.5
8/14/22 11:49:00 AM,C,33
8/14/22 12:19:00 PM,C,33.5
8/14/22 12:49:00 PM,C,33.5
8/14/22 1:19:00 PM,C,34
8/14/22 1:49:00 PM,C,34
8/14/22 2:19:00 PM,C,34
8/14/22 2:49:00 PM,C,34.5
8/14/22 3:19:00 PM,C,34.5
8/14/22 3:49:00 PM,C,36
8/14/22 4:19:00 PM,C,34.5
8/14/22 4:49:00 PM,C,31.5
8/14/22 5:19:00 PM,C,31
8/14/22 5:49:00 PM,C,30
8/14/22 6:19:00 PM,C,30
8/14/22 6:49:00 PM,C,29.5
8/14/22 7:19:00 PM,C,29
8/14/22 7:49:00 PM,C,28.5
8/14/22 8:19:00 PM,C,28.5
8/14/22 8:49:00 PM,C,27.5
8/14/22 9:19:00 PM,C,27.5
8/14/22 9:49:00 PM,C,27.5
8/14/22 10:19:00 PM,C,27.5
8/14/22 10:49:00 PM,C,27.5
8/14/22 11:19:00 PM,C,27.5
8/14/22 11:49:00 PM,C,27
8/15/22 12:19:00 AM,C,27
8/15/22 12:49:00 AM,C,25.5
8/15/22 1:19:00 AM,C,26
8/15/22 1:49:00 AM,C,26
8/15/22 2:19:00 AM,C,25.5
8/15/22 2:49:00 AM,C,25.5
8/15/22 3:19:00 AM,C,25.5
8/15/22 3:49:00 AM,C,25
8/15/22 4:19:00 AM,C,25
8/15/22 4:49:00 AM,C,25.5
8/15/22 5:19:00 AM,C,25
8/15/22 5:49:00 AM,C,25.5
8/15/22 6:19:00 AM,C,25
8/15/22 6:49:00 AM,C,25.5
8/15/22 7:19:00 AM,C,26
8/15/22 7:49:00 AM,C,27
8/15/22 8:19:00 AM,C,27.5
8/15/22 8:49:00 AM,C,28.5
8/15/22 9:19:00 AM,C,30
8/15/22 9:49:00 AM,C,31
8/15/22 10:19:00 AM,C,31
8/15/22 10:49:00 AM,C,31
8/15/22 11:19:00 AM,C,31
8/15/22 11:49:00 AM,C,32
8/15/22 12:19:00 PM,C,32
8/15/22 12:49:00 PM,C,32.5
8/15/22 1:19:00 PM,C,32.5
8/15/22 1:49:00 PM,C,33.5
8/15/22 2:19:00 PM,C,33
8/15/22 2:49:00 PM,C,33.5
8/15/22 3:19:00 PM,C,33
8/15/22 3:49:00 PM,C,32.5
8/15/22 4:19:00 PM,C,33.5
8/15/22 4:49:00 PM,C,33.5
8/15/22 5:19:00 PM,C,33.5
8/15/22 5:49:00 PM,C,31.5
8/15/22 6:19:00 PM,C,30.5
8/15/22 6:49:00 PM,C,29.5
8/15/22 7:19:00 PM,C,29
8/15/22 7:49:00 PM,C,28.5
8/15/22 8:19:00 PM,C,28.5
8/15/22 8:49:00 PM,C,28.5
8/15/22 9:19:00 PM,C,28
8/15/22 9:49:00 PM,C,28
8/15/22 10:19:00 PM,C,28
8/15/22 10:49:00 PM,C,27.5
8/15/22 11:19:00 PM,C,27.5
8/15/22 11:49:00 PM,C,27
8/16/22 12:19:00 AM,C,27
8/16/22 12:49:00 AM,C,27
8/16/22 1:19:00 AM,C,27
8/16/22 1:49:00 AM,C,26.5
8/16/22 2:19:00 AM,C,26.5
8/16/22 2:49:00 AM,C,26.5
8/16/22 3:19:00 AM,C,26.5
8/16/22 3:49:00 AM,C,26.5
8/16/22 4:19:00 AM,C,26.5
8/16/22 4:49:00 AM,C,26
8/16/22 5:19:00 AM,C,26.5
8/16/22 5:49:00 AM,C,26.5
8/16/22 6:19:00 AM,C,26.5
8/16/22 6:49:00 AM,C,27.5
8/16/22 7:19:00 AM,C,28.5
8/16/22 7:49:00 AM,C,28.5
8/16/22 8:19:00 AM,C,29.5
8/16/22 8:49:00 AM,C,30
8/16/22 9:19:00 AM,C,31
8/16/22 9:49:00 AM,C,31.5
8/16/22 10:19:00 AM,C,31.5
8/16/22 10:49:00 AM,C,32
8/16/22 11:19:00 AM,C,32
8/16/22 11:49:00 AM,C,32.5
8/16/22 12:19:00 PM,C,33
8/16/22 12:49:00 PM,C,33
8/16/22 1:19:00 PM,C,34
8/16/22 1:49:00 PM,C,35
8/16/22 2:19:00 PM,C,34
8/16/22 2:49:00 PM,C,34
8/16/22 3:19:00 PM,C,33.5
8/16/22 3:49:00 PM,C,34.5
8/16/22 4:19:00 PM,C,33.5
8/16/22 4:49:00 PM,C,33
8/16/22 5:19:00 PM,C,32
8/16/22 5:49:00 PM,C,31.5
8/16/22 6:19:00 PM,C,30.5
8/16/22 6:49:00 PM,C,30
8/16/22 7:19:00 PM,C,29
8/16/22 7:49:00 PM,C,29
8/16/22 8:19:00 PM,C,28.5
8/16/22 8:49:00 PM,C,28.5
8/16/22 9:19:00 PM,C,28
8/16/22 9:49:00 PM,C,27.5
8/16/22 10:19:00 PM,C,27.5
8/16/22 10:49:00 PM,C,27
8/16/22 11:19:00 PM,C,27
8/16/22 11:49:00 PM,C,27
8/17/22 12:19:00 AM,C,26.5
8/17/22 12:49:00 AM,C,26.5
8/17/22 1:19:00 AM,C,26
8/17/22 1:49:00 AM,C,26
8/17/22 2:19:00 AM,C,26
8/17/22 2:49:00 AM,C,26
8/17/22 3:19:00 AM,C,26
8/17/22 3:49:00 AM,C,26
8/17/22 4:19:00 AM,C,26
8/17/22 4:49:00 AM,C,26
8/17/22 5:19:00 AM,C,25.5
8/17/22 5:49:00 AM,C,25.5
8/17/22 6:19:00 AM,C,25.5
8/17/22 6:49:00 AM,C,26
8/17/22 7:19:00 AM,C,27
8/17/22 7:49:00 AM,C,28.5
8/17/22 8:19:00 AM,C,29.5
8/17/22 8:49:00 AM,C,30.5
8/17/22 9:19:00 AM,C,31
8/17/22 9:49:00 AM,C,32
8/17/22 10:19:00 AM,C,31
8/17/22 10:49:00 AM,C,32.5
8/17/22 11:19:00 AM,C,34
8/17/22 11:49:00 AM,C,35
8/17/22 12:19:00 PM,C,35
8/17/22 12:49:00 PM,C,36
8/17/22 1:19:00 PM,C,36.5
8/17/22 1:49:00 PM,C,37
8/17/22 2:19:00 PM,C,36.5
8/17/22 2:49:00 PM,C,37
8/17/22 3:19:00 PM,C,37
8/17/22 3:49:00 PM,C,39.5
8/17/22 4:19:00 PM,C,35.5
8/17/22 4:49:00 PM,C,33
8/17/22 5:19:00 PM,C,31.5
8/17/22 5:49:00 PM,C,31
8/17/22 6:19:00 PM,C,30
8/17/22 6:49:00 PM,C,29.5
8/17/22 7:19:00 PM,C,29
8/17/22 7:49:00 PM,C,29
8/17/22 8:19:00 PM,C,28.5
8/17/22 8:49:00 PM,C,28
8/17/22 9:19:00 PM,C,28
8/17/22 9:49:00 PM,C,28
8/17/22 10:19:00 PM,C,27.5
8/17/22 10:49:00 PM,C,27.5
8/17/22 11:19:00 PM,C,27
8/17/22 11:49:00 PM,C,27.5
8/18/22 12:19:00 AM,C,27
8/18/22 12:49:00 AM,C,27.5
8/18/22 1:19:00 AM,C,27
8/18/22 1:49:00 AM,C,27
8/18/22 2:19:00 AM,C,26.5
8/18/22 2:49:00 AM,C,26.5
8/18/22 3:19:00 AM,C,26
8/18/22 3:49:00 AM,C,26
8/18/22 4:19:00 AM,C,26
8/18/22 4:49:00 AM,C,26
8/18/22 5:19:00 AM,C,26.5
8/18/22 5:49:00 AM,C,26.5
8/18/22 6:19:00 AM,C,26
8/18/22 6:49:00 AM,C,27
8/18/22 7:19:00 AM,C,27.5
8/18/22 7:49:00 AM,C,28.5
8/18/22 8:19:00 AM,C,28.5
8/18/22 8:49:00 AM,C,29
8/18/22 9:19:00 AM,C,27.5
8/18/22 9:49:00 AM,C,28.5
8/18/22 10:19:00 AM,C,28.5
8/18/22 10:49:00 AM,C,30.5
8/18/22 11:19:00 AM,C,27
8/18/22 11:49:00 AM,C,30
8/18/22 12:19:00 PM,C,31
8/18/22 12:49:00 PM,C,32
8/18/22 1:19:00 PM,C,32
8/18/22 1:49:00 PM,C,33.5
8/18/22 2:19:00 PM,C,34
8/18/22 2:49:00 PM,C,33.5
8/18/22 3:19:00 PM,C,33.5
8/18/22 3:49:00 PM,C,36
8/18/22 4:19:00 PM,C,38
8/18/22 4:49:00 PM,C,36.5
8/18/22 5:19:00 PM,C,38.5
8/18/22 5:49:00 PM,C,33.5
8/18/22 6:19:00 PM,C,33.5
8/18/22 6:49:00 PM,C,30
8/18/22 7:19:00 PM,C,29.5
8/18/22 7:49:00 PM,C,29
8/18/22 8:19:00 PM,C,29
8/18/22 8:49:00 PM,C,28.5
8/18/22 9:19:00 PM,C,28.5
8/18/22 9:49:00 PM,C,28.5
8/18/22 10:19:00 PM,C,28.5
8/18/22 10:49:00 PM,C,28.5
8/18/22 11:19:00 PM,C,28
8/18/22 11:49:00 PM,C,28
8/19/22 12:19:00 AM,C,28
8/19/22 12:49:00 AM,C,26.5
8/19/22 1:19:00 AM,C,27
8/19/22 1:49:00 AM,C,27.5
8/19/22 2:19:00 AM,C,27.5
8/19/22 2:49:00 AM,C,28
8/19/22 3:19:00 AM,C,27.5
8/19/22 3:49:00 AM,C,27.5
8/19/22 4:19:00 AM,C,28
8/19/22 4:49:00 AM,C,28
8/19/22 5:19:00 AM,C,28
8/19/22 5:49:00 AM,C,27.5
8/19/22 6:19:00 AM,C,28
8/19/22 6:49:00 AM,C,28.5
8/19/22 7:19:00 AM,C,28.5
8/19/22 7:49:00 AM,C,29.5
8/19/22 8:19:00 AM,C,30
8/19/22 8:49:00 AM,C,30.5
8/19/22 9:19:00 AM,C,30.5
8/19/22 9:49:00 AM,C,31
8/19/22 10:19:00 AM,C,32
8/19/22 10:49:00 AM,C,32.5
8/19/22 11:19:00 AM,C,32
8/19/22 11:49:00 AM,C,31
8/19/22 12:19:00 PM,C,30.5
8/19/22 12:49:00 PM,C,31
8/19/22 1:19:00 PM,C,32.5
8/19/22 1:49:00 PM,C,32.5
8/19/22 2:19:00 PM,C,35
8/19/22 2:49:00 PM,C,34.5
8/19/22 3:19:00 PM,C,31
8/19/22 3:49:00 PM,C,34.5
8/19/22 4:19:00 PM,C,37.5
