1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E100000041808C21
Is Mission Active?  true
Mission Start:  Fri Aug 06 07:26:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1681
Total Samples:  42730
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/6/21 7:26:00 AM,C,32
8/6/21 7:56:00 AM,C,31.5
8/6/21 8:26:00 AM,C,35
8/6/21 8:56:00 AM,C,36
8/6/21 9:26:00 AM,C,38.5
8/6/21 9:56:00 AM,C,42.5
8/6/21 10:26:00 AM,C,43
8/6/21 10:56:00 AM,C,43
8/6/21 11:26:00 AM,C,43
8/6/21 11:56:00 AM,C,46.5
8/6/21 12:26:00 PM,C,45
8/6/21 12:56:00 PM,C,44.5
8/6/21 1:26:00 PM,C,46.5
8/6/21 1:56:00 PM,C,45.5
8/6/21 2:26:00 PM,C,45
8/6/21 2:56:00 PM,C,44
8/6/21 3:26:00 PM,C,42.5
8/6/21 3:56:00 PM,C,42
8/6/21 4:26:00 PM,C,39.5
8/6/21 4:56:00 PM,C,37.5
8/6/21 5:26:00 PM,C,35.5
8/6/21 5:56:00 PM,C,32.5
8/6/21 6:26:00 PM,C,30
8/6/21 6:56:00 PM,C,28.5
8/6/21 7:26:00 PM,C,28
8/6/21 7:56:00 PM,C,28
8/6/21 8:26:00 PM,C,27.5
8/6/21 8:56:00 PM,C,27.5
8/6/21 9:26:00 PM,C,27.5
8/6/21 9:56:00 PM,C,27.5
8/6/21 10:26:00 PM,C,27
8/6/21 10:56:00 PM,C,27
8/6/21 11:26:00 PM,C,27
8/6/21 11:56:00 PM,C,26.5
8/7/21 12:26:00 AM,C,26.5
8/7/21 12:56:00 AM,C,25.5
8/7/21 1:26:00 AM,C,25.5
8/7/21 1:56:00 AM,C,25.5
8/7/21 2:26:00 AM,C,26
8/7/21 2:56:00 AM,C,25
8/7/21 3:26:00 AM,C,25
8/7/21 3:56:00 AM,C,24.5
8/7/21 4:26:00 AM,C,25
8/7/21 4:56:00 AM,C,25.5
8/7/21 5:26:00 AM,C,25.5
8/7/21 5:56:00 AM,C,24.5
8/7/21 6:26:00 AM,C,25
8/7/21 6:56:00 AM,C,26
8/7/21 7:26:00 AM,C,31.5
8/7/21 7:56:00 AM,C,32.5
8/7/21 8:26:00 AM,C,34.5
8/7/21 8:56:00 AM,C,37
8/7/21 9:26:00 AM,C,41
8/7/21 9:56:00 AM,C,45
8/7/21 10:26:00 AM,C,47
8/7/21 10:56:00 AM,C,49
8/7/21 11:26:00 AM,C,51
8/7/21 11:56:00 AM,C,54
8/7/21 12:26:00 PM,C,52
8/7/21 12:56:00 PM,C,53
8/7/21 1:26:00 PM,C,49.5
8/7/21 1:56:00 PM,C,39.5
8/7/21 2:26:00 PM,C,47.5
8/7/21 2:56:00 PM,C,44
8/7/21 3:26:00 PM,C,43
8/7/21 3:56:00 PM,C,34.5
8/7/21 4:26:00 PM,C,33
8/7/21 4:56:00 PM,C,31
8/7/21 5:26:00 PM,C,34
8/7/21 5:56:00 PM,C,31.5
8/7/21 6:26:00 PM,C,30
8/7/21 6:56:00 PM,C,28.5
8/7/21 7:26:00 PM,C,28
8/7/21 7:56:00 PM,C,28
8/7/21 8:26:00 PM,C,28
8/7/21 8:56:00 PM,C,27.5
8/7/21 9:26:00 PM,C,27.5
8/7/21 9:56:00 PM,C,27.5
8/7/21 10:26:00 PM,C,27.5
8/7/21 10:56:00 PM,C,27.5
8/7/21 11:26:00 PM,C,27
8/7/21 11:56:00 PM,C,27
8/8/21 12:26:00 AM,C,27
8/8/21 12:56:00 AM,C,27
8/8/21 1:26:00 AM,C,27
8/8/21 1:56:00 AM,C,26.5
8/8/21 2:26:00 AM,C,26
8/8/21 2:56:00 AM,C,27
8/8/21 3:26:00 AM,C,26.5
8/8/21 3:56:00 AM,C,27
8/8/21 4:26:00 AM,C,26.5
8/8/21 4:56:00 AM,C,26.5
8/8/21 5:26:00 AM,C,26.5
8/8/21 5:56:00 AM,C,26.5
8/8/21 6:26:00 AM,C,27
8/8/21 6:56:00 AM,C,28.5
8/8/21 7:26:00 AM,C,29
8/8/21 7:56:00 AM,C,32
8/8/21 8:26:00 AM,C,32
8/8/21 8:56:00 AM,C,25.5
8/8/21 9:26:00 AM,C,34
8/8/21 9:56:00 AM,C,33
8/8/21 10:26:00 AM,C,28
8/8/21 10:56:00 AM,C,25
8/8/21 11:26:00 AM,C,25
8/8/21 11:56:00 AM,C,25.5
8/8/21 12:26:00 PM,C,26
8/8/21 12:56:00 PM,C,28
8/8/21 1:26:00 PM,C,29.5
8/8/21 1:56:00 PM,C,31
8/8/21 2:26:00 PM,C,31
8/8/21 2:56:00 PM,C,35
8/8/21 3:26:00 PM,C,32.5
8/8/21 3:56:00 PM,C,33
8/8/21 4:26:00 PM,C,33
8/8/21 4:56:00 PM,C,32
8/8/21 5:26:00 PM,C,31
8/8/21 5:56:00 PM,C,31.5
8/8/21 6:26:00 PM,C,29
8/8/21 6:56:00 PM,C,27.5
8/8/21 7:26:00 PM,C,27.5
8/8/21 7:56:00 PM,C,26.5
8/8/21 8:26:00 PM,C,26
8/8/21 8:56:00 PM,C,25.5
8/8/21 9:26:00 PM,C,26
8/8/21 9:56:00 PM,C,25.5
8/8/21 10:26:00 PM,C,26.5
8/8/21 10:56:00 PM,C,26.5
8/8/21 11:26:00 PM,C,26.5
8/8/21 11:56:00 PM,C,26.5
8/9/21 12:26:00 AM,C,26
8/9/21 12:56:00 AM,C,26.5
8/9/21 1:26:00 AM,C,26.5
8/9/21 1:56:00 AM,C,26
8/9/21 2:26:00 AM,C,26.5
8/9/21 2:56:00 AM,C,26.5
8/9/21 3:26:00 AM,C,26
8/9/21 3:56:00 AM,C,26
8/9/21 4:26:00 AM,C,26
8/9/21 4:56:00 AM,C,25.5
8/9/21 5:26:00 AM,C,25.5
8/9/21 5:56:00 AM,C,25.5
8/9/21 6:26:00 AM,C,26.5
8/9/21 6:56:00 AM,C,27.5
8/9/21 7:26:00 AM,C,29.5
8/9/21 7:56:00 AM,C,32
8/9/21 8:26:00 AM,C,34.5
8/9/21 8:56:00 AM,C,38
8/9/21 9:26:00 AM,C,39.5
8/9/21 9:56:00 AM,C,42
8/9/21 10:26:00 AM,C,44
8/9/21 10:56:00 AM,C,44.5
8/9/21 11:26:00 AM,C,45.5
8/9/21 11:56:00 AM,C,49
8/9/21 12:26:00 PM,C,45.5
8/9/21 12:56:00 PM,C,49
8/9/21 1:26:00 PM,C,51.5
8/9/21 1:56:00 PM,C,46
8/9/21 2:26:00 PM,C,45.5
8/9/21 2:56:00 PM,C,43
8/9/21 3:26:00 PM,C,41.5
8/9/21 3:56:00 PM,C,41.5
8/9/21 4:26:00 PM,C,43
8/9/21 4:56:00 PM,C,38
8/9/21 5:26:00 PM,C,37.5
8/9/21 5:56:00 PM,C,33.5
8/9/21 6:26:00 PM,C,30
8/9/21 6:56:00 PM,C,28.5
8/9/21 7:26:00 PM,C,28
8/9/21 7:56:00 PM,C,27
8/9/21 8:26:00 PM,C,27
8/9/21 8:56:00 PM,C,26.5
8/9/21 9:26:00 PM,C,26
8/9/21 9:56:00 PM,C,26
8/9/21 10:26:00 PM,C,26
8/9/21 10:56:00 PM,C,26.5
8/9/21 11:26:00 PM,C,26.5
8/9/21 11:56:00 PM,C,26.5
8/10/21 12:26:00 AM,C,26
8/10/21 12:56:00 AM,C,24.5
8/10/21 1:26:00 AM,C,24.5
8/10/21 1:56:00 AM,C,24
8/10/21 2:26:00 AM,C,24.5
8/10/21 2:56:00 AM,C,25
8/10/21 3:26:00 AM,C,25.5
8/10/21 3:56:00 AM,C,25.5
8/10/21 4:26:00 AM,C,26
8/10/21 4:56:00 AM,C,26
8/10/21 5:26:00 AM,C,25
8/10/21 5:56:00 AM,C,24.5
8/10/21 6:26:00 AM,C,26
8/10/21 6:56:00 AM,C,26.5
8/10/21 7:26:00 AM,C,28.5
8/10/21 7:56:00 AM,C,30.5
8/10/21 8:26:00 AM,C,31
8/10/21 8:56:00 AM,C,34
8/10/21 9:26:00 AM,C,35
8/10/21 9:56:00 AM,C,37
8/10/21 10:26:00 AM,C,31.5
8/10/21 10:56:00 AM,C,28
8/10/21 11:26:00 AM,C,34
8/10/21 11:56:00 AM,C,26
8/10/21 12:26:00 PM,C,25.5
8/10/21 12:56:00 PM,C,25.5
8/10/21 1:26:00 PM,C,27.5
8/10/21 1:56:00 PM,C,31
8/10/21 2:26:00 PM,C,25
8/10/21 2:56:00 PM,C,25.5
8/10/21 3:26:00 PM,C,25.5
8/10/21 3:56:00 PM,C,27
8/10/21 4:26:00 PM,C,27
8/10/21 4:56:00 PM,C,27
8/10/21 5:26:00 PM,C,26
8/10/21 5:56:00 PM,C,25
8/10/21 6:26:00 PM,C,25.5
8/10/21 6:56:00 PM,C,24.5
8/10/21 7:26:00 PM,C,25
8/10/21 7:56:00 PM,C,24.5
8/10/21 8:26:00 PM,C,24.5
8/10/21 8:56:00 PM,C,25
8/10/21 9:26:00 PM,C,25
8/10/21 9:56:00 PM,C,25
8/10/21 10:26:00 PM,C,25.5
8/10/21 10:56:00 PM,C,25.5
8/10/21 11:26:00 PM,C,26
8/10/21 11:56:00 PM,C,26
8/11/21 12:26:00 AM,C,26
8/11/21 12:56:00 AM,C,26
8/11/21 1:26:00 AM,C,26
8/11/21 1:56:00 AM,C,26
8/11/21 2:26:00 AM,C,26
8/11/21 2:56:00 AM,C,25.5
8/11/21 3:26:00 AM,C,25.5
8/11/21 3:56:00 AM,C,26
8/11/21 4:26:00 AM,C,25.5
8/11/21 4:56:00 AM,C,25.5
8/11/21 5:26:00 AM,C,25.5
8/11/21 5:56:00 AM,C,25.5
8/11/21 6:26:00 AM,C,25.5
8/11/21 6:56:00 AM,C,27.5
8/11/21 7:26:00 AM,C,30
8/11/21 7:56:00 AM,C,32.5
8/11/21 8:26:00 AM,C,38.5
8/11/21 8:56:00 AM,C,42.5
8/11/21 9:26:00 AM,C,47
8/11/21 9:56:00 AM,C,45
8/11/21 10:26:00 AM,C,52
8/11/21 10:56:00 AM,C,49.5
8/11/21 11:26:00 AM,C,51.5
8/11/21 11:56:00 AM,C,51
8/11/21 12:26:00 PM,C,44
8/11/21 12:56:00 PM,C,51.5
8/11/21 1:26:00 PM,C,54
8/11/21 1:56:00 PM,C,53
8/11/21 2:26:00 PM,C,34
8/11/21 2:56:00 PM,C,36.5
8/11/21 3:26:00 PM,C,37.5
8/11/21 3:56:00 PM,C,43
8/11/21 4:26:00 PM,C,45
8/11/21 4:56:00 PM,C,32.5
8/11/21 5:26:00 PM,C,32.5
8/11/21 5:56:00 PM,C,34
8/11/21 6:26:00 PM,C,30.5
8/11/21 6:56:00 PM,C,29
8/11/21 7:26:00 PM,C,28.5
8/11/21 7:56:00 PM,C,28
8/11/21 8:26:00 PM,C,27.5
8/11/21 8:56:00 PM,C,27.5
8/11/21 9:26:00 PM,C,27.5
8/11/21 9:56:00 PM,C,27.5
8/11/21 10:26:00 PM,C,27
8/11/21 10:56:00 PM,C,27
8/11/21 11:26:00 PM,C,27
8/11/21 11:56:00 PM,C,27
8/12/21 12:26:00 AM,C,27.5
8/12/21 12:56:00 AM,C,27
8/12/21 1:26:00 AM,C,27.5
8/12/21 1:56:00 AM,C,27
8/12/21 2:26:00 AM,C,26.5
8/12/21 2:56:00 AM,C,26
8/12/21 3:26:00 AM,C,26.5
8/12/21 3:56:00 AM,C,26
8/12/21 4:26:00 AM,C,26.5
8/12/21 4:56:00 AM,C,26
8/12/21 5:26:00 AM,C,26
8/12/21 5:56:00 AM,C,26
8/12/21 6:26:00 AM,C,27
8/12/21 6:56:00 AM,C,28
8/12/21 7:26:00 AM,C,29.5
8/12/21 7:56:00 AM,C,32
8/12/21 8:26:00 AM,C,32.5
8/12/21 8:56:00 AM,C,36.5
8/12/21 9:26:00 AM,C,41
8/12/21 9:56:00 AM,C,41.5
8/12/21 10:26:00 AM,C,42
8/12/21 10:56:00 AM,C,44
8/12/21 11:26:00 AM,C,44
8/12/21 11:56:00 AM,C,46
8/12/21 12:26:00 PM,C,42.5
8/12/21 12:56:00 PM,C,46.5
8/12/21 1:26:00 PM,C,46
8/12/21 1:56:00 PM,C,45
8/12/21 2:26:00 PM,C,46.5
8/12/21 2:56:00 PM,C,42
8/12/21 3:26:00 PM,C,40.5
8/12/21 3:56:00 PM,C,43
8/12/21 4:26:00 PM,C,41
8/12/21 4:56:00 PM,C,38
8/12/21 5:26:00 PM,C,33.5
8/12/21 5:56:00 PM,C,30
8/12/21 6:26:00 PM,C,29
8/12/21 6:56:00 PM,C,28
8/12/21 7:26:00 PM,C,28
8/12/21 7:56:00 PM,C,27.5
8/12/21 8:26:00 PM,C,27.5
8/12/21 8:56:00 PM,C,27.5
8/12/21 9:26:00 PM,C,27.5
8/12/21 9:56:00 PM,C,27
8/12/21 10:26:00 PM,C,27
8/12/21 10:56:00 PM,C,27
8/12/21 11:26:00 PM,C,27.5
8/12/21 11:56:00 PM,C,27
8/13/21 12:26:00 AM,C,27
8/13/21 12:56:00 AM,C,27
8/13/21 1:26:00 AM,C,26.5
8/13/21 1:56:00 AM,C,26.5
8/13/21 2:26:00 AM,C,26.5
8/13/21 2:56:00 AM,C,25.5
8/13/21 3:26:00 AM,C,26
8/13/21 3:56:00 AM,C,26.5
8/13/21 4:26:00 AM,C,26.5
8/13/21 4:56:00 AM,C,26.5
8/13/21 5:26:00 AM,C,26.5
8/13/21 5:56:00 AM,C,26
8/13/21 6:26:00 AM,C,27
8/13/21 6:56:00 AM,C,28
8/13/21 7:26:00 AM,C,29.5
8/13/21 7:56:00 AM,C,31
8/13/21 8:26:00 AM,C,34
8/13/21 8:56:00 AM,C,35
8/13/21 9:26:00 AM,C,37
8/13/21 9:56:00 AM,C,41
8/13/21 10:26:00 AM,C,44
8/13/21 10:56:00 AM,C,42
8/13/21 11:26:00 AM,C,47
8/13/21 11:56:00 AM,C,46.5
8/13/21 12:26:00 PM,C,39.5
8/13/21 12:56:00 PM,C,42
8/13/21 1:26:00 PM,C,37
8/13/21 1:56:00 PM,C,41.5
8/13/21 2:26:00 PM,C,41.5
8/13/21 2:56:00 PM,C,41
8/13/21 3:26:00 PM,C,35.5
8/13/21 3:56:00 PM,C,37.5
8/13/21 4:26:00 PM,C,37
8/13/21 4:56:00 PM,C,35.5
8/13/21 5:26:00 PM,C,34.5
8/13/21 5:56:00 PM,C,31
8/13/21 6:26:00 PM,C,29.5
8/13/21 6:56:00 PM,C,28.5
8/13/21 7:26:00 PM,C,28
8/13/21 7:56:00 PM,C,28
8/13/21 8:26:00 PM,C,28
8/13/21 8:56:00 PM,C,27.5
8/13/21 9:26:00 PM,C,27.5
8/13/21 9:56:00 PM,C,27.5
8/13/21 10:26:00 PM,C,27.5
8/13/21 10:56:00 PM,C,27
8/13/21 11:26:00 PM,C,27
8/13/21 11:56:00 PM,C,26
8/14/21 12:26:00 AM,C,26
8/14/21 12:56:00 AM,C,26
8/14/21 1:26:00 AM,C,26
8/14/21 1:56:00 AM,C,25.5
8/14/21 2:26:00 AM,C,26
8/14/21 2:56:00 AM,C,26.5
8/14/21 3:26:00 AM,C,26
8/14/21 3:56:00 AM,C,26
8/14/21 4:26:00 AM,C,26
8/14/21 4:56:00 AM,C,26
8/14/21 5:26:00 AM,C,26
8/14/21 5:56:00 AM,C,26
8/14/21 6:26:00 AM,C,27
8/14/21 6:56:00 AM,C,28
8/14/21 7:26:00 AM,C,30.5
8/14/21 7:56:00 AM,C,32.5
8/14/21 8:26:00 AM,C,35.5
8/14/21 8:56:00 AM,C,37.5
8/14/21 9:26:00 AM,C,30
8/14/21 9:56:00 AM,C,44.5
8/14/21 10:26:00 AM,C,36
8/14/21 10:56:00 AM,C,42
8/14/21 11:26:00 AM,C,50
8/14/21 11:56:00 AM,C,55
8/14/21 12:26:00 PM,C,38
8/14/21 12:56:00 PM,C,50.5
8/14/21 1:26:00 PM,C,58
8/14/21 1:56:00 PM,C,53.5
8/14/21 2:26:00 PM,C,51
8/14/21 2:56:00 PM,C,33.5
8/14/21 3:26:00 PM,C,34.5
8/14/21 3:56:00 PM,C,43
8/14/21 4:26:00 PM,C,38
8/14/21 4:56:00 PM,C,35.5
8/14/21 5:26:00 PM,C,33
8/14/21 5:56:00 PM,C,32
8/14/21 6:26:00 PM,C,29.5
8/14/21 6:56:00 PM,C,29
8/14/21 7:26:00 PM,C,28.5
8/14/21 7:56:00 PM,C,26.5
8/14/21 8:26:00 PM,C,26.5
8/14/21 8:56:00 PM,C,27
8/14/21 9:26:00 PM,C,27
8/14/21 9:56:00 PM,C,27
8/14/21 10:26:00 PM,C,26.5
8/14/21 10:56:00 PM,C,26.5
8/14/21 11:26:00 PM,C,27
8/14/21 11:56:00 PM,C,27
8/15/21 12:26:00 AM,C,27
8/15/21 12:56:00 AM,C,25.5
8/15/21 1:26:00 AM,C,26
8/15/21 1:56:00 AM,C,26
8/15/21 2:26:00 AM,C,26
8/15/21 2:56:00 AM,C,26
8/15/21 3:26:00 AM,C,26.5
8/15/21 3:56:00 AM,C,26
8/15/21 4:26:00 AM,C,26
8/15/21 4:56:00 AM,C,26.5
8/15/21 5:26:00 AM,C,27
8/15/21 5:56:00 AM,C,26.5
8/15/21 6:26:00 AM,C,27
8/15/21 6:56:00 AM,C,27.5
8/15/21 7:26:00 AM,C,28.5
8/15/21 7:56:00 AM,C,29
8/15/21 8:26:00 AM,C,30
8/15/21 8:56:00 AM,C,32.5
8/15/21 9:26:00 AM,C,33
8/15/21 9:56:00 AM,C,28.5
8/15/21 10:26:00 AM,C,26.5
8/15/21 10:56:00 AM,C,25.5
8/15/21 11:26:00 AM,C,24.5
8/15/21 11:56:00 AM,C,25
8/15/21 12:26:00 PM,C,25
8/15/21 12:56:00 PM,C,24
8/15/21 1:26:00 PM,C,24
8/15/21 1:56:00 PM,C,24
8/15/21 2:26:00 PM,C,24.5
8/15/21 2:56:00 PM,C,25
8/15/21 3:26:00 PM,C,24.5
8/15/21 3:56:00 PM,C,24.5
8/15/21 4:26:00 PM,C,24.5
8/15/21 4:56:00 PM,C,25
8/15/21 5:26:00 PM,C,25
8/15/21 5:56:00 PM,C,24.5
8/15/21 6:26:00 PM,C,24.5
8/15/21 6:56:00 PM,C,24
8/15/21 7:26:00 PM,C,24
8/15/21 7:56:00 PM,C,24.5
8/15/21 8:26:00 PM,C,24.5
8/15/21 8:56:00 PM,C,25
8/15/21 9:26:00 PM,C,25
8/15/21 9:56:00 PM,C,24.5
8/15/21 10:26:00 PM,C,24
8/15/21 10:56:00 PM,C,24.5
8/15/21 11:26:00 PM,C,24.5
8/15/21 11:56:00 PM,C,25
8/16/21 12:26:00 AM,C,25.5
8/16/21 12:56:00 AM,C,25.5
8/16/21 1:26:00 AM,C,25.5
8/16/21 1:56:00 AM,C,25.5
8/16/21 2:26:00 AM,C,26
8/16/21 2:56:00 AM,C,25.5
8/16/21 3:26:00 AM,C,25.5
8/16/21 3:56:00 AM,C,25.5
8/16/21 4:26:00 AM,C,26
8/16/21 4:56:00 AM,C,25.5
8/16/21 5:26:00 AM,C,25.5
8/16/21 5:56:00 AM,C,25.5
8/16/21 6:26:00 AM,C,26.5
8/16/21 6:56:00 AM,C,28
8/16/21 7:26:00 AM,C,30.5
8/16/21 7:56:00 AM,C,33.5
8/16/21 8:26:00 AM,C,35
8/16/21 8:56:00 AM,C,38
8/16/21 9:26:00 AM,C,42
8/16/21 9:56:00 AM,C,45.5
8/16/21 10:26:00 AM,C,47.5
8/16/21 10:56:00 AM,C,52.5
8/16/21 11:26:00 AM,C,53.5
8/16/21 11:56:00 AM,C,53
8/16/21 12:26:00 PM,C,44.5
8/16/21 12:56:00 PM,C,47
8/16/21 1:26:00 PM,C,43.5
8/16/21 1:56:00 PM,C,47
8/16/21 2:26:00 PM,C,51.5
8/16/21 2:56:00 PM,C,48.5
8/16/21 3:26:00 PM,C,41
8/16/21 3:56:00 PM,C,37.5
8/16/21 4:26:00 PM,C,37
8/16/21 4:56:00 PM,C,34
8/16/21 5:26:00 PM,C,32
8/16/21 5:56:00 PM,C,30.5
8/16/21 6:26:00 PM,C,29
8/16/21 6:56:00 PM,C,28.5
8/16/21 7:26:00 PM,C,28
8/16/21 7:56:00 PM,C,27.5
8/16/21 8:26:00 PM,C,27
8/16/21 8:56:00 PM,C,27
8/16/21 9:26:00 PM,C,27
8/16/21 9:56:00 PM,C,26.5
8/16/21 10:26:00 PM,C,27
8/16/21 10:56:00 PM,C,26.5
8/16/21 11:26:00 PM,C,27
8/16/21 11:56:00 PM,C,26.5
8/17/21 12:26:00 AM,C,26.5
8/17/21 12:56:00 AM,C,26.5
8/17/21 1:26:00 AM,C,26.5
8/17/21 1:56:00 AM,C,26
8/17/21 2:26:00 AM,C,26
8/17/21 2:56:00 AM,C,25.5
8/17/21 3:26:00 AM,C,25.5
8/17/21 3:56:00 AM,C,25.5
8/17/21 4:26:00 AM,C,25.5
8/17/21 4:56:00 AM,C,25.5
8/17/21 5:26:00 AM,C,25.5
8/17/21 5:56:00 AM,C,26
8/17/21 6:26:00 AM,C,27
8/17/21 6:56:00 AM,C,29
8/17/21 7:26:00 AM,C,31.5
8/17/21 7:56:00 AM,C,33
8/17/21 8:26:00 AM,C,33.5
8/17/21 8:56:00 AM,C,36
8/17/21 9:26:00 AM,C,37
8/17/21 9:56:00 AM,C,39
8/17/21 10:26:00 AM,C,42
8/17/21 10:56:00 AM,C,42
8/17/21 11:26:00 AM,C,44.5
8/17/21 11:56:00 AM,C,47.5
8/17/21 12:26:00 PM,C,39
8/17/21 12:56:00 PM,C,51
8/17/21 1:26:00 PM,C,50
8/17/21 1:56:00 PM,C,52
8/17/21 2:26:00 PM,C,50
8/17/21 2:56:00 PM,C,50
8/17/21 3:26:00 PM,C,52
8/17/21 3:56:00 PM,C,52
8/17/21 4:26:00 PM,C,44.5
8/17/21 4:56:00 PM,C,40.5
8/17/21 5:26:00 PM,C,37
8/17/21 5:56:00 PM,C,33
8/17/21 6:26:00 PM,C,30
8/17/21 6:56:00 PM,C,28.5
8/17/21 7:26:00 PM,C,28
8/17/21 7:56:00 PM,C,28
8/17/21 8:26:00 PM,C,27.5
8/17/21 8:56:00 PM,C,27.5
8/17/21 9:26:00 PM,C,27.5
8/17/21 9:56:00 PM,C,27.5
8/17/21 10:26:00 PM,C,27.5
8/17/21 10:56:00 PM,C,27.5
8/17/21 11:26:00 PM,C,27.5
8/17/21 11:56:00 PM,C,27
8/18/21 12:26:00 AM,C,27
8/18/21 12:56:00 AM,C,27
8/18/21 1:26:00 AM,C,27
8/18/21 1:56:00 AM,C,26.5
8/18/21 2:26:00 AM,C,26.5
8/18/21 2:56:00 AM,C,26.5
8/18/21 3:26:00 AM,C,26.5
8/18/21 3:56:00 AM,C,26.5
8/18/21 4:26:00 AM,C,26
8/18/21 4:56:00 AM,C,26.5
8/18/21 5:26:00 AM,C,26.5
8/18/21 5:56:00 AM,C,25
8/18/21 6:26:00 AM,C,26
8/18/21 6:56:00 AM,C,27
8/18/21 7:26:00 AM,C,30.5
8/18/21 7:56:00 AM,C,30.5
8/18/21 8:26:00 AM,C,30
8/18/21 8:56:00 AM,C,36.5
8/18/21 9:26:00 AM,C,37.5
8/18/21 9:56:00 AM,C,41
8/18/21 10:26:00 AM,C,41.5
8/18/21 10:56:00 AM,C,45
8/18/21 11:26:00 AM,C,45
8/18/21 11:56:00 AM,C,45.5
8/18/21 12:26:00 PM,C,40.5
8/18/21 12:56:00 PM,C,48.5
8/18/21 1:26:00 PM,C,47
8/18/21 1:56:00 PM,C,47.5
8/18/21 2:26:00 PM,C,46
8/18/21 2:56:00 PM,C,43
8/18/21 3:26:00 PM,C,46.5
8/18/21 3:56:00 PM,C,45.5
8/18/21 4:26:00 PM,C,42
8/18/21 4:56:00 PM,C,39.5
8/18/21 5:26:00 PM,C,37
8/18/21 5:56:00 PM,C,33.5
8/18/21 6:26:00 PM,C,30.5
8/18/21 6:56:00 PM,C,29
8/18/21 7:26:00 PM,C,28.5
8/18/21 7:56:00 PM,C,28
8/18/21 8:26:00 PM,C,28
8/18/21 8:56:00 PM,C,28
8/18/21 9:26:00 PM,C,28
8/18/21 9:56:00 PM,C,27.5
