1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9C000000416D0421
Is Mission Active?  true
Mission Start:  Fri Jun 04 08:55:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1679
Total Samples:  38424
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/4/21 8:55:00 AM,C,31.5
6/4/21 9:25:00 AM,C,35.5
6/4/21 9:55:00 AM,C,38.5
6/4/21 10:25:00 AM,C,39.5
6/4/21 10:55:00 AM,C,42.5
6/4/21 11:25:00 AM,C,43
6/4/21 11:55:00 AM,C,40
6/4/21 12:25:00 PM,C,41
6/4/21 12:55:00 PM,C,41
6/4/21 1:25:00 PM,C,46
6/4/21 1:55:00 PM,C,45.5
6/4/21 2:25:00 PM,C,43
6/4/21 2:55:00 PM,C,36.5
6/4/21 3:25:00 PM,C,39
6/4/21 3:55:00 PM,C,39
6/4/21 4:25:00 PM,C,37.5
6/4/21 4:55:00 PM,C,35
6/4/21 5:25:00 PM,C,32
6/4/21 5:55:00 PM,C,31
6/4/21 6:25:00 PM,C,29.5
6/4/21 6:55:00 PM,C,28.5
6/4/21 7:25:00 PM,C,28.5
6/4/21 7:55:00 PM,C,28
6/4/21 8:25:00 PM,C,27.5
6/4/21 8:55:00 PM,C,27
6/4/21 9:25:00 PM,C,27
6/4/21 9:55:00 PM,C,26.5
6/4/21 10:25:00 PM,C,26.5
6/4/21 10:55:00 PM,C,26.5
6/4/21 11:25:00 PM,C,25
6/4/21 11:55:00 PM,C,26
6/5/21 12:25:00 AM,C,26.5
6/5/21 12:55:00 AM,C,26
6/5/21 1:25:00 AM,C,26
6/5/21 1:55:00 AM,C,26
6/5/21 2:25:00 AM,C,25.5
6/5/21 2:55:00 AM,C,25
6/5/21 3:25:00 AM,C,24.5
6/5/21 3:55:00 AM,C,25
6/5/21 4:25:00 AM,C,25.5
6/5/21 4:55:00 AM,C,25.5
6/5/21 5:25:00 AM,C,25.5
6/5/21 5:55:00 AM,C,26
6/5/21 6:25:00 AM,C,26.5
6/5/21 6:55:00 AM,C,28.5
6/5/21 7:25:00 AM,C,28.5
6/5/21 7:55:00 AM,C,24.5
6/5/21 8:25:00 AM,C,27
6/5/21 8:55:00 AM,C,30
6/5/21 9:25:00 AM,C,34
6/5/21 9:55:00 AM,C,36.5
6/5/21 10:25:00 AM,C,37.5
6/5/21 10:55:00 AM,C,34
6/5/21 11:25:00 AM,C,41.5
6/5/21 11:55:00 AM,C,43.5
6/5/21 12:25:00 PM,C,46.5
6/5/21 12:55:00 PM,C,41
6/5/21 1:25:00 PM,C,46.5
6/5/21 1:55:00 PM,C,46.5
6/5/21 2:25:00 PM,C,38.5
6/5/21 2:55:00 PM,C,37.5
6/5/21 3:25:00 PM,C,29.5
6/5/21 3:55:00 PM,C,28
6/5/21 4:25:00 PM,C,35.5
6/5/21 4:55:00 PM,C,34
6/5/21 5:25:00 PM,C,31.5
6/5/21 5:55:00 PM,C,27
6/5/21 6:25:00 PM,C,28
6/5/21 6:55:00 PM,C,27.5
6/5/21 7:25:00 PM,C,27
6/5/21 7:55:00 PM,C,27
6/5/21 8:25:00 PM,C,27
6/5/21 8:55:00 PM,C,26.5
6/5/21 9:25:00 PM,C,26.5
6/5/21 9:55:00 PM,C,26.5
6/5/21 10:25:00 PM,C,24
6/5/21 10:55:00 PM,C,24.5
6/5/21 11:25:00 PM,C,25
6/5/21 11:55:00 PM,C,24.5
6/6/21 12:25:00 AM,C,24.5
6/6/21 12:55:00 AM,C,25
6/6/21 1:25:00 AM,C,25
6/6/21 1:55:00 AM,C,25
6/6/21 2:25:00 AM,C,25.5
6/6/21 2:55:00 AM,C,25.5
6/6/21 3:25:00 AM,C,25.5
6/6/21 3:55:00 AM,C,25.5
6/6/21 4:25:00 AM,C,25.5
6/6/21 4:55:00 AM,C,25.5
6/6/21 5:25:00 AM,C,25
6/6/21 5:55:00 AM,C,25.5
6/6/21 6:25:00 AM,C,25.5
6/6/21 6:55:00 AM,C,26.5
6/6/21 7:25:00 AM,C,27.5
6/6/21 7:55:00 AM,C,29.5
6/6/21 8:25:00 AM,C,30
6/6/21 8:55:00 AM,C,32.5
6/6/21 9:25:00 AM,C,34.5
6/6/21 9:55:00 AM,C,36
6/6/21 10:25:00 AM,C,37.5
6/6/21 10:55:00 AM,C,35.5
6/6/21 11:25:00 AM,C,39.5
6/6/21 11:55:00 AM,C,39
6/6/21 12:25:00 PM,C,42
6/6/21 12:55:00 PM,C,45.5
6/6/21 1:25:00 PM,C,38
6/6/21 1:55:00 PM,C,35.5
6/6/21 2:25:00 PM,C,37
6/6/21 2:55:00 PM,C,34.5
6/6/21 3:25:00 PM,C,33.5
6/6/21 3:55:00 PM,C,33.5
6/6/21 4:25:00 PM,C,32
6/6/21 4:55:00 PM,C,30.5
6/6/21 5:25:00 PM,C,29.5
6/6/21 5:55:00 PM,C,29
6/6/21 6:25:00 PM,C,28
6/6/21 6:55:00 PM,C,27.5
6/6/21 7:25:00 PM,C,27
6/6/21 7:55:00 PM,C,27
6/6/21 8:25:00 PM,C,27
6/6/21 8:55:00 PM,C,27
6/6/21 9:25:00 PM,C,26.5
6/6/21 9:55:00 PM,C,26.5
6/6/21 10:25:00 PM,C,26.5
6/6/21 10:55:00 PM,C,24.5
6/6/21 11:25:00 PM,C,25
6/6/21 11:55:00 PM,C,24
6/7/21 12:25:00 AM,C,24
6/7/21 12:55:00 AM,C,24.5
6/7/21 1:25:00 AM,C,24
6/7/21 1:55:00 AM,C,24
6/7/21 2:25:00 AM,C,24
6/7/21 2:55:00 AM,C,24.5
6/7/21 3:25:00 AM,C,24.5
6/7/21 3:55:00 AM,C,25
6/7/21 4:25:00 AM,C,25
6/7/21 4:55:00 AM,C,25
6/7/21 5:25:00 AM,C,25
6/7/21 5:55:00 AM,C,25.5
6/7/21 6:25:00 AM,C,25.5
6/7/21 6:55:00 AM,C,25.5
6/7/21 7:25:00 AM,C,26
6/7/21 7:55:00 AM,C,25.5
6/7/21 8:25:00 AM,C,25.5
6/7/21 8:55:00 AM,C,27
6/7/21 9:25:00 AM,C,27
6/7/21 9:55:00 AM,C,26.5
6/7/21 10:25:00 AM,C,27.5
6/7/21 10:55:00 AM,C,30
6/7/21 11:25:00 AM,C,32.5
6/7/21 11:55:00 AM,C,31.5
6/7/21 12:25:00 PM,C,33.5
6/7/21 12:55:00 PM,C,32
6/7/21 1:25:00 PM,C,34
6/7/21 1:55:00 PM,C,33.5
6/7/21 2:25:00 PM,C,33
6/7/21 2:55:00 PM,C,32
6/7/21 3:25:00 PM,C,32.5
6/7/21 3:55:00 PM,C,31.5
6/7/21 4:25:00 PM,C,31
6/7/21 4:55:00 PM,C,26.5
6/7/21 5:25:00 PM,C,24
6/7/21 5:55:00 PM,C,25
6/7/21 6:25:00 PM,C,25
6/7/21 6:55:00 PM,C,23
6/7/21 7:25:00 PM,C,24
6/7/21 7:55:00 PM,C,23.5
6/7/21 8:25:00 PM,C,24
6/7/21 8:55:00 PM,C,24
6/7/21 9:25:00 PM,C,24
6/7/21 9:55:00 PM,C,24
6/7/21 10:25:00 PM,C,24
6/7/21 10:55:00 PM,C,24
6/7/21 11:25:00 PM,C,24
6/7/21 11:55:00 PM,C,24
6/8/21 12:25:00 AM,C,23.5
6/8/21 12:55:00 AM,C,24
6/8/21 1:25:00 AM,C,24
6/8/21 1:55:00 AM,C,24.5
6/8/21 2:25:00 AM,C,24.5
6/8/21 2:55:00 AM,C,23.5
6/8/21 3:25:00 AM,C,23.5
6/8/21 3:55:00 AM,C,24
6/8/21 4:25:00 AM,C,23.5
6/8/21 4:55:00 AM,C,23.5
6/8/21 5:25:00 AM,C,23.5
6/8/21 5:55:00 AM,C,24
6/8/21 6:25:00 AM,C,24.5
6/8/21 6:55:00 AM,C,24.5
6/8/21 7:25:00 AM,C,25.5
6/8/21 7:55:00 AM,C,26.5
6/8/21 8:25:00 AM,C,28
6/8/21 8:55:00 AM,C,30
6/8/21 9:25:00 AM,C,33.5
6/8/21 9:55:00 AM,C,36
6/8/21 10:25:00 AM,C,31.5
6/8/21 10:55:00 AM,C,29.5
6/8/21 11:25:00 AM,C,29.5
6/8/21 11:55:00 AM,C,32
6/8/21 12:25:00 PM,C,33.5
6/8/21 12:55:00 PM,C,33.5
6/8/21 1:25:00 PM,C,33.5
6/8/21 1:55:00 PM,C,33
6/8/21 2:25:00 PM,C,31
6/8/21 2:55:00 PM,C,31
6/8/21 3:25:00 PM,C,27
6/8/21 3:55:00 PM,C,28
6/8/21 4:25:00 PM,C,26.5
6/8/21 4:55:00 PM,C,25.5
6/8/21 5:25:00 PM,C,25.5
6/8/21 5:55:00 PM,C,26
6/8/21 6:25:00 PM,C,26
6/8/21 6:55:00 PM,C,26
6/8/21 7:25:00 PM,C,25.5
6/8/21 7:55:00 PM,C,26
6/8/21 8:25:00 PM,C,26
6/8/21 8:55:00 PM,C,25.5
6/8/21 9:25:00 PM,C,25.5
6/8/21 9:55:00 PM,C,25.5
6/8/21 10:25:00 PM,C,25.5
6/8/21 10:55:00 PM,C,25
6/8/21 11:25:00 PM,C,25.5
6/8/21 11:55:00 PM,C,25.5
6/9/21 12:25:00 AM,C,25
6/9/21 12:55:00 AM,C,25.5
6/9/21 1:25:00 AM,C,25
6/9/21 1:55:00 AM,C,25.5
6/9/21 2:25:00 AM,C,25
6/9/21 2:55:00 AM,C,25
6/9/21 3:25:00 AM,C,24.5
6/9/21 3:55:00 AM,C,24
6/9/21 4:25:00 AM,C,24.5
6/9/21 4:55:00 AM,C,24
6/9/21 5:25:00 AM,C,24
6/9/21 5:55:00 AM,C,24
6/9/21 6:25:00 AM,C,24.5
6/9/21 6:55:00 AM,C,27
6/9/21 7:25:00 AM,C,26
6/9/21 7:55:00 AM,C,27
6/9/21 8:25:00 AM,C,30.5
6/9/21 8:55:00 AM,C,34
6/9/21 9:25:00 AM,C,35.5
6/9/21 9:55:00 AM,C,38.5
6/9/21 10:25:00 AM,C,39
6/9/21 10:55:00 AM,C,44.5
6/9/21 11:25:00 AM,C,42
6/9/21 11:55:00 AM,C,42.5
6/9/21 12:25:00 PM,C,42
6/9/21 12:55:00 PM,C,40.5
6/9/21 1:25:00 PM,C,29
6/9/21 1:55:00 PM,C,26
6/9/21 2:25:00 PM,C,26
6/9/21 2:55:00 PM,C,26
6/9/21 3:25:00 PM,C,25.5
6/9/21 3:55:00 PM,C,25
6/9/21 4:25:00 PM,C,25
6/9/21 4:55:00 PM,C,23.5
6/9/21 5:25:00 PM,C,23
6/9/21 5:55:00 PM,C,23
6/9/21 6:25:00 PM,C,23.5
6/9/21 6:55:00 PM,C,23.5
6/9/21 7:25:00 PM,C,23
6/9/21 7:55:00 PM,C,23
6/9/21 8:25:00 PM,C,23.5
6/9/21 8:55:00 PM,C,23.5
6/9/21 9:25:00 PM,C,23.5
6/9/21 9:55:00 PM,C,23.5
6/9/21 10:25:00 PM,C,24
6/9/21 10:55:00 PM,C,24
6/9/21 11:25:00 PM,C,24
6/9/21 11:55:00 PM,C,24
6/10/21 12:25:00 AM,C,24
6/10/21 12:55:00 AM,C,24
6/10/21 1:25:00 AM,C,24
6/10/21 1:55:00 AM,C,24
6/10/21 2:25:00 AM,C,23.5
6/10/21 2:55:00 AM,C,24
6/10/21 3:25:00 AM,C,24
6/10/21 3:55:00 AM,C,24
6/10/21 4:25:00 AM,C,24
6/10/21 4:55:00 AM,C,24
6/10/21 5:25:00 AM,C,24
6/10/21 5:55:00 AM,C,24
6/10/21 6:25:00 AM,C,24.5
6/10/21 6:55:00 AM,C,25
6/10/21 7:25:00 AM,C,26.5
6/10/21 7:55:00 AM,C,26.5
6/10/21 8:25:00 AM,C,28
6/10/21 8:55:00 AM,C,29
6/10/21 9:25:00 AM,C,33
6/10/21 9:55:00 AM,C,32
6/10/21 10:25:00 AM,C,33
6/10/21 10:55:00 AM,C,34.5
6/10/21 11:25:00 AM,C,43
6/10/21 11:55:00 AM,C,32
6/10/21 12:25:00 PM,C,26.5
6/10/21 12:55:00 PM,C,25
6/10/21 1:25:00 PM,C,29.5
6/10/21 1:55:00 PM,C,33.5
6/10/21 2:25:00 PM,C,34.5
6/10/21 2:55:00 PM,C,31.5
6/10/21 3:25:00 PM,C,30
6/10/21 3:55:00 PM,C,30
6/10/21 4:25:00 PM,C,30.5
6/10/21 4:55:00 PM,C,29.5
6/10/21 5:25:00 PM,C,29.5
6/10/21 5:55:00 PM,C,28.5
6/10/21 6:25:00 PM,C,27
6/10/21 6:55:00 PM,C,26.5
6/10/21 7:25:00 PM,C,26
6/10/21 7:55:00 PM,C,26
6/10/21 8:25:00 PM,C,26
6/10/21 8:55:00 PM,C,26
6/10/21 9:25:00 PM,C,25.5
6/10/21 9:55:00 PM,C,26
6/10/21 10:25:00 PM,C,25.5
6/10/21 10:55:00 PM,C,25.5
6/10/21 11:25:00 PM,C,25
6/10/21 11:55:00 PM,C,25
6/11/21 12:25:00 AM,C,24.5
6/11/21 12:55:00 AM,C,25
6/11/21 1:25:00 AM,C,25.5
6/11/21 1:55:00 AM,C,25
6/11/21 2:25:00 AM,C,25
6/11/21 2:55:00 AM,C,25
6/11/21 3:25:00 AM,C,25
6/11/21 3:55:00 AM,C,25
6/11/21 4:25:00 AM,C,24.5
6/11/21 4:55:00 AM,C,25
6/11/21 5:25:00 AM,C,25
6/11/21 5:55:00 AM,C,25
6/11/21 6:25:00 AM,C,25
6/11/21 6:55:00 AM,C,26
6/11/21 7:25:00 AM,C,27
6/11/21 7:55:00 AM,C,30.5
6/11/21 8:25:00 AM,C,34
6/11/21 8:55:00 AM,C,32.5
6/11/21 9:25:00 AM,C,38
6/11/21 9:55:00 AM,C,38.5
6/11/21 10:25:00 AM,C,40.5
6/11/21 10:55:00 AM,C,43.5
6/11/21 11:25:00 AM,C,49.5
6/11/21 11:55:00 AM,C,51.5
6/11/21 12:25:00 PM,C,49
6/11/21 12:55:00 PM,C,51
6/11/21 1:25:00 PM,C,48.5
6/11/21 1:55:00 PM,C,49.5
6/11/21 2:25:00 PM,C,44
6/11/21 2:55:00 PM,C,39.5
6/11/21 3:25:00 PM,C,38
6/11/21 3:55:00 PM,C,35
6/11/21 4:25:00 PM,C,35.5
6/11/21 4:55:00 PM,C,33
6/11/21 5:25:00 PM,C,29.5
6/11/21 5:55:00 PM,C,31
6/11/21 6:25:00 PM,C,29.5
6/11/21 6:55:00 PM,C,28.5
6/11/21 7:25:00 PM,C,26
6/11/21 7:55:00 PM,C,27.5
6/11/21 8:25:00 PM,C,27.5
6/11/21 8:55:00 PM,C,27
6/11/21 9:25:00 PM,C,27
6/11/21 9:55:00 PM,C,27
6/11/21 10:25:00 PM,C,26.5
6/11/21 10:55:00 PM,C,26.5
6/11/21 11:25:00 PM,C,26.5
6/11/21 11:55:00 PM,C,26
6/12/21 12:25:00 AM,C,26
6/12/21 12:55:00 AM,C,26
6/12/21 1:25:00 AM,C,25.5
6/12/21 1:55:00 AM,C,25
6/12/21 2:25:00 AM,C,25
6/12/21 2:55:00 AM,C,24.5
6/12/21 3:25:00 AM,C,24.5
6/12/21 3:55:00 AM,C,24
6/12/21 4:25:00 AM,C,24
6/12/21 4:55:00 AM,C,23.5
6/12/21 5:25:00 AM,C,23.5
6/12/21 5:55:00 AM,C,23.5
6/12/21 6:25:00 AM,C,24.5
6/12/21 6:55:00 AM,C,26
6/12/21 7:25:00 AM,C,29
6/12/21 7:55:00 AM,C,31
6/12/21 8:25:00 AM,C,32.5
6/12/21 8:55:00 AM,C,36.5
6/12/21 9:25:00 AM,C,39.5
6/12/21 9:55:00 AM,C,41
6/12/21 10:25:00 AM,C,44.5
6/12/21 10:55:00 AM,C,46.5
6/12/21 11:25:00 AM,C,49.5
6/12/21 11:55:00 AM,C,52
6/12/21 12:25:00 PM,C,53.5
6/12/21 12:55:00 PM,C,51.5
6/12/21 1:25:00 PM,C,50.5
6/12/21 1:55:00 PM,C,52.5
6/12/21 2:25:00 PM,C,49.5
6/12/21 2:55:00 PM,C,41.5
6/12/21 3:25:00 PM,C,40
6/12/21 3:55:00 PM,C,42.5
6/12/21 4:25:00 PM,C,40.5
6/12/21 4:55:00 PM,C,39
6/12/21 5:25:00 PM,C,35.5
6/12/21 5:55:00 PM,C,32
6/12/21 6:25:00 PM,C,31
6/12/21 6:55:00 PM,C,30
6/12/21 7:25:00 PM,C,29.5
6/12/21 7:55:00 PM,C,29
6/12/21 8:25:00 PM,C,28.5
6/12/21 8:55:00 PM,C,28
6/12/21 9:25:00 PM,C,27.5
6/12/21 9:55:00 PM,C,27.5
6/12/21 10:25:00 PM,C,27
6/12/21 10:55:00 PM,C,27
6/12/21 11:25:00 PM,C,27
6/12/21 11:55:00 PM,C,27
6/13/21 12:25:00 AM,C,26.5
6/13/21 12:55:00 AM,C,26.5
6/13/21 1:25:00 AM,C,26.5
6/13/21 1:55:00 AM,C,26.5
6/13/21 2:25:00 AM,C,25.5
6/13/21 2:55:00 AM,C,26.5
6/13/21 3:25:00 AM,C,26.5
6/13/21 3:55:00 AM,C,26
6/13/21 4:25:00 AM,C,25.5
6/13/21 4:55:00 AM,C,25.5
6/13/21 5:25:00 AM,C,25.5
6/13/21 5:55:00 AM,C,25.5
6/13/21 6:25:00 AM,C,26
6/13/21 6:55:00 AM,C,29
6/13/21 7:25:00 AM,C,32
6/13/21 7:55:00 AM,C,34.5
6/13/21 8:25:00 AM,C,38
6/13/21 8:55:00 AM,C,38.5
6/13/21 9:25:00 AM,C,42.5
6/13/21 9:55:00 AM,C,44
6/13/21 10:25:00 AM,C,40.5
6/13/21 10:55:00 AM,C,47.5
6/13/21 11:25:00 AM,C,50
6/13/21 11:55:00 AM,C,49.5
6/13/21 12:25:00 PM,C,44.5
6/13/21 12:55:00 PM,C,50
6/13/21 1:25:00 PM,C,46.5
6/13/21 1:55:00 PM,C,43.5
6/13/21 2:25:00 PM,C,49
6/13/21 2:55:00 PM,C,40.5
6/13/21 3:25:00 PM,C,46.5
6/13/21 3:55:00 PM,C,44
6/13/21 4:25:00 PM,C,41
6/13/21 4:55:00 PM,C,38.5
6/13/21 5:25:00 PM,C,35
6/13/21 5:55:00 PM,C,33
6/13/21 6:25:00 PM,C,31
6/13/21 6:55:00 PM,C,30
6/13/21 7:25:00 PM,C,29.5
6/13/21 7:55:00 PM,C,29
6/13/21 8:25:00 PM,C,28.5
6/13/21 8:55:00 PM,C,28.5
6/13/21 9:25:00 PM,C,28
6/13/21 9:55:00 PM,C,28
6/13/21 10:25:00 PM,C,28
6/13/21 10:55:00 PM,C,26.5
6/13/21 11:25:00 PM,C,27
6/13/21 11:55:00 PM,C,27
6/14/21 12:25:00 AM,C,27
6/14/21 12:55:00 AM,C,27
6/14/21 1:25:00 AM,C,26.5
6/14/21 1:55:00 AM,C,26.5
6/14/21 2:25:00 AM,C,26.5
6/14/21 2:55:00 AM,C,26.5
6/14/21 3:25:00 AM,C,26
6/14/21 3:55:00 AM,C,26
6/14/21 4:25:00 AM,C,26
6/14/21 4:55:00 AM,C,25.5
6/14/21 5:25:00 AM,C,25.5
6/14/21 5:55:00 AM,C,25.5
6/14/21 6:25:00 AM,C,26
6/14/21 6:55:00 AM,C,28
6/14/21 7:25:00 AM,C,31.5
6/14/21 7:55:00 AM,C,31.5
6/14/21 8:25:00 AM,C,36
6/14/21 8:55:00 AM,C,36
6/14/21 9:25:00 AM,C,39
6/14/21 9:55:00 AM,C,29
6/14/21 10:25:00 AM,C,40
6/14/21 10:55:00 AM,C,32.5
6/14/21 11:25:00 AM,C,41.5
6/14/21 11:55:00 AM,C,47
6/14/21 12:25:00 PM,C,50
6/14/21 12:55:00 PM,C,49.5
6/14/21 1:25:00 PM,C,46.5
6/14/21 1:55:00 PM,C,46.5
6/14/21 2:25:00 PM,C,45
6/14/21 2:55:00 PM,C,40
6/14/21 3:25:00 PM,C,41
6/14/21 3:55:00 PM,C,36.5
6/14/21 4:25:00 PM,C,37.5
6/14/21 4:55:00 PM,C,34
6/14/21 5:25:00 PM,C,33
6/14/21 5:55:00 PM,C,31.5
6/14/21 6:25:00 PM,C,30
6/14/21 6:55:00 PM,C,29.5
6/14/21 7:25:00 PM,C,29
6/14/21 7:55:00 PM,C,28.5
6/14/21 8:25:00 PM,C,28
6/14/21 8:55:00 PM,C,28
6/14/21 9:25:00 PM,C,27.5
6/14/21 9:55:00 PM,C,27.5
6/14/21 10:25:00 PM,C,27.5
6/14/21 10:55:00 PM,C,27.5
6/14/21 11:25:00 PM,C,27
6/14/21 11:55:00 PM,C,27.5
6/15/21 12:25:00 AM,C,27
6/15/21 12:55:00 AM,C,27
6/15/21 1:25:00 AM,C,27
6/15/21 1:55:00 AM,C,27
6/15/21 2:25:00 AM,C,27
6/15/21 2:55:00 AM,C,26.5
6/15/21 3:25:00 AM,C,26.5
6/15/21 3:55:00 AM,C,27
6/15/21 4:25:00 AM,C,26.5
6/15/21 4:55:00 AM,C,27
6/15/21 5:25:00 AM,C,27
6/15/21 5:55:00 AM,C,26.5
6/15/21 6:25:00 AM,C,27.5
6/15/21 6:55:00 AM,C,28
6/15/21 7:25:00 AM,C,30.5
6/15/21 7:55:00 AM,C,30
6/15/21 8:25:00 AM,C,29
6/15/21 8:55:00 AM,C,33.5
6/15/21 9:25:00 AM,C,34.5
6/15/21 9:55:00 AM,C,39
6/15/21 10:25:00 AM,C,37
6/15/21 10:55:00 AM,C,39.5
6/15/21 11:25:00 AM,C,42
6/15/21 11:55:00 AM,C,43.5
6/15/21 12:25:00 PM,C,44.5
6/15/21 12:55:00 PM,C,44.5
6/15/21 1:25:00 PM,C,46
6/15/21 1:55:00 PM,C,46
6/15/21 2:25:00 PM,C,40
