1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Mon Jun 25 22:59:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1683
Total Samples:  10181
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/25/00 10:59:00 PM,C,29
6/25/00 11:29:00 PM,C,27.5
6/25/00 11:59:00 PM,C,29.5
6/26/00 12:29:00 AM,C,30
6/26/00 12:59:00 AM,C,33
6/26/00 1:29:00 AM,C,35
6/26/00 1:59:00 AM,C,34.5
6/26/00 2:29:00 AM,C,35
6/26/00 2:59:00 AM,C,36
6/26/00 3:29:00 AM,C,38
6/26/00 3:59:00 AM,C,40.5
6/26/00 4:29:00 AM,C,40.5
6/26/00 4:59:00 AM,C,39
6/26/00 5:29:00 AM,C,34.5
6/26/00 5:59:00 AM,C,39.5
6/26/00 6:29:00 AM,C,38.5
6/26/00 6:59:00 AM,C,38
6/26/00 7:29:00 AM,C,32.5
6/26/00 7:59:00 AM,C,31
6/26/00 8:29:00 AM,C,28.5
6/26/00 8:59:00 AM,C,28
6/26/00 9:29:00 AM,C,27
6/26/00 9:59:00 AM,C,26.5
6/26/00 10:29:00 AM,C,26.5
6/26/00 10:59:00 AM,C,26
6/26/00 11:29:00 AM,C,26
6/26/00 11:59:00 AM,C,26
6/26/00 12:29:00 PM,C,26
6/26/00 12:59:00 PM,C,25.5
6/26/00 1:29:00 PM,C,25.5
6/26/00 1:59:00 PM,C,24.5
6/26/00 2:29:00 PM,C,25.5
6/26/00 2:59:00 PM,C,25.5
6/26/00 3:29:00 PM,C,25.5
6/26/00 3:59:00 PM,C,25
6/26/00 4:29:00 PM,C,25.5
6/26/00 4:59:00 PM,C,25
6/26/00 5:29:00 PM,C,24.5
6/26/00 5:59:00 PM,C,23.5
6/26/00 6:29:00 PM,C,24
6/26/00 6:59:00 PM,C,24.5
6/26/00 7:29:00 PM,C,25
6/26/00 7:59:00 PM,C,25
6/26/00 8:29:00 PM,C,25
6/26/00 8:59:00 PM,C,26
6/26/00 9:29:00 PM,C,26.5
6/26/00 9:59:00 PM,C,27.5
6/26/00 10:29:00 PM,C,26
6/26/00 10:59:00 PM,C,27.5
6/26/00 11:29:00 PM,C,28
6/26/00 11:59:00 PM,C,30.5
6/27/00 12:29:00 AM,C,31.5
6/27/00 12:59:00 AM,C,34.5
6/27/00 1:29:00 AM,C,32.5
6/27/00 1:59:00 AM,C,35.5
6/27/00 2:29:00 AM,C,38
6/27/00 2:59:00 AM,C,38.5
6/27/00 3:29:00 AM,C,40.5
6/27/00 3:59:00 AM,C,38
6/27/00 4:29:00 AM,C,40
6/27/00 4:59:00 AM,C,35.5
6/27/00 5:29:00 AM,C,38
6/27/00 5:59:00 AM,C,29.5
6/27/00 6:29:00 AM,C,28
6/27/00 6:59:00 AM,C,32
6/27/00 7:29:00 AM,C,30.5
6/27/00 7:59:00 AM,C,29.5
6/27/00 8:29:00 AM,C,25
6/27/00 8:59:00 AM,C,26.5
6/27/00 9:29:00 AM,C,26
6/27/00 9:59:00 AM,C,25.5
6/27/00 10:29:00 AM,C,25.5
6/27/00 10:59:00 AM,C,25.5
6/27/00 11:29:00 AM,C,26
6/27/00 11:59:00 AM,C,25.5
6/27/00 12:29:00 PM,C,25.5
6/27/00 12:59:00 PM,C,26
6/27/00 1:29:00 PM,C,24
6/27/00 1:59:00 PM,C,25
6/27/00 2:29:00 PM,C,24.5
6/27/00 2:59:00 PM,C,25
6/27/00 3:29:00 PM,C,25
6/27/00 3:59:00 PM,C,25
6/27/00 4:29:00 PM,C,25
6/27/00 4:59:00 PM,C,25
6/27/00 5:29:00 PM,C,25
6/27/00 5:59:00 PM,C,25.5
6/27/00 6:29:00 PM,C,25
6/27/00 6:59:00 PM,C,25
6/27/00 7:29:00 PM,C,25
6/27/00 7:59:00 PM,C,24.5
6/27/00 8:29:00 PM,C,25
6/27/00 8:59:00 PM,C,25
6/27/00 9:29:00 PM,C,25.5
6/27/00 9:59:00 PM,C,26.5
6/27/00 10:29:00 PM,C,27.5
6/27/00 10:59:00 PM,C,29.5
6/27/00 11:29:00 PM,C,30
6/27/00 11:59:00 PM,C,32
6/28/00 12:29:00 AM,C,34
6/28/00 12:59:00 AM,C,35.5
6/28/00 1:29:00 AM,C,34.5
6/28/00 1:59:00 AM,C,35
6/28/00 2:29:00 AM,C,37.5
6/28/00 2:59:00 AM,C,38
6/28/00 3:29:00 AM,C,39.5
6/28/00 3:59:00 AM,C,40.5
6/28/00 4:29:00 AM,C,35
6/28/00 4:59:00 AM,C,36.5
6/28/00 5:29:00 AM,C,34.5
6/28/00 5:59:00 AM,C,34.5
6/28/00 6:29:00 AM,C,33.5
6/28/00 6:59:00 AM,C,32.5
6/28/00 7:29:00 AM,C,31
6/28/00 7:59:00 AM,C,29.5
6/28/00 8:29:00 AM,C,29
6/28/00 8:59:00 AM,C,28
6/28/00 9:29:00 AM,C,27
6/28/00 9:59:00 AM,C,26.5
6/28/00 10:29:00 AM,C,26.5
6/28/00 10:59:00 AM,C,26
6/28/00 11:29:00 AM,C,26
6/28/00 11:59:00 AM,C,26
6/28/00 12:29:00 PM,C,26
6/28/00 12:59:00 PM,C,26
6/28/00 1:29:00 PM,C,26
6/28/00 1:59:00 PM,C,24.5
6/28/00 2:29:00 PM,C,25
6/28/00 2:59:00 PM,C,25
6/28/00 3:29:00 PM,C,25.5
6/28/00 3:59:00 PM,C,24
6/28/00 4:29:00 PM,C,24.5
6/28/00 4:59:00 PM,C,24.5
6/28/00 5:29:00 PM,C,24.5
6/28/00 5:59:00 PM,C,25
6/28/00 6:29:00 PM,C,25
6/28/00 6:59:00 PM,C,25
6/28/00 7:29:00 PM,C,25
6/28/00 7:59:00 PM,C,25
6/28/00 8:29:00 PM,C,25.5
6/28/00 8:59:00 PM,C,25.5
6/28/00 9:29:00 PM,C,25
6/28/00 9:59:00 PM,C,26.5
6/28/00 10:29:00 PM,C,25
6/28/00 10:59:00 PM,C,27.5
6/28/00 11:29:00 PM,C,26
6/28/00 11:59:00 PM,C,29.5
6/29/00 12:29:00 AM,C,33
6/29/00 12:59:00 AM,C,26.5
6/29/00 1:29:00 AM,C,33.5
6/29/00 1:59:00 AM,C,34.5
6/29/00 2:29:00 AM,C,33.5
6/29/00 2:59:00 AM,C,36.5
6/29/00 3:29:00 AM,C,33.5
6/29/00 3:59:00 AM,C,38
6/29/00 4:29:00 AM,C,38
6/29/00 4:59:00 AM,C,36
6/29/00 5:29:00 AM,C,36.5
6/29/00 5:59:00 AM,C,35.5
6/29/00 6:29:00 AM,C,34
6/29/00 6:59:00 AM,C,34
6/29/00 7:29:00 AM,C,25.5
6/29/00 7:59:00 AM,C,23.5
6/29/00 8:29:00 AM,C,25
6/29/00 8:59:00 AM,C,25
6/29/00 9:29:00 AM,C,23
6/29/00 9:59:00 AM,C,23.5
6/29/00 10:29:00 AM,C,23.5
6/29/00 10:59:00 AM,C,23
6/29/00 11:29:00 AM,C,23.5
6/29/00 11:59:00 AM,C,23.5
6/29/00 12:29:00 PM,C,23.5
6/29/00 12:59:00 PM,C,23.5
6/29/00 1:29:00 PM,C,23.5
6/29/00 1:59:00 PM,C,23.5
6/29/00 2:29:00 PM,C,24
6/29/00 2:59:00 PM,C,23.5
6/29/00 3:29:00 PM,C,23.5
6/29/00 3:59:00 PM,C,24
6/29/00 4:29:00 PM,C,24.5
6/29/00 4:59:00 PM,C,24.5
6/29/00 5:29:00 PM,C,24.5
6/29/00 5:59:00 PM,C,23.5
6/29/00 6:29:00 PM,C,24
6/29/00 6:59:00 PM,C,24
6/29/00 7:29:00 PM,C,23.5
6/29/00 7:59:00 PM,C,23
6/29/00 8:29:00 PM,C,24
6/29/00 8:59:00 PM,C,25
6/29/00 9:29:00 PM,C,24.5
6/29/00 9:59:00 PM,C,25.5
6/29/00 10:29:00 PM,C,27.5
6/29/00 10:59:00 PM,C,28
6/29/00 11:29:00 PM,C,29
6/29/00 11:59:00 PM,C,30.5
6/30/00 12:29:00 AM,C,33
6/30/00 12:59:00 AM,C,31.5
6/30/00 1:29:00 AM,C,28.5
6/30/00 1:59:00 AM,C,28
6/30/00 2:29:00 AM,C,29.5
6/30/00 2:59:00 AM,C,32
6/30/00 3:29:00 AM,C,33
6/30/00 3:59:00 AM,C,32.5
6/30/00 4:29:00 AM,C,32
6/30/00 4:59:00 AM,C,30.5
6/30/00 5:29:00 AM,C,29.5
6/30/00 5:59:00 AM,C,28.5
6/30/00 6:29:00 AM,C,27
6/30/00 6:59:00 AM,C,27
6/30/00 7:29:00 AM,C,26
6/30/00 7:59:00 AM,C,25
6/30/00 8:29:00 AM,C,25.5
6/30/00 8:59:00 AM,C,25.5
6/30/00 9:29:00 AM,C,25.5
6/30/00 9:59:00 AM,C,25
6/30/00 10:29:00 AM,C,25
6/30/00 10:59:00 AM,C,25
6/30/00 11:29:00 AM,C,25
6/30/00 11:59:00 AM,C,25
6/30/00 12:29:00 PM,C,25
6/30/00 12:59:00 PM,C,24.5
6/30/00 1:29:00 PM,C,24.5
6/30/00 1:59:00 PM,C,24
6/30/00 2:29:00 PM,C,24.5
6/30/00 2:59:00 PM,C,24.5
6/30/00 3:29:00 PM,C,24.5
6/30/00 3:59:00 PM,C,24.5
6/30/00 4:29:00 PM,C,24.5
6/30/00 4:59:00 PM,C,24.5
6/30/00 5:29:00 PM,C,24.5
6/30/00 5:59:00 PM,C,24
6/30/00 6:29:00 PM,C,23.5
6/30/00 6:59:00 PM,C,24
6/30/00 7:29:00 PM,C,23.5
6/30/00 7:59:00 PM,C,24
6/30/00 8:29:00 PM,C,23.5
6/30/00 8:59:00 PM,C,24.5
6/30/00 9:29:00 PM,C,25.5
6/30/00 9:59:00 PM,C,26
6/30/00 10:29:00 PM,C,27
6/30/00 10:59:00 PM,C,28
6/30/00 11:29:00 PM,C,30.5
6/30/00 11:59:00 PM,C,33.5
7/1/00 12:29:00 AM,C,35.5
7/1/00 12:59:00 AM,C,37.5
7/1/00 1:29:00 AM,C,39
7/1/00 1:59:00 AM,C,41.5
7/1/00 2:29:00 AM,C,42
7/1/00 2:59:00 AM,C,42
7/1/00 3:29:00 AM,C,43.5
7/1/00 3:59:00 AM,C,28.5
7/1/00 4:29:00 AM,C,25.5
7/1/00 4:59:00 AM,C,26
7/1/00 5:29:00 AM,C,25.5
7/1/00 5:59:00 AM,C,25
7/1/00 6:29:00 AM,C,25
7/1/00 6:59:00 AM,C,25
7/1/00 7:29:00 AM,C,24
7/1/00 7:59:00 AM,C,23
7/1/00 8:29:00 AM,C,22.5
7/1/00 8:59:00 AM,C,23
7/1/00 9:29:00 AM,C,23
7/1/00 9:59:00 AM,C,22.5
7/1/00 10:29:00 AM,C,22.5
7/1/00 10:59:00 AM,C,23
7/1/00 11:29:00 AM,C,23
7/1/00 11:59:00 AM,C,23.5
7/1/00 12:29:00 PM,C,23.5
7/1/00 12:59:00 PM,C,23.5
7/1/00 1:29:00 PM,C,23.5
7/1/00 1:59:00 PM,C,24
7/1/00 2:29:00 PM,C,24
7/1/00 2:59:00 PM,C,23.5
7/1/00 3:29:00 PM,C,23.5
7/1/00 3:59:00 PM,C,23.5
7/1/00 4:29:00 PM,C,24
7/1/00 4:59:00 PM,C,23.5
7/1/00 5:29:00 PM,C,23.5
7/1/00 5:59:00 PM,C,23.5
7/1/00 6:29:00 PM,C,24
7/1/00 6:59:00 PM,C,24
7/1/00 7:29:00 PM,C,23.5
7/1/00 7:59:00 PM,C,23.5
7/1/00 8:29:00 PM,C,23.5
7/1/00 8:59:00 PM,C,24.5
7/1/00 9:29:00 PM,C,24.5
7/1/00 9:59:00 PM,C,25.5
7/1/00 10:29:00 PM,C,27.5
7/1/00 10:59:00 PM,C,28
7/1/00 11:29:00 PM,C,29
7/1/00 11:59:00 PM,C,31
7/2/00 12:29:00 AM,C,31.5
7/2/00 12:59:00 AM,C,30
7/2/00 1:29:00 AM,C,33.5
7/2/00 1:59:00 AM,C,40.5
7/2/00 2:29:00 AM,C,29
7/2/00 2:59:00 AM,C,27
7/2/00 3:29:00 AM,C,25.5
7/2/00 3:59:00 AM,C,29.5
7/2/00 4:29:00 AM,C,36.5
7/2/00 4:59:00 AM,C,40.5
7/2/00 5:29:00 AM,C,34.5
7/2/00 5:59:00 AM,C,31.5
7/2/00 6:29:00 AM,C,29
7/2/00 6:59:00 AM,C,31
7/2/00 7:29:00 AM,C,30.5
7/2/00 7:59:00 AM,C,31.5
7/2/00 8:29:00 AM,C,30
7/2/00 8:59:00 AM,C,27.5
7/2/00 9:29:00 AM,C,26
7/2/00 9:59:00 AM,C,25
7/2/00 10:29:00 AM,C,24.5
7/2/00 10:59:00 AM,C,25
7/2/00 11:29:00 AM,C,25
7/2/00 11:59:00 AM,C,25
7/2/00 12:29:00 PM,C,25
7/2/00 12:59:00 PM,C,24.5
7/2/00 1:29:00 PM,C,24.5
7/2/00 1:59:00 PM,C,24.5
7/2/00 2:29:00 PM,C,24
7/2/00 2:59:00 PM,C,24.5
7/2/00 3:29:00 PM,C,24.5
7/2/00 3:59:00 PM,C,24.5
7/2/00 4:29:00 PM,C,24
7/2/00 4:59:00 PM,C,24
7/2/00 5:29:00 PM,C,24
7/2/00 5:59:00 PM,C,24.5
7/2/00 6:29:00 PM,C,24
7/2/00 6:59:00 PM,C,24
7/2/00 7:29:00 PM,C,24
7/2/00 7:59:00 PM,C,24
7/2/00 8:29:00 PM,C,24
7/2/00 8:59:00 PM,C,24.5
7/2/00 9:29:00 PM,C,25.5
7/2/00 9:59:00 PM,C,27
7/2/00 10:29:00 PM,C,29
7/2/00 10:59:00 PM,C,31
7/2/00 11:29:00 PM,C,32
7/2/00 11:59:00 PM,C,34.5
7/3/00 12:29:00 AM,C,34
7/3/00 12:59:00 AM,C,38
7/3/00 1:29:00 AM,C,43.5
7/3/00 1:59:00 AM,C,45.5
7/3/00 2:29:00 AM,C,47.5
7/3/00 2:59:00 AM,C,49
7/3/00 3:29:00 AM,C,44
7/3/00 3:59:00 AM,C,47.5
7/3/00 4:29:00 AM,C,45
7/3/00 4:59:00 AM,C,42.5
7/3/00 5:29:00 AM,C,37
7/3/00 5:59:00 AM,C,35
7/3/00 6:29:00 AM,C,38
7/3/00 6:59:00 AM,C,42
7/3/00 7:29:00 AM,C,33.5
7/3/00 7:59:00 AM,C,31
7/3/00 8:29:00 AM,C,29.5
7/3/00 8:59:00 AM,C,28.5
7/3/00 9:29:00 AM,C,27.5
7/3/00 9:59:00 AM,C,27
7/3/00 10:29:00 AM,C,26.5
7/3/00 10:59:00 AM,C,26
7/3/00 11:29:00 AM,C,26
7/3/00 11:59:00 AM,C,26
7/3/00 12:29:00 PM,C,26
7/3/00 12:59:00 PM,C,25.5
7/3/00 1:29:00 PM,C,25.5
7/3/00 1:59:00 PM,C,25.5
7/3/00 2:29:00 PM,C,25.5
7/3/00 2:59:00 PM,C,25.5
7/3/00 3:29:00 PM,C,25
7/3/00 3:59:00 PM,C,24.5
7/3/00 4:29:00 PM,C,24.5
7/3/00 4:59:00 PM,C,24
7/3/00 5:29:00 PM,C,23.5
7/3/00 5:59:00 PM,C,23
7/3/00 6:29:00 PM,C,23
7/3/00 6:59:00 PM,C,23
7/3/00 7:29:00 PM,C,22.5
7/3/00 7:59:00 PM,C,22.5
7/3/00 8:29:00 PM,C,22.5
7/3/00 8:59:00 PM,C,23
7/3/00 9:29:00 PM,C,24
7/3/00 9:59:00 PM,C,25.5
7/3/00 10:29:00 PM,C,27.5
7/3/00 10:59:00 PM,C,29.5
7/3/00 11:29:00 PM,C,31
7/3/00 11:59:00 PM,C,34.5
7/4/00 12:29:00 AM,C,38
7/4/00 12:59:00 AM,C,41
7/4/00 1:29:00 AM,C,42.5
7/4/00 1:59:00 AM,C,45
7/4/00 2:29:00 AM,C,47.5
7/4/00 2:59:00 AM,C,47.5
7/4/00 3:29:00 AM,C,52
7/4/00 3:59:00 AM,C,54
7/4/00 4:29:00 AM,C,57
7/4/00 4:59:00 AM,C,55.5
7/4/00 5:29:00 AM,C,56.5
7/4/00 5:59:00 AM,C,45
