1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F200000041302C21
Is Mission Active?  true
Mission Start:  Sun Jul 19 09:18:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1827
Total Samples:  24480
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/19/20 7:18:00 PM,C,31.5
8/19/20 7:48:00 PM,C,31
8/19/20 8:18:00 PM,C,30.5
8/19/20 8:48:00 PM,C,30.5
8/19/20 9:18:00 PM,C,30
8/19/20 9:48:00 PM,C,29.5
8/19/20 10:18:00 PM,C,30
8/19/20 10:48:00 PM,C,29.5
8/19/20 11:18:00 PM,C,29.5
8/19/20 11:48:00 PM,C,29
8/20/20 12:18:00 AM,C,29
8/20/20 12:48:00 AM,C,29
8/20/20 1:18:00 AM,C,29
8/20/20 1:48:00 AM,C,29
8/20/20 2:18:00 AM,C,28.5
8/20/20 2:48:00 AM,C,28.5
8/20/20 3:18:00 AM,C,28.5
8/20/20 3:48:00 AM,C,28.5
8/20/20 4:18:00 AM,C,28.5
8/20/20 4:48:00 AM,C,28.5
8/20/20 5:18:00 AM,C,28.5
8/20/20 5:48:00 AM,C,28.5
8/20/20 6:18:00 AM,C,28
8/20/20 6:48:00 AM,C,28.5
8/20/20 7:18:00 AM,C,29
8/20/20 7:48:00 AM,C,30
8/20/20 8:18:00 AM,C,32
8/20/20 8:48:00 AM,C,31
8/20/20 9:18:00 AM,C,31
8/20/20 9:48:00 AM,C,31.5
8/20/20 10:18:00 AM,C,32
8/20/20 10:48:00 AM,C,33
8/20/20 11:18:00 AM,C,33.5
8/20/20 11:48:00 AM,C,34.5
8/20/20 12:18:00 PM,C,34.5
8/20/20 12:48:00 PM,C,35
8/20/20 1:18:00 PM,C,35
8/20/20 1:48:00 PM,C,35.5
8/20/20 2:18:00 PM,C,35.5
8/20/20 2:48:00 PM,C,36
8/20/20 3:18:00 PM,C,36
8/20/20 3:48:00 PM,C,34
8/20/20 4:18:00 PM,C,35.5
8/20/20 4:48:00 PM,C,33
8/20/20 5:18:00 PM,C,32.5
8/20/20 5:48:00 PM,C,31
8/20/20 6:18:00 PM,C,30.5
8/20/20 6:48:00 PM,C,30
8/20/20 7:18:00 PM,C,29.5
8/20/20 7:48:00 PM,C,29.5
8/20/20 8:18:00 PM,C,29
8/20/20 8:48:00 PM,C,29.5
8/20/20 9:18:00 PM,C,29
8/20/20 9:48:00 PM,C,28.5
8/20/20 10:18:00 PM,C,28.5
8/20/20 10:48:00 PM,C,28.5
8/20/20 11:18:00 PM,C,28
8/20/20 11:48:00 PM,C,28
8/21/20 12:18:00 AM,C,28
8/21/20 12:48:00 AM,C,28
8/21/20 1:18:00 AM,C,27
8/21/20 1:48:00 AM,C,27.5
8/21/20 2:18:00 AM,C,27.5
8/21/20 2:48:00 AM,C,27.5
8/21/20 3:18:00 AM,C,27.5
8/21/20 3:48:00 AM,C,27.5
8/21/20 4:18:00 AM,C,27.5
8/21/20 4:48:00 AM,C,27.5
8/21/20 5:18:00 AM,C,27.5
8/21/20 5:48:00 AM,C,27.5
8/21/20 6:18:00 AM,C,27.5
8/21/20 6:48:00 AM,C,28
8/21/20 7:18:00 AM,C,29
8/21/20 7:48:00 AM,C,29
8/21/20 8:18:00 AM,C,31.5
8/21/20 8:48:00 AM,C,31
8/21/20 9:18:00 AM,C,31.5
8/21/20 9:48:00 AM,C,32
8/21/20 10:18:00 AM,C,32
8/21/20 10:48:00 AM,C,33
8/21/20 11:18:00 AM,C,33
8/21/20 11:48:00 AM,C,33.5
8/21/20 12:18:00 PM,C,33.5
8/21/20 12:48:00 PM,C,35
8/21/20 1:18:00 PM,C,34.5
8/21/20 1:48:00 PM,C,35
8/21/20 2:18:00 PM,C,35
8/21/20 2:48:00 PM,C,35.5
8/21/20 3:18:00 PM,C,35.5
8/21/20 3:48:00 PM,C,36.5
8/21/20 4:18:00 PM,C,34
8/21/20 4:48:00 PM,C,30
8/21/20 5:18:00 PM,C,31.5
8/21/20 5:48:00 PM,C,29
8/21/20 6:18:00 PM,C,30
8/21/20 6:48:00 PM,C,29.5
8/21/20 7:18:00 PM,C,29.5
8/21/20 7:48:00 PM,C,29
8/21/20 8:18:00 PM,C,28.5
8/21/20 8:48:00 PM,C,28.5
8/21/20 9:18:00 PM,C,27
8/21/20 9:48:00 PM,C,28
8/21/20 10:18:00 PM,C,28
8/21/20 10:48:00 PM,C,28
8/21/20 11:18:00 PM,C,27
8/21/20 11:48:00 PM,C,27
8/22/20 12:18:00 AM,C,27
8/22/20 12:48:00 AM,C,27
8/22/20 1:18:00 AM,C,27.5
8/22/20 1:48:00 AM,C,26
8/22/20 2:18:00 AM,C,26
8/22/20 2:48:00 AM,C,26
8/22/20 3:18:00 AM,C,26
8/22/20 3:48:00 AM,C,26
8/22/20 4:18:00 AM,C,26
8/22/20 4:48:00 AM,C,26
8/22/20 5:18:00 AM,C,26
8/22/20 5:48:00 AM,C,26.5
8/22/20 6:18:00 AM,C,25.5
8/22/20 6:48:00 AM,C,25.5
8/22/20 7:18:00 AM,C,25.5
8/22/20 7:48:00 AM,C,25
8/22/20 8:18:00 AM,C,25.5
8/22/20 8:48:00 AM,C,25
8/22/20 9:18:00 AM,C,25
8/22/20 9:48:00 AM,C,25
8/22/20 10:18:00 AM,C,25.5
8/22/20 10:48:00 AM,C,26
8/22/20 11:18:00 AM,C,25.5
8/22/20 11:48:00 AM,C,25.5
8/22/20 12:18:00 PM,C,25
8/22/20 12:48:00 PM,C,25
8/22/20 1:18:00 PM,C,24.5
8/22/20 1:48:00 PM,C,25
8/22/20 2:18:00 PM,C,25
8/22/20 2:48:00 PM,C,25
8/22/20 3:18:00 PM,C,24.5
8/22/20 3:48:00 PM,C,24.5
8/22/20 4:18:00 PM,C,25
8/22/20 4:48:00 PM,C,25
8/22/20 5:18:00 PM,C,25
8/22/20 5:48:00 PM,C,25.5
8/22/20 6:18:00 PM,C,25
8/22/20 6:48:00 PM,C,26
8/22/20 7:18:00 PM,C,25.5
8/22/20 7:48:00 PM,C,25.5
8/22/20 8:18:00 PM,C,26
8/22/20 8:48:00 PM,C,26.5
8/22/20 9:18:00 PM,C,26.5
8/22/20 9:48:00 PM,C,26.5
8/22/20 10:18:00 PM,C,26.5
8/22/20 10:48:00 PM,C,26.5
8/22/20 11:18:00 PM,C,26.5
8/22/20 11:48:00 PM,C,26.5
8/23/20 12:18:00 AM,C,26.5
8/23/20 12:48:00 AM,C,27
8/23/20 1:18:00 AM,C,27
8/23/20 1:48:00 AM,C,27
8/23/20 2:18:00 AM,C,27
8/23/20 2:48:00 AM,C,27
8/23/20 3:18:00 AM,C,27
8/23/20 3:48:00 AM,C,27
8/23/20 4:18:00 AM,C,27
8/23/20 4:48:00 AM,C,27
8/23/20 5:18:00 AM,C,27
8/23/20 5:48:00 AM,C,27
8/23/20 6:18:00 AM,C,27
8/23/20 6:48:00 AM,C,27.5
8/23/20 7:18:00 AM,C,28
8/23/20 7:48:00 AM,C,29.5
8/23/20 8:18:00 AM,C,31
8/23/20 8:48:00 AM,C,31.5
8/23/20 9:18:00 AM,C,30.5
8/23/20 9:48:00 AM,C,30.5
8/23/20 10:18:00 AM,C,31
8/23/20 10:48:00 AM,C,31.5
8/23/20 11:18:00 AM,C,32
8/23/20 11:48:00 AM,C,32.5
8/23/20 12:18:00 PM,C,33
8/23/20 12:48:00 PM,C,33
8/23/20 1:18:00 PM,C,33
8/23/20 1:48:00 PM,C,33.5
8/23/20 2:18:00 PM,C,34
8/23/20 2:48:00 PM,C,34
8/23/20 3:18:00 PM,C,34
8/23/20 3:48:00 PM,C,35
8/23/20 4:18:00 PM,C,34.5
8/23/20 4:48:00 PM,C,33.5
8/23/20 5:18:00 PM,C,32
8/23/20 5:48:00 PM,C,31.5
8/23/20 6:18:00 PM,C,30.5
8/23/20 6:48:00 PM,C,30
8/23/20 7:18:00 PM,C,29.5
8/23/20 7:48:00 PM,C,29
8/23/20 8:18:00 PM,C,29
8/23/20 8:48:00 PM,C,29
8/23/20 9:18:00 PM,C,29
8/23/20 9:48:00 PM,C,28.5
8/23/20 10:18:00 PM,C,28.5
8/23/20 10:48:00 PM,C,28.5
8/23/20 11:18:00 PM,C,28
8/23/20 11:48:00 PM,C,28
8/24/20 12:18:00 AM,C,28
8/24/20 12:48:00 AM,C,28
8/24/20 1:18:00 AM,C,28
8/24/20 1:48:00 AM,C,28
8/24/20 2:18:00 AM,C,27.5
8/24/20 2:48:00 AM,C,27.5
8/24/20 3:18:00 AM,C,27.5
8/24/20 3:48:00 AM,C,27
8/24/20 4:18:00 AM,C,27
8/24/20 4:48:00 AM,C,27
8/24/20 5:18:00 AM,C,27
8/24/20 5:48:00 AM,C,24.5
8/24/20 6:18:00 AM,C,24
8/24/20 6:48:00 AM,C,25
8/24/20 7:18:00 AM,C,25.5
8/24/20 7:48:00 AM,C,27.5
8/24/20 8:18:00 AM,C,30
8/24/20 8:48:00 AM,C,28.5
8/24/20 9:18:00 AM,C,29.5
8/24/20 9:48:00 AM,C,29.5
8/24/20 10:18:00 AM,C,29.5
8/24/20 10:48:00 AM,C,29
8/24/20 11:18:00 AM,C,30
8/24/20 11:48:00 AM,C,30
8/24/20 12:18:00 PM,C,30
8/24/20 12:48:00 PM,C,30
8/24/20 1:18:00 PM,C,29.5
8/24/20 1:48:00 PM,C,29
8/24/20 2:18:00 PM,C,30
8/24/20 2:48:00 PM,C,30
8/24/20 3:18:00 PM,C,32
8/24/20 3:48:00 PM,C,32
8/24/20 4:18:00 PM,C,32.5
8/24/20 4:48:00 PM,C,32
8/24/20 5:18:00 PM,C,33.5
8/24/20 5:48:00 PM,C,34.5
8/24/20 6:18:00 PM,C,30
8/24/20 6:48:00 PM,C,29.5
8/24/20 7:18:00 PM,C,28.5
8/24/20 7:48:00 PM,C,28.5
8/24/20 8:18:00 PM,C,27.5
8/24/20 8:48:00 PM,C,27.5
8/24/20 9:18:00 PM,C,27.5
8/24/20 9:48:00 PM,C,27
8/24/20 10:18:00 PM,C,26.5
8/24/20 10:48:00 PM,C,26.5
8/24/20 11:18:00 PM,C,27
8/24/20 11:48:00 PM,C,27
8/25/20 12:18:00 AM,C,26.5
8/25/20 12:48:00 AM,C,26.5
8/25/20 1:18:00 AM,C,26.5
8/25/20 1:48:00 AM,C,26.5
8/25/20 2:18:00 AM,C,26.5
8/25/20 2:48:00 AM,C,27
8/25/20 3:18:00 AM,C,26.5
8/25/20 3:48:00 AM,C,25.5
8/25/20 4:18:00 AM,C,25.5
8/25/20 4:48:00 AM,C,26
8/25/20 5:18:00 AM,C,26
8/25/20 5:48:00 AM,C,26
8/25/20 6:18:00 AM,C,26
8/25/20 6:48:00 AM,C,26.5
8/25/20 7:18:00 AM,C,27.5
8/25/20 7:48:00 AM,C,29
8/25/20 8:18:00 AM,C,30.5
8/25/20 8:48:00 AM,C,30.5
8/25/20 9:18:00 AM,C,29.5
8/25/20 9:48:00 AM,C,30.5
8/25/20 10:18:00 AM,C,31
8/25/20 10:48:00 AM,C,31.5
8/25/20 11:18:00 AM,C,32
8/25/20 11:48:00 AM,C,32.5
8/25/20 12:18:00 PM,C,33
8/25/20 12:48:00 PM,C,33.5
8/25/20 1:18:00 PM,C,33.5
8/25/20 1:48:00 PM,C,33.5
8/25/20 2:18:00 PM,C,33
8/25/20 2:48:00 PM,C,34
8/25/20 3:18:00 PM,C,35
8/25/20 3:48:00 PM,C,35
8/25/20 4:18:00 PM,C,35
8/25/20 4:48:00 PM,C,34.5
8/25/20 5:18:00 PM,C,36.5
8/25/20 5:48:00 PM,C,36.5
8/25/20 6:18:00 PM,C,32.5
8/25/20 6:48:00 PM,C,31
8/25/20 7:18:00 PM,C,30.5
8/25/20 7:48:00 PM,C,30
8/25/20 8:18:00 PM,C,30
8/25/20 8:48:00 PM,C,29.5
8/25/20 9:18:00 PM,C,29.5
8/25/20 9:48:00 PM,C,29
8/25/20 10:18:00 PM,C,29
8/25/20 10:48:00 PM,C,28.5
8/25/20 11:18:00 PM,C,28.5
8/25/20 11:48:00 PM,C,28.5
8/26/20 12:18:00 AM,C,28.5
8/26/20 12:48:00 AM,C,28
8/26/20 1:18:00 AM,C,28
8/26/20 1:48:00 AM,C,28
8/26/20 2:18:00 AM,C,28
8/26/20 2:48:00 AM,C,28
8/26/20 3:18:00 AM,C,28
8/26/20 3:48:00 AM,C,28
8/26/20 4:18:00 AM,C,28
8/26/20 4:48:00 AM,C,28
8/26/20 5:18:00 AM,C,27.5
8/26/20 5:48:00 AM,C,28
8/26/20 6:18:00 AM,C,28
8/26/20 6:48:00 AM,C,28
8/26/20 7:18:00 AM,C,28.5
8/26/20 7:48:00 AM,C,31
8/26/20 8:18:00 AM,C,32
8/26/20 8:48:00 AM,C,32
8/26/20 9:18:00 AM,C,31.5
8/26/20 9:48:00 AM,C,31.5
8/26/20 10:18:00 AM,C,32
